pmid	year	first_author	journal	role	geo	scored_here
35373300	2022	Yamamoto TM	Mol Cancer Ther	CLDN4 protein supports NHEJ (53BP1, XRCC1). CLDN4 knockdown sensitizes BRCA-WT OVCAR3 and OVCA429 to olaparib and rucaparib. In primary ovarian slices, CLDN4-low tumors had a stronger olaparib antiproliferative response. No RNA-seq deposited (data upon request).	none	no
30540933	2018	Ding L	Cell Rep	Olaparib in Brca1-deficient ovarian tumors induces a STING-dependent IFN and T-cell response.	GSE120500	yes
31015319	2019	Pantelidou C	Cancer Discov	Olaparib recruits CD8 T cells through tumor cGAS/STING in BRCA-deficient TNBC, more strongly than in HR-proficient models.	none found for this PMID	no
30777870	2019	Sen T	Cancer Discov	DDR inhibition activates STING and T-cell responses in SCLC.	none found for this PMID	no
34289354	2021	Bruand M	Cell Rep	BRCA1-deficient ovarian cells carry a cell-autonomous STING inflammatory program. This matrix is genotype versus wild-type, with no olaparib column.	GSE120792	yes
39669575	2024	Gronauer R	Front Immunol	OVCAR3 (BRCA1-WT, 7.5 uM) and UWB1.289 (BRCA1-mutant, 3.5 uM) olaparib versus DMSO, 96 h, n=4. Doses are the lines' IC50 values.	GSE237361	yes
38454145	2024	Burtscher ML	Mol Syst Biol	UWB1.289 olaparib versus DMSO, 24 h, n=3. Sample records say 4 uM; the series design text says 10 uM.	GSE243208	yes
39851178	2025	Doro Pereira L	Cancer Res Commun	OVCAR3 and CAOV3 treated with talazoparib or veliparib versus DMSO, three dates as n=3.	GSE285827	yes
40038278	2025	Ran X	Nat Commun	SBC5 SCLC, olaparib 1 uM for 3 days, with or without 4 Gy. The GEO series title and the PubMed title describe chemokine regulation differently; the numbers in FINDING.md are recomputed from the matrix.	GSE233820	yes
33966038	2021	Tan J	Oncogene	A2780 cells with acquired olaparib resistance versus untreated parental cells, n=8. The C13* CEBPB-knockdown arm is a separate experiment and is excluded.	GSE153867	yes
	2023	GEO series, no PMID on the record	GEO	Drug-free olaparib-resistant UWB1.289 and UWB1.289+BRCA1 versus parental cells, n=2.	GSE235980	yes
40986050	2025	Giordano G	Cancer Immunol Immunother	Sarcoma lines, olaparib versus untreated, n=2 per line.	GSE239639	yes
40316566	2025	Kamii M	Sci Rep	HeLa olaparib versus DMSO, 72 h, n=1. HR-proficient senescence-inflammation paper.	GSE298546	yes
41572432	2026	Fang Y	Adv Sci	LIN28B siRNA plus the PARP inhibitor BMN673 in a malignant-ascites model. Expression columns (SNC, PSP) are not keyed to sample titles, so the matrix was not scored.	GSE295677; GSE293216	no
39412086	2024	Liu S	Adv Sci	CDC7 inhibition plus PARP inhibition. Sample titles were not decoded to an olaparib-versus-DMSO contrast.	GSE247622	no
31219654	2019	Yamamoto TM	Mol Carcinog	PEO1 olaparib-resistant clones versus adherent cells. Not a vehicle contrast.	GSE117765	no
