accession	unit	mouse_id	genotype	primary_arm	n_cells	n_tumors_deposited	cldn4	cldn4_pctpos	ifn_score	mhc_score	ifn_mhc_score	tnk_score	tnk_fraction	n_tnk_leak_cells	in_primary
GSE154989	mouse	KP_12w_ND_m1	KP	KP	131	1	4.012416809259207	0.6870229007633588	0.23710788808766534	0.9022424149427538	0.5696751515152095			1	True
GSE154989	mouse	KP_12w_ND_m2	KP	KP	124	1	4.941851472271285	0.7580645161290323	0.4542942530882256	0.8857541628251703	0.6700242079566978			5	True
GSE154989	mouse	KP_12w_ND_m3	KP	KP	74	1	4.575462543329693	0.7702702702702703	0.2507557993176981	0.9009742309097011	0.5758650151136996			1	True
GSE154989	mouse	KP_12w_ND_m4	KP	KP	62	1	3.713092031824252	0.43548387096774194	0.4529892100760217	1.0726110594671645	0.7628001347715935			2	True
GSE154989	mouse	KP_12w_ND_m5	KP	KP	48	1	4.505916668124287	0.6666666666666666	0.17944630902599115	0.7132348617952199	0.44634058541060545			12	True
GSE154989	mouse	KP_12w_ND_m6	KP	KP	52	1	3.4517444009702967	0.5192307692307693	0.2152295176542032	1.022500413445116	0.6188649655496596			19	True
GSE154989	mouse	KP_20w_ND_m2	KP	KP	43	1	4.556387791013466	0.7441860465116279	0.33096356684086226	1.0285943714016341	0.6797789691212482			1	True
GSE154989	mouse	KP_20w_ND_m3	KP	KP	60	1	5.958287187039804	0.8166666666666667	0.34830621722536925	0.8184295667261133	0.5833678919757413			1	True
GSE154989	mouse	KP_20w_ND_m4	KP	KP	173	1	3.0143118199471437	0.5606936416184971	0.2636216581042307	0.8910414841880514	0.577331571146141			22	True
GSE154989	mouse	KP_20w_ND_m5	KP	KP	126	1	1.4945639439444076	0.31746031746031744	0.14509803055032175	0.9464500115196445	0.5457740210349832			1	True
GSE154989	mouse	KP_20w_ND_m6	KP	KP	136	1	1.5981494486128138	0.33088235294117646	0.2772036048853716	1.1585309624624236	0.7178672836738977			2	True
GSE154989	mouse	KP_2w_ND_m1	KP	KP	4	1	0.5859973371013006	0.25	0.3283730427324749	1.667380568338672	0.9978768055355736			0	False
GSE154989	mouse	KP_2w_ND_m2	KP	KP	27	1	1.6224947511610195	0.2962962962962963	0.22100491743365863	1.3602461004915136	0.790625508962586			0	True
GSE154989	mouse	KP_30w_ND_m1	KP	KP	520	4	2.944708570475915	0.4480769230769231	0.1531957190985726	0.6118277259137422	0.38251172250615734			14	True
GSE154989	mouse	KP_30w_ND_m2	KP	KP	619	5	5.225930476661118	0.7754442649434572	0.2259696885092514	0.7004522769252809	0.4632109827172662			12	True
GSE154989	mouse	KP_30w_ND_m3	KP	KP	415	3	4.391503474931386	0.6674698795180722	0.287130479166139	0.8364725767842475	0.5618015279751932			12	True
GSE154989	mouse	K_12w_ND_m1	K	K	155	1	4.861093344289153	0.6064516129032258	0.2518677229006046	1.1060086565310803	0.6789381897158425			2	True
GSE154989	mouse	K_12w_ND_m2	K	K	141	1	1.7035686123621507	0.24113475177304963	0.21520729359623608	1.127321559079117	0.6712644263376766			0	True
GSE154989	mouse	K_12w_ND_m3	K	K	159	1	1.6140514380544388	0.27672955974842767	0.3115774909530191	1.5054670069489422	0.9085222489509807			5	True
GSE154989	mouse	K_2w_ND_m3	K	K	58	1	2.4262619895943285	0.39655172413793105	0.5195399010555186	1.7235426356217602	1.1215412683386394			13	True
GSE154989	mouse	K_2w_ND_m4	K	K	31	1	0.5865846333234718	0.16129032258064516	0.28201440341841305	1.4397086363454423	0.8608615198819275			1	True
GSE154989	mouse	K_2w_ND_m5	K	K	22	1	0.9032352590572366	0.18181818181818182	0.22263873917358434	1.3717415728875013	0.7971901560305427			0	True
GSE154989	mouse	K_30w_ND_m1	K	K	193	1	0.7131065921257808	0.12435233160621761	0.2026638449685098	1.191980976787382	0.6973224108779458			6	True
GSE154989	mouse	K_30w_ND_m2	K	K	206	1	2.2160357830893926	0.38349514563106796	0.24329989984793227	1.1759826021793218	0.709641251013627			11	True
GSE154989	mouse	K_30w_ND_m3	K	K	106	1	3.0433294634747505	0.46226415094339623	0.28694806030033737	1.037591670547655	0.662269865423996			5	True
GSE154989	mouse	T_0w_ND_f1	T	exclude	61	1	0.3363813334258813	0.06557377049180328	0.7756751851230098	1.788840837102995	1.2822580111130022			0	False
GSE154989	mouse	T_0w_ND_f2	T	exclude	54	1	0.24937699933192986	0.05555555555555555	0.8161000450921034	1.73774859172008	1.2769243184060914			1	False
GSE154989	mouse	T_0w_ND_m1	T	exclude	47	1	0.7337672556340821	0.14893617021276595	0.9371917243158969	1.8313605207503572	1.3842761225331273			2	False
GSE154989	mouse	T_4w_ND_m1	T	exclude	37	1	0.08841458908212708	0.02702702702702703	0.22026398743630246	1.3547112540761055	0.7874876207562039			1	False
GSE154989	mouse	T_4w_ND_m2	T	exclude	7	1	0.0	0.0	0.15363336166636846	1.5149687884641483	0.8343010750652582			1	False
