ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
IFNG	IFNGR2	IFN	50	4	0.016240641474723816	0.032176907051284356	0.4927265153459783	0.46054960829469394	0.9811320754716981	1.0	7	20	13	13	0.0015050081157585975	0.006622035709337829
IFNG	IFNGR1	IFN	50	4	0.01699662208557129	0.020048416412945063	0.38601122037419733	0.36596280396125225	0.9245283018867925	0.9245283018867925	7	20	13	13	0.002575166394992556	0.008393134917012775
IFNG	IFNGR1+IFNGR2	IFN	50	4	0.01699662208557129	0.021166401475949108	0.3761373125719574	0.3549709110960083	0.9245283018867925	0.9245283018867925	7	20	13	13	0.0010382574583878684	0.005075925352118467
HLA-A	CD8B	MHC_I	4	2	0.0015216933097690344	-0.027750484354328364	1.702434400387574	1.7301848847419024	0.75	0.5	0	3	0	1	0.875	0.9871794871794872
HLA-B	CD8B	MHC_I	4	2	0.0015216933097690344	-0.027750484354328364	1.8690072394092567	1.896757723763585	0.75	0.5	0	3	0	1	0.875	0.9871794871794872
HLA-C	CD8B	MHC_I	4	2	0.0015216933097690344	-0.027750484354328364	1.650011966296006	1.6777624506503344	0.75	0.5	0	3	0	1	0.875	0.9871794871794872
HLA-A	CD8A	MHC_I	7	3	0.0037368033081293106	-0.01914238334367318	1.88163170421363	1.9007740875573031	0.7142857142857143	0.42857142857142855	2	3	0	2	1.0	1.0
HLA-B	CD8A	MHC_I	7	3	0.0037368033081293106	-0.01914238334367318	1.9189288338446724	1.9380712171883456	0.7142857142857143	0.42857142857142855	2	3	0	2	1.0	1.0
HLA-C	CD8A	MHC_I	7	3	0.0037368033081293106	-0.01914238334367318	1.8913195536671472	1.9104619370108205	0.7142857142857143	0.42857142857142855	2	3	0	2	1.0	1.0
HLA-E	KLRD1	MHC_I	5	2	0.004311608034186065	-0.01789811949711293	1.2747365285176784	1.2926346480147912	0.8	0.2	0	3	0	2	1.0	1.0
HLA-E	VSIR	MHC_I_partial	31	3	0.03284747339785099	0.021559051328128385	1.3103112121142688	1.2887521607861403	0.9354838709677419	0.6129032258064516	7	0	6	18	0.0018533961847424507	0.007413584738969803
HLA-F	VSIR	MHC_I_partial	30	3	0.03291272837668657	0.02231434943775336	0.5242768118157983	0.5019624623780449	0.9333333333333333	0.6	7	0	5	18	0.0021877754479646683	0.008021843309203785
