ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
HLA-B	CD8B	MHC_I	6	1	-0.04505665600299835	-0.027165427803993225	0.9547615001598994	0.9819269279638926	1.0	1.0	0	0	6	0	0.84375	1.0
HLA-C	CD8B	MHC_I	6	1	-0.0222928524017334	0.01555195947488149	0.8178970714410146	0.8023451119661331	1.0	1.0	0	0	6	0	0.84375	1.0
HLA-A	CD8B	MHC_I	6	1	-0.004908859729766846	0.01994137465953827	1.05516121784846	1.0352198431889217	1.0	1.0	0	0	6	0	1.0	1.0
HLA-B	CD8A	MHC_I	10	1	0.015490889549255371	-0.012979927659034728	1.193735072016716	1.2067149996757507	1.0	1.0	0	0	10	0	1.0	1.0
HLA-C	CD8A	MHC_I	10	1	0.01869666576385498	0.022583886981010437	0.9838749945163727	0.9612911075353623	1.0	1.0	0	0	10	0	0.76953125	1.0
HLA-A	CD8A	MHC_I	10	1	0.032283395528793335	0.05035829842090607	1.2661834120750428	1.2158251136541367	1.0	1.0	0	0	10	0	0.4921875	0.8071875000000001
HLA-E	KLRD1	MHC_I	10	1	0.04059496521949768	0.042363351583480834	0.7783575050532818	0.7359941534698009	1.0	1.0	0	0	10	0	0.275390625	0.6641773897058824
HLA-E	KLRC1+KLRD1	MHC_I	3	1	0.07476702332496643	0.07280546426773071	0.6422522117694219	0.5694467475016912	1.0	1.0	0	0	3	0	0.25	0.640625
HLA-E	KLRC2	MHC_I	3	1	0.07476702332496643	0.09188563625017802	0.45114104449748993	0.3592554082473119	1.0	1.0	0	0	3	0	0.25	0.640625
HLA-E	KLRC1	MHC_I	4	1	0.09202252328395844	0.09360426664352417	0.6392105035483837	0.5456062369048595	1.0	1.0	0	0	4	0	0.125	0.5694444444444444
HLA-F	VSIR	MHC_I_partial	5	1	0.05803236365318298	0.0990561529994011	0.3260181650519371	0.22696201205253602	1.0	0.6	0	0	5	0	0.0625	0.42708333333333337
HLA-E	VSIR	MHC_I_partial	8	1	0.05982811748981476	0.06738676130771637	0.6785112908110023	0.6111245295032859	1.0	1.0	0	0	8	0	0.1953125	0.640625
CCL5	CCR1	T_recruit	3	1	-0.010882817208766937	0.027870339651902516	0.27416834980249405	0.24629801015059152	1.0	1.0	0	0	3	0	1.0	1.0
CCL5	CCR5	T_recruit	5	1	0.01473575085401535	0.023553681373596192	0.30865205973386767	0.28509837836027146	1.0	1.0	0	0	5	0	0.4375	0.779891304347826
CXCL16	CXCR6	T_recruit	4	1	0.05748436041176319	0.05234735645353794	0.26438934076577425	0.2120419843122363	1.0	0.75	0	0	4	0	0.25	0.640625
CXCL14	CXCR4	T_recruit_partial	12	1	-0.008340053260326385	0.023598759745558102	0.5327255427837372	0.509126783038179	0.9166666666666666	0.9166666666666666	0	0	12	0	0.90966796875	1.0
FN1	ITGA4+ITGB1	other	8	1	-0.07032488286495209	-0.09429543977603316	0.23118311306461692	0.3254785528406501	0.625	1.0	0	0	8	0	0.015625	0.12812500000000002
ICAM1	ITGAL	other	7	1	-0.057827964425086975	-0.015063738184315818	0.259786169975996	0.27484990816031185	0.8571428571428571	0.8571428571428571	0	0	7	0	0.9375	1.0
ICAM1	ITGAL+ITGB2	other	7	1	-0.057827964425086975	-0.015063738184315818	0.24569603215370858	0.2607597703380244	0.8571428571428571	0.8571428571428571	0	0	7	0	0.9375	1.0
COL17A1	ITGA1+ITGB1	other	5	1	-0.041080474853515625	-0.06946029961109161	0.23330055326223373	0.3027608528733253	0.8	0.8	0	0	5	0	0.8125	1.0
CD320	JAML	other	4	1	-0.03383725415915251	-0.029561159666627645	0.14591607125476003	0.17547723092138767	0.75	1.0	0	0	4	0	0.125	0.5694444444444444
PPIA	BSG	other	17	1	-0.03169119358062744	-0.025686853072222543	0.9494215657605845	0.975108418832807	1.0	1.0	0	0	17	0	0.4585723876953125	0.7833944956461589
ITGAV+ITGB1	ADGRE5	other	9	1	-0.028215646743774414	-0.019436621003680758	0.24872319690055317	0.26815981790423393	0.8888888888888888	0.8888888888888888	0	0	9	0	0.359375	0.7016369047619048
TNC	ITGA4+ITGB1	other	14	1	-0.024811118841171265	-0.00177234091929027	0.2874200006148645	0.28919234153415474	0.7142857142857143	1.0	0	0	14	0	0.625732421875	0.9501862702546295
SPP1	ITGA4+ITGB1	other	9	1	-0.02308083325624466	0.007234047270483441	0.7329807529846827	0.7257467057141993	1.0	0.8888888888888888	0	0	9	0	0.65234375	0.9552176339285714
CD44	TYROBP	other	17	1	-0.019305169582366943	-0.04316549287999377	0.7166813835501671	0.7598468764301609	1.0	0.9411764705882353	0	0	17	0	0.2068939208984375	0.640625
CD47	SIRPG	other	6	1	-0.00849725678563118	-0.03973168755571047	0.32651116761068505	0.3662428551663955	1.0	1.0	0	0	6	0	0.3125	0.667901611328125
JAG1	CD46	other	14	1	-0.008117061108350754	-0.015092093564037765	0.2740848649160138	0.2891769584800516	0.7142857142857143	0.8571428571428571	0	0	14	0	0.3258056640625	0.667901611328125
ICAM1	SPN	other	11	1	0.0015611350536346436	-0.006454785439101132	0.32313578067855403	0.32959056611765514	0.9090909090909091	0.9090909090909091	0	0	11	0	0.9658203125	1.0
