sample	n_barcodes_file	n_genes_file
P1	5317	29527
P2	306	29527
P3	7835	29527
P4	4558	29527
P5	2454	29527
P6	3119	29527
P7	3059	29527
P8	1342	29527
P9	3520	29527
P10	3740	29527
P11	574	29527
P12	891	29527
P13	938	29527
P14	1808	29527
P15	3606	29527
P16	1148	29527
P17	8700	29527
P18	3314	29527
P19	453	29527
P20	429	29527
P21	1968	29527
P22	644	29527
P23	2387	29527
P24	386	29527
P25	4029	29527
P26	570	29527
P27	707	29527
P28	2373	29527
P29	969	29527
P30	742	29527
P31	387	29527
P32	595	29527
P33	350	29527
P34	972	29527
P35	1079	29527
P36	500	29527
P37	2486	29527
P38	1358	29527
P39	1896	29527
P40	1155	29527
P41	6222	29527
P42	1001	29527
