cohort	n_matrix	layer	gene	endpoint	endpoint_column	n_complete	n_q1	n_q4	median_q1	median_q4	delta_median	rank_biserial	rb_lo	rb_hi	p	hr	hr_lo	hr_hi	events_q1	events_q4
GSE218989	355	RNA	CLDN4	CD8A	CD8A_log2tpm1	355	89	89	3.320197123181247	2.464132634485907	-0.8560644886953397	-0.30690569372553966	-0.4675041030172958	-0.14655977780583265	4.083e-04					
GSE218989	355	RNA	CLDN4	ImmuneScore	ESTIMATE_Immune_ssgsea	355	89	89	0.7017279630474497	0.5680859965984252	-0.13364196644902449	-0.3720489837141775	-0.5121891175356648	-0.21144426208812028	1.825e-05					
GSE218989	355	RNA	CLDN4	IFN	IFNG_Ayers6_meanz	355	89	89	-0.0099563616540439	0.0028282250457695	0.012784586699813399	0.01855826284560025	-0.15720868577199845	0.18522913773513422	8.318e-01					
GSE218989	355	RNA	CLDN4	MHC-I	MHCI_meanz	355	89	89	-0.1331691401610707	-0.0983485530503409	0.0348205871107298	0.0917813407398056	-0.08096199974750662	0.25542229516475173	2.909e-01					
GSE218989	355	RNA	CLDN4	OS	os_days+death	355	89	89	471.0	379.0	-92.0				1.174e-01	1.3153269889999362	0.9332933443083963	1.85374201856512	64.0	69.0
GSE218989	355	RNA	TACSTD2	CD8A	CD8A_log2tpm1	355	89	89	3.3943897196982085	2.4948242488231727	-0.8995654708750358	-0.365231662668855	-0.5185014518368893	-0.21396919580861018	2.591e-05					
GSE218989	355	RNA	TACSTD2	ImmuneScore	ESTIMATE_Immune_ssgsea	355	89	89	0.7055838046600612	0.5585738397626303	-0.1470099648974309	-0.3841686655725287	-0.540215881833102	-0.21877919454614322	9.649e-06					
GSE218989	355	RNA	TACSTD2	IFN	IFNG_Ayers6_meanz	355	89	89	0.0014678957699555	-0.0843776333252801	-0.0858455290952356	-0.015275849008963505	-0.18267895467743966	0.14989269031687893	8.614e-01					
GSE218989	355	RNA	TACSTD2	MHC-I	MHCI_meanz	355	89	89	-0.0588868863658974	0.0368257217238444	0.0957126080897418	0.02057820982199221	-0.14910996086352737	0.18926903168791814	8.137e-01					
GSE218989	355	RNA	TACSTD2	OS	os_days+death	355	89	89	470.0	348.0	-122.0				1.491e-01	1.2802565053134336	0.9151914727921242	1.7909440462735382	66.0	72.0
GSE285029	234	RNA	CLDN4	CD8A	CD8A	234	59	59	2.183645305394656	2.537544571964575	0.35389926656991877	0.17581154840563062	-0.02849755817293877	0.38009910945130687	1.000e-01					
GSE285029	234	RNA	CLDN4	ImmuneScore	immune8	234	59	59	-0.2176240539720035	0.1744089371869505	0.39203299115895396	0.19793162884228677	-0.0025998276357368836	0.4059465670784256	6.410e-02					
GSE285029	234	RNA	CLDN4	GEP18	GEP18	234	59	59	-0.1818975024207446	0.236051358537654	0.41794886095839856	0.3335248491812697	0.1347026716460788	0.5254380925021545	1.798e-03					
GSE285029	234	RNA	CLDN4	IFN	IFN_compact	234	59	59	-0.5393699510246437	0.2562362819206623	0.795606232945306	0.35593220338983045	0.1588623958632578	0.5443981614478597	8.634e-04					
GSE285029	234	RNA	CLDN4	MHC-I	MHC1	234	59	59	-0.1465753665029378	0.4253548171096858	0.5719301836126236	0.41051422005170934	0.21569951163458778	0.5972852628555011	1.216e-04					
GSE285029	234	RNA	TACSTD2	CD8A	CD8A	234	59	59	2.0844044829343478	1.811471030529836	-0.2729334524045117	-0.11663315139327779	-0.31887388681413387	0.10000718184429735	2.757e-01					
GSE285029	234	RNA	TACSTD2	ImmuneScore	immune8	234	59	59	-0.2176240539720035	-0.3528893568622112	-0.1352653028902077	-0.07268026429187013	-0.2714880781384659	0.13359666762424588	4.977e-01					
GSE285029	234	RNA	TACSTD2	GEP18	GEP18	234	59	59	-0.1672691613345813	-0.1487545348658338	0.01851462646874752	-0.006607296753806335	-0.21344441252513646	0.21976443550703828	9.528e-01					
GSE285029	234	RNA	TACSTD2	IFN	IFN_compact	234	59	59	-0.4160317410994102	-0.2241972120713979	0.19183452902801232	0.13645504165469702	-0.07272335535765583	0.33355357655845996	2.021e-01					
GSE285029	234	RNA	TACSTD2	MHC-I	MHC1	234	59	59	-0.0582195944935791	0.0026694351802358	0.060889029673814904	0.10485492674518815	-0.11463659867854062	0.3019390979603562	3.273e-01					
TCGA-LUAD	502	RNA	CLDN4	CD8A	CD8A	502	126	126	3.9017160605096772	3.745844816463668	-0.15587124404600905	-0.15318720080624848	-0.2978111615016377	-0.0072814310909550305	3.565e-02					
TCGA-LUAD	502	RNA	CLDN4	ImmuneScore	ESTIMATE_Immune_score	502	126	126	1144.195	834.46	-309.7349999999999	-0.19513731418493319	-0.34013920382968005	-0.04344608213655837	7.439e-03					
TCGA-LUAD	502	RNA	CLDN4	GEP18	GEP18	502	126	126	5.035767321038531	4.976568139369851	-0.05919918166867966	-0.044973544973545	-0.19023998488284202	0.09702066011589816	5.378e-01					
TCGA-LUAD	502	RNA	CLDN4	IFN	Wolf_IFNgamma	444	111	111	0.1952	0.193	-0.0022000000000000075	0.0030030030030030463	-0.14862835808781752	0.15972932391851308	9.700e-01					
TCGA-LUAD	502	RNA	TACSTD2	CD8A	CD8A	502	126	126	4.00233681444923	3.7153732541702715	-0.28696356027895886	-0.14046359284454524	-0.27539682539682536	0.003407659360040176	5.406e-02					
TCGA-LUAD	502	RNA	TACSTD2	ImmuneScore	ESTIMATE_Immune_score	502	126	126	892.16	851.26	-40.89999999999998	-0.01940035273368612	-0.16579113126732173	0.1314027462836987	7.908e-01					
TCGA-LUAD	502	RNA	TACSTD2	GEP18	GEP18	502	126	126	5.048971617627472	4.928634765417847	-0.12033685220962465	0.01650289745527833	-0.12345679012345678	0.16025447215923405	8.215e-01					
TCGA-LUAD	502	RNA	TACSTD2	IFN	Wolf_IFNgamma	444	111	111	0.1893	0.2011	0.011800000000000005	0.07669831994156318	-0.07364459053648245	0.2251826150474797	3.239e-01					
TCGA-LUSC	502	RNA	CLDN4	CD8A	CD8	502	126	126	7.7280999999999995	7.47255	-0.2555499999999995	-0.08175862937767697	-0.22728017132779044	0.061385109599395186	2.623e-01					
TCGA-LUSC	502	RNA	CLDN4	ImmuneScore	ESTIMATE_ImmuneScore	501	126	125	377.37	350.33	-27.04000000000002	-0.04888888888888887	-0.18751111111111107	0.09487936507936486	5.038e-01					
TCGA-LUSC	502	RNA	CLDN4	GEP18	GEP18	502	126	126	0.0859152974612778	-0.0865392178163646	-0.17245451527764238	-0.09574200050390524	-0.24152494331065763	0.05883723859914325	1.893e-01					
TCGA-LUSC	502	RNA	TACSTD2	CD8A	CD8	502	126	126	8.12635	7.3606	-0.7657500000000006	-0.2940287226001512	-0.4192617787855883	-0.15606575963718827	5.498e-05					
TCGA-LUSC	502	RNA	TACSTD2	ImmuneScore	ESTIMATE_ImmuneScore	501	126	125	502.61	379.82	-122.79000000000002	-0.07123809523809521	-0.21473650793650798	0.07860317460317456	3.298e-01					
TCGA-LUSC	502	RNA	TACSTD2	GEP18	GEP18	502	126	126	0.19623971326699569	-0.1104890769230723	-0.306728790190068	-0.21995464852607705	-0.35827664399092973	-0.07419690098261528	2.553e-03					
CPTAC-LUAD-protein	110	protein	CLDN4	CD8A	CD8_Tcell_RNA	79	20	20	0.42772774668597835	-0.3418173666860731	-0.7695451133720514	-0.29000000000000004	-0.645	0.08499999999999996	1.199e-01					
