interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	source	target	n_source	n_target	ligand_mean	receptor_mean	ligand_prop	receptor_prop	detected	prob	pval	significant
TGFB1_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB1	TGFbR1_R2	TGFB1	TGFBR2|TGFBR1	Mal_high	TNK	4203	33760	0.031668469309806824	0.0	0.16678562760353088	0.07298578321933746	False	0.0	1.0	False
TGFB1_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB1	TGFbR1_R2	TGFB1	TGFBR2|TGFBR1	Mal_low	TNK	4204	33760	0.00875336118042469	0.0	0.1296384334564209	0.07298578321933746	False	0.0	1.0	False
TGFB1_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB1	TGFbR1_R2	TGFB1	TGFBR2|TGFBR1	TNK	Mal_high	33760	4203	0.07784872502088547	0.002419732022237043	0.14837084710597992	0.10183202475309372	True	0.00037660422147291526	1.0	False
TGFB1_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB1	TGFbR1_R2	TGFB1	TGFBR2|TGFBR1	TNK	Mal_low	33760	4204	0.07784872502088547	0.03341743696345979	0.14837084710597992	0.15865841507911682	True	0.005176078535201087	0.009900990099009901	True
TGFB2_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB2	TGFbR1_R2	TGFB2	TGFBR2|TGFBR1	Mal_high	TNK	4203	33760	0.0	0.0	0.02046157419681549	0.07298578321933746	False	0.0	1.0	False
TGFB2_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB2	TGFbR1_R2	TGFB2	TGFBR2|TGFBR1	Mal_low	TNK	4204	33760	0.0	0.0	0.02640342526137829	0.07298578321933746	False	0.0	1.0	False
TGFB2_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB2	TGFbR1_R2	TGFB2	TGFBR2|TGFBR1	TNK	Mal_high	33760	4203	0.0	0.002419732022237043	0.00011848341091535985	0.10183202475309372	False	0.0	1.0	False
TGFB2_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB2	TGFbR1_R2	TGFB2	TGFBR2|TGFBR1	TNK	Mal_low	33760	4204	0.0	0.03341743696345979	0.00011848341091535985	0.15865841507911682	False	0.0	1.0	False
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	Mal_high	TNK	4203	33760	0.0	0.0	0.026409707963466644	0.07298578321933746	False	0.0	1.0	False
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	Mal_low	TNK	4204	33760	0.0	0.0	0.03377735614776611	0.07298578321933746	False	0.0	1.0	False
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	TNK	Mal_high	33760	4203	0.0	0.002419732022237043	0.005094786640256643	0.10183202475309372	False	0.0	1.0	False
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	TNK	Mal_low	33760	4204	0.0	0.03341743696345979	0.005094786640256643	0.15865841507911682	False	0.0	1.0	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	Mal_high	TNK	4203	33760	0.031668469309806824	0.0	0.16678562760353088	0.022274881601333618	False	0.0	1.0	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	Mal_low	TNK	4204	33760	0.00875336118042469	0.0	0.1296384334564209	0.022274881601333618	False	0.0	1.0	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	TNK	Mal_high	33760	4203	0.07784872502088547	0.007912639757745294	0.14837084710597992	0.10183202475309372	True	0.001230461931555584	1.0	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	TNK	Mal_low	33760	4204	0.07784872502088547	0.06499870367145548	0.14837084710597992	0.15865841507911682	True	0.010018741427759032	0.009900990099009901	True
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	Mal_high	TNK	4203	33760	0.031668469309806824	0.0	0.16678562760353088	0.0056279622949659824	False	0.0	1.0	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	Mal_low	TNK	4204	33760	0.00875336118042469	0.0	0.1296384334564209	0.0056279622949659824	False	0.0	1.0	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	TNK	Mal_high	33760	4203	0.07784872502088547	0.0022099670988469265	0.14837084710597992	0.10183202475309372	True	0.0003439678873489617	1.0	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	TNK	Mal_low	33760	4204	0.07784872502088547	0.007655101274692153	0.14837084710597992	0.10846812278032303	True	0.001190460862088434	0.6633663366336634	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	Mal_high	TNK	4203	33760	0.0	0.0	0.02046157419681549	0.022274881601333618	False	0.0	1.0	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	Mal_low	TNK	4204	33760	0.0	0.0	0.02640342526137829	0.022274881601333618	False	0.0	1.0	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	TNK	Mal_high	33760	4203	0.0	0.007912639757745294	0.00011848341091535985	0.10183202475309372	False	0.0	1.0	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	TNK	Mal_low	33760	4204	0.0	0.06499870367145548	0.00011848341091535985	0.15865841507911682	False	0.0	1.0	False
TGFB2_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1C_TGFbR2	TGFB2	TGFBR2|ACVR1C	Mal_high	TNK	4203	33760	0.0	0.0	0.02046157419681549	0.0056279622949659824	False	0.0	1.0	False
TGFB2_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1C_TGFbR2	TGFB2	TGFBR2|ACVR1C	Mal_low	TNK	4204	33760	0.0	0.0	0.02640342526137829	0.0056279622949659824	False	0.0	1.0	False
TGFB2_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1C_TGFbR2	TGFB2	TGFBR2|ACVR1C	TNK	Mal_high	33760	4203	0.0	0.0022099670988469265	0.00011848341091535985	0.10183202475309372	False	0.0	1.0	False
TGFB2_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1C_TGFbR2	TGFB2	TGFBR2|ACVR1C	TNK	Mal_low	33760	4204	0.0	0.007655101274692153	0.00011848341091535985	0.10846812278032303	False	0.0	1.0	False
TGFB3_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1B_TGFbR2	TGFB3	TGFBR2|ACVR1B	Mal_high	TNK	4203	33760	0.0	0.0	0.026409707963466644	0.022274881601333618	False	0.0	1.0	False
TGFB3_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1B_TGFbR2	TGFB3	TGFBR2|ACVR1B	Mal_low	TNK	4204	33760	0.0	0.0	0.03377735614776611	0.022274881601333618	False	0.0	1.0	False
TGFB3_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1B_TGFbR2	TGFB3	TGFBR2|ACVR1B	TNK	Mal_high	33760	4203	0.0	0.007912639757745294	0.005094786640256643	0.10183202475309372	False	0.0	1.0	False
TGFB3_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1B_TGFbR2	TGFB3	TGFBR2|ACVR1B	TNK	Mal_low	33760	4204	0.0	0.06499870367145548	0.005094786640256643	0.15865841507911682	False	0.0	1.0	False
TGFB3_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1C_TGFbR2	TGFB3	TGFBR2|ACVR1C	Mal_high	TNK	4203	33760	0.0	0.0	0.026409707963466644	0.0056279622949659824	False	0.0	1.0	False
TGFB3_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1C_TGFbR2	TGFB3	TGFBR2|ACVR1C	Mal_low	TNK	4204	33760	0.0	0.0	0.03377735614776611	0.0056279622949659824	False	0.0	1.0	False
TGFB3_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1C_TGFbR2	TGFB3	TGFBR2|ACVR1C	TNK	Mal_high	33760	4203	0.0	0.0022099670988469265	0.005094786640256643	0.10183202475309372	False	0.0	1.0	False
TGFB3_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1C_TGFbR2	TGFB3	TGFBR2|ACVR1C	TNK	Mal_low	33760	4204	0.0	0.007655101274692153	0.005094786640256643	0.10846812278032303	False	0.0	1.0	False
TGFB1_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB1	ACVR1_TGFbR	TGFB1	TGFBR2|ACVR1|TGFBR1	Mal_high	TNK	4203	33760	0.031668469309806824	0.0	0.16678562760353088	0.03782583028078079	False	0.0	1.0	False
TGFB1_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB1	ACVR1_TGFbR	TGFB1	TGFBR2|ACVR1|TGFBR1	Mal_low	TNK	4204	33760	0.00875336118042469	0.0	0.1296384334564209	0.03782583028078079	False	0.0	1.0	False
TGFB1_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB1	ACVR1_TGFbR	TGFB1	TGFBR2|ACVR1|TGFBR1	TNK	Mal_high	33760	4203	0.07784872502088547	0.009323724617410727	0.14837084710597992	0.10183202475309372	True	0.0014495758273711781	1.0	False
TGFB1_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB1	ACVR1_TGFbR	TGFB1	TGFBR2|ACVR1|TGFBR1	TNK	Mal_low	33760	4204	0.07784872502088547	0.04970884584729802	0.14837084710597992	0.15865841507911682	True	0.007680100096870183	0.009900990099009901	True
TGFB2_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB2	ACVR1_TGFbR	TGFB2	TGFBR2|ACVR1|TGFBR1	Mal_high	TNK	4203	33760	0.0	0.0	0.02046157419681549	0.03782583028078079	False	0.0	1.0	False
