ligand	pearson_NMPR	pearson_MPR
IFITM1	0.5330852003514813	0.5330852003514813
HLA-F	0.44358936987676156	0.44358936987676156
VSIG10	0.443490369096101	0.443490369096101
HLA-DRB5	0.4038147415117976	0.4038147415117976
HLA-B	0.4004086448293753	0.4004086448293753
MDK	0.34983976774151365	0.34983976774151365
SDC2	0.32216531993681635	0.32216531993681635
CEACAM1	0.3097488040308253	0.3097488040308253
ADAM9	0.3076685714396194	0.3076685714396194
HLA-DOA	0.3033227967586365	0.3033227967586365
CLEC2B	0.3008343295941105	0.3008343295941105
HLA-DRA	0.2963718622045258	0.2963718622045258
CD58	0.2855005718622532	0.2855005718622532
HLA-DRB3	0.27885761918537083	0.27885761918537083
TSPAN3	0.27748930100841207	0.27748930100841207
MELTF	0.27723497805060093	0.27723497805060093
HLA-DRB1	0.272689301920245	0.272689301920245
CXCL14	0.2626181011358323	0.2626181011358323
HLA-DPB1	0.2609605494479767	0.2609605494479767
CXADR	0.2587989047983398	0.2587989047983398
MFAP2	0.258595110396093	0.258595110396093
CD320	0.2571004446787266	0.2571004446787266
APOE	0.25077634116720776	0.25077634116720776
S100A4	0.24964745103921518	0.24964745103921518
FN1	0.24279783796614382	0.24279783796614382
HMGB1	0.24258020438312125	0.24258020438312125
TGM2	0.2411430182684441	0.2411430182684441
PVR	0.24088134362461366	0.24088134362461366
HLA-DMB	0.2405463371623701	0.2405463371623701
COL27A1	0.23910460026526276	0.23910460026526276
LGALS1	0.23663025130824816	0.23663025130824816
OCLN	0.23364985153202694	0.23364985153202694
HSPG2	0.23302588584684694	0.23302588584684694
C3	0.23285269847844084	0.23285269847844084
PLXNA1	0.2325180409630068	0.2325180409630068
NECTIN1	0.2321825620274706	0.2321825620274706
TGFA	0.22965629818613964	0.22965629818613964
MICA	0.2286610712223411	0.2286610712223411
CEACAM6	0.2267941788913203	0.2267941788913203
LAMA3	0.22582045649896015	0.22582045649896015
LAMB3	0.22573514369917025	0.22573514369917025
CX3CL1	0.22495958685498077	0.22495958685498077
LAMB2	0.22380383200315537	0.22380383200315537
