leiden	n	score_Epithelial	score_T/NK	score_B/Plasma	score_Myeloid	score_Mast	score_Endothelial	score_Fibroblast	score_normal_lung	frac_marker_epi	frac_marker_tnk	mean_CLDN4	cluster_lineage	cluster_malignant
0	19946	0.0230711641431266	1.2854145347943355	0.060788228758645556	0.043717178415308054	0.01566861267767966	0.024801269998605234	0.018132598342171367	0.07142076620340365	0.007420034092048531	0.9796450416123533	0.023548163271239538	T/NK	False
1	14262	0.02037518400766312	1.940852714133634	0.06513176576010574	0.05559903252416517	0.010913087505833304	0.06603217847436842	0.012783821884717071	0.04480159008914265	0.000490814752489132	0.9955125508343851	0.017450203452606998	T/NK	False
2	11126	0.08074602273397576	0.06791803651584727	0.022193978224025027	1.6111314382182667	0.014603181413478718	0.23205352519189326	0.02373523156724612	0.04881188189796382	0.0008987956138774043	0.0019773503505302894	0.032369652118222125	Myeloid	False
3	7514	0.01925838581094921	0.07564520890543673	1.426925865539375	0.04390260667299649	0.012129206747414668	0.017206934341911582	0.008015292073728555	0.0864263766695558	0.0025286132552568537	0.0017301038062283738	0.015831898238389087	B/Plasma	False
4	7369	1.3405888995374657	0.01607536131241026	0.01927252711429826	0.024875721780889894	0.008796290769738204	0.022333295856892612	0.04458961790500513	0.04898494943539482	0.9871081557877596	0.0008142217397204505	1.6059066391802783	Epithelial	True
5	5173	0.04116614557689339	0.02301736929021659	0.011418377792728553	0.5097562868705116	0.012386632526555709	0.2532066768238903	0.0069849444491333	0.09761247719899231	0.16064179393002126	0.013145176879953605	0.03799227875040247	Myeloid	False
6	4896	0.03105801295918235	0.06193475143028438	0.022860344144504257	0.443404664266128	0.012999714368094505	0.17612992870420277	0.01128315266234795	0.024761012653977916	0.22303921568627452	0.04595588235294118	0.013436050362550795	Myeloid	False
7	4114	0.07241245433662913	0.03346897103497738	0.018027030363499136	1.7521144664488637	0.018165582232446797	0.3539612246383735	0.012134236405097521	0.15044625091719865	0.0004861448711716091	0.0	0.01662558488571384	Myeloid	False
8	3573	0.025171602235780303	1.5430858956061253	0.08217582192869922	0.05434882162024954	0.011410563707563959	0.02539485171499184	0.022840958801752357	0.03479584312899278	0.000559753708368318	0.9927232017912119	0.0290770282080408	T/NK	False
9	3241	0.06169445133785046	0.05200460333461908	1.800224835896274	0.07062534109739663	0.03606700818424787	0.23911657244486206	0.08202467514592511	0.052143706510433006	0.000617093489663684	0.0009256402344955261	0.03669895179979428	B/Plasma	False
10	2943	0.05066711050108479	0.053619451379395056	0.033578706177769424	1.4585271308652559	0.016823406377333056	0.24142008387665992	0.031687598153570494	0.08568907938084565	0.012232415902140673	0.013931362555215767	0.04241370860275713	Myeloid	False
11	2069	1.5236405531700927	0.014167192454467757	0.01743949904161138	0.04147896141359304	0.004281440079740845	0.017120532786088976	0.03310438914802762	0.014288632449857362	0.9903334944417593	0.0009666505558240696	0.8617523017284214	Epithelial	True
12	1948	1.0203555276297562	0.030063764890595077	0.03653438624492241	0.07787113185369346	0.022532204446788228	0.022995718712754926	0.1239236470775724	1.8682103939141321	0.954312114989733	0.002053388090349076	1.4975023873889266	Epithelial	False
13	868	0.06471489115159117	0.02413296327623626	0.03489113689387386	0.03337554561970508	0.01965151719629379	0.021403498529841008	4.339940339333284	0.06797416339975976	0.0	0.0	0.05483580204206482	Fibroblast	False
14	842	0.05991258103188743	0.05004629126658277	0.0417725071684988	0.06225332942423335	5.147304488680385	0.015457802447940962	0.03271906282729469	0.06528089388172349	0.0	0.0	0.05093252289797074	Mast	False
15	773	0.011856782012603298	1.4343202552705827	0.02683127370154336	0.05340274175637457	0.014743227568434405	0.05286655681698395	0.0033731167827153233	0.11696777615568901	0.0	0.9987063389391979	0.012655298358229082	T/NK	False
16	732	0.8750747150375132	0.029089975256694333	0.02430580054220565	0.1082446313793627	0.020164298042003245	0.01307461504419065	0.023657767848179342	1.3151019955013763	0.9808743169398907	0.001366120218579235	1.7139334445212973	Epithelial	True
17	375	0.0625810426421071	0.02973946690808439	0.01208561900402567	1.6464365853593232	0.013862505927277932	0.3230478067754648	0.009526850401136206	0.14932929758165922	0.0	0.0	0.015033065729063632	Myeloid	False
18	326	0.14906461465179996	0.08830741907063558	0.7350212625301574	0.05811066147196683	0.025815011060756253	0.15850519205200103	0.026759112858697098	0.060315234208068426	0.049079754601226995	0.027607361963190184	0.05203786638588828	B/Plasma	False
19	240	0.10469457474469895	0.025883850278905083	0.024825089817520244	0.068686194730661	0.01123036886644507	1.8951731731258394	0.05485388262377686	0.09965956440173876	0.008333333333333333	0.0	0.11212544968512773	Endothelial	False
