gene	distance	Z	FC	p.value	p.adj
MT-ND4	5.32217747394899e-05	3.84711735852861	41.7067872967476	1.06040227261935e-10	3.97650852232256e-08
MT-ND1	4.53291815886212e-05	3.74200894688445	30.2540686593053	3.78995386177982e-08	9.47488465444955e-06
MT-ND2	2.87072944988634e-05	3.44999923029275	12.1342394655916	0.0004950445298893	0.0928208493542599
MT-CYB	1.23281426140532e-05	2.93637543877768	2.23781062542389	0.134671543860957	0.99999999999513
MT-CO3	1.21631891067206e-05	2.92846138593682	2.17832637587108	0.139966594959534	0.99999999999513
MT-CO1	1.13236383512643e-05	2.8865810218556	1.88799140738413	0.16942864503021	0.99999999999513
MT-CO2	1.05980751788265e-05	2.8480130542446	1.65379633050687	0.198443016832217	0.99999999999513
MT-ND3	1.03885361300886e-05	2.83642147240642	1.5890469944968	0.207462344564936	0.99999999999513
MT-ATP6	7.47771353714078e-06	2.64815429273439	0.823314339963999	0.364212909461617	0.99999999999513
MT-ND5	6.22948075544253e-06	2.54564159850776	0.571388807636051	0.449707568438446	0.99999999999513
MALAT1	5.56620333185135e-06	2.48317486710409	0.456190425439116	0.499409785626323	0.99999999999513
NEAT1	4.45295714030809e-06	2.36097037345012	0.291961147757174	0.588966513031822	0.99999999999513
ACTB	1.78290399599673e-06	1.88139098198822	0.0468041054188648	0.828720732528909	0.99999999999513
ACTG1	1.56589536600924e-06	1.81612268262811	0.0361038494821708	0.849301192591232	0.99999999999513
TUBA1B	1.44462890366649e-06	1.77591853797791	0.0307284484165342	0.860847590722453	0.99999999999513
LDHA	1.17817251206531e-06	1.6753460443802	0.0204383486872634	0.886319597926212	0.99999999999513
SNRPB	1.14476061039287e-06	1.66128352863346	0.0192955599978025	0.88952248641557	0.99999999999513
PSMD8	1.01670865677375e-06	1.60363117187101	0.0152202250789953	0.901813893300146	0.99999999999513
NME1	1.00306091571338e-06	1.59709693701914	0.014814351639858	0.903125350098706	0.99999999999513
PDCD5	1.00167793647507e-06	1.5964302307133	0.0147735289610755	0.903258259981695	0.99999999999513
ARPC3	9.9115436979496e-07	1.59132905321764	0.0144647400155868	0.904269705721496	0.99999999999513
S100A6	9.89600053367827e-07	1.59057138790924	0.0144194087229257	0.904419108081995	0.99999999999513
TUBA1C	9.5930881896687e-07	1.57558229519806	0.0135501750608446	0.907331399179404	0.99999999999513
MYL6	9.44944395977126e-07	1.56832117362823	0.0131474200846935	0.908712876370895	0.99999999999513
EIF5A	9.35222170675087e-07	1.5633486819804	0.012878272777523	0.909648053992312	0.99999999999513
PGAM1	8.56453876830919e-07	1.5212075102054	0.010800304283901	0.917229254326037	0.99999999999513
PSME2	8.44124875250705e-07	1.51429023575169	0.0104915928685557	0.918416581285118	0.99999999999513
H2AFZ	8.29578167345871e-07	1.50600789800722	0.0101331077300187	0.919817715088444	0.99999999999513
UQCRFS1	8.20264323754398e-07	1.50063435672016	0.0099068520674934	0.920714952251512	0.99999999999513
EIF4EBP1	7.90863672765096e-07	1.4832949398366	0.0092093989445169	0.923547883053639	0.99999999999513
RPS20	7.87710143484125e-07	1.48139995743031	0.0091361013377311	0.923851802936619	0.99999999999513
PSME1	7.85776796721696e-07	1.48023473172239	0.0090913092886589	0.924038133809765	0.99999999999513
ANP32B	7.80844650157637e-07	1.47725011785646	0.0089775392060371	0.924513499971573	0.99999999999513
TUBB	7.6602317581601e-07	1.46817536779092	0.0086399623647861	0.925942172867931	0.99999999999513
FBL	7.62883079802231e-07	1.46623201669579	0.0085692733681478	0.926244884103949	0.99999999999513
HNRNPF	7.30707235224502e-07	1.44588249465476	0.00786167067624	0.929347304306868	0.99999999999513
PSMB2	7.27971117287875e-07	1.44411413772941	0.0078029051833473	0.929611173163339	0.99999999999513
SLC25A6	6.92786183016678e-07	1.42081088522565	0.0070668596653944	0.933005057359732	0.99999999999513
MT-ND6	6.91449673244041e-07	1.41990435950277	0.0070396194670468	0.933133999426085	0.99999999999513
HMGA1	6.91133161470474e-07	1.41968943983208	0.0070331761565173	0.933164535697897	0.99999999999513
PSMA2	6.82962754911061e-07	1.41410988160139	0.0068678701064611	0.933952830193233	0.99999999999513
SRP9	6.75805924552712e-07	1.40917170001211	0.0067246861750407	0.934643386402959	0.99999999999513
ARF5	6.70849915310119e-07	1.40572374262527	0.0066264171248259	0.935121616187346	0.99999999999513
PSMB9	6.65361613158409e-07	1.40187795221239	0.0065184376379242	0.935651236852119	0.99999999999513
PCBP1	6.60292412660398e-07	1.39829976698021	0.0064194917623241	0.936140439548738	0.99999999999513
RANBP1	6.58444941239047e-07	1.39698939693109	0.0063836190620329	0.936318735601375	0.99999999999513
MT-ND4L	6.46085831358203e-07	1.38813515499396	0.0061462251628864	0.937511572162659	0.99999999999513
SNHG29	6.41695330371996e-07	1.38495211339024	0.0060629751750121	0.937935354224685	0.99999999999513
ALDOA	6.39655526707687e-07	1.38346645246895	0.006024490797741	0.938132247130028	0.99999999999513
SNRPD1	6.36606478660842e-07	1.38123755908938	0.0059671937638213	0.938426564822559	0.99999999999513
CCT5	6.07840289059062e-07	1.35971060009385	0.0054401014360409	0.941203708360551	0.99999999999513
RHOA	5.98373466397811e-07	1.3524204264718	0.0052719670467966	0.942117811749578	0.99999999999513
ACTR3	5.97940608983e-07	1.35208455723636	0.0052643424285163	0.942159609698771	0.99999999999513
H2AFV	5.9770116037089e-07	1.35189866435921	0.0052601270028562	0.9421827316096	0.99999999999513
PGK1	5.93084831423272e-07	1.34830134939127	0.005179187879342	0.942628508348382	0.99999999999513
SNHG32	5.86637511941827e-07	1.3432337741969	0.005067195872225	0.94325112510383	0.99999999999513
PSMA3	5.45695664055723e-07	1.30980136072019	0.0043845904962111	0.947205667160416	0.99999999999513
HSPD1	5.44976007949906e-07	1.30919327238843	0.0043730334438758	0.947275190118983	0.99999999999513
ARPC5	5.43306644560719e-07	1.30777985393423	0.0043462836386968	0.947436461860577	0.99999999999513
RHEB	5.32922263223564e-07	1.29889661128715	0.0041817277935913	0.948439711115927	0.99999999999513
SNHG5	5.32357495076092e-07	1.29840892176798	0.0041728692586626	0.948494276495886	0.99999999999513
GPI	5.29381717062698e-07	1.29583136843104	0.0041263485395053	0.948781786881283	0.99999999999513
DUT	5.19527924501208e-07	1.28719982616055	0.0039741643537404	0.949733876967039	0.99999999999513
HLA-A	5.11597144349942e-07	1.28014243754815	0.0038537563687109	0.950500214535096	0.99999999999513
TUBA1A	5.09026877698017e-07	1.27783357548508	0.0038151310567942	0.950748584813254	0.99999999999513
ARPC1A	5.08845985301212e-07	1.27767067587936	0.0038124199796149	0.950766065006918	0.99999999999513
B2M	5.0586123835473e-07	1.27497507553398	0.0037678259928295	0.951054493781041	0.99999999999513
ARPC2	4.9887897531163e-07	1.26861149527328	0.003664531296575	0.951729244493238	0.99999999999513
HLA-B	4.97404345677274e-07	1.26725703375497	0.00364289943729	0.951871753935963	0.99999999999513
LDHB	4.9452803899609e-07	1.26460443182493	0.0036008901521263	0.952149727046944	0.99999999999513
ECH1	4.92831050583959e-07	1.26303274753864	0.0035762194200142	0.952313730771501	0.99999999999513
CKS1B	4.890684071029e-07	1.25953006242465	0.0035218207699945	0.952677374829128	0.99999999999513
MUC1	4.88806134143594e-07	1.25928498445829	0.0035180444856492	0.952702722802982	0.99999999999513
TBCB	4.85439421671808e-07	1.25612818542765	0.0034697494497407	0.953028110719667	0.99999999999513
HNRNPL	4.73855935507231e-07	1.24511053289602	0.0033061357523808	0.954147697472239	0.99999999999513
ARHGDIB	4.63379586282621e-07	1.23492996953113	0.0031615629033939	0.955160353335691	0.99999999999513
HMGB2	4.56653224540828e-07	1.22828106423142	0.0030704433530966	0.955810569392574	0.99999999999513
