item	n	note
GEO series	1	GSE267321
Tumors (unit)	6	2 K + 2 KK + 2 KLK
KLK vs K tumors		2 vs 2; MW p cannot beat 1/3
Cells in matrix	7956	not the unit
Genes	22497	mm10 symbols
Author malignant labels	0	none deposited; title says non-malignant
Marker epithelial cells	380	not author-malignant
Host-epithelial cells	3	residual normal lung
T/NK cells	1794	Cd3d/e/g or Cd8a or Nkg7/Ncr1/Klrb1c
Cldn4-positive cells (any)	6	0.075% of matrix
Dual-high	0	not defined (Cldn4-only)
ICI arms	0	GEO treatment: no
Private KL libraries	0	public GEO only; no private 8 KL
