cohort	malig_def	tnk_def	score	gene	n	rho	p	note
GSE207422	author_DRMref	tnk	mean	TACSTD2	12	-0.4895104895104896	0.10625237175934595	A3 given DRMref; TACSTD2 not re-audited
GSE207422	author_DRMref	tnk	pct	TACSTD2	12	-0.6433566433566434	0.024003191200713647	A3 given secondary %pos; same 12-patient table
GSE207422	author_DRMref	tnk	mean	CLDN4	12	-0.09090909090909093	0.7787253962454419	CLDN4 from given A3 DRMref table; not on the A3 slide
GSE207422	marker_malig	tnk	mean	TACSTD2	7	-0.03571428571428572	0.9394082054712856	post, n_mal>=10
GSE207422	marker_malig	tnk	mean	CLDN4	7	0.25	0.5887244480896832	post, n_mal>=10
GSE207422	marker_malig	tnk	pct	TACSTD2	7	0.14285714285714288	0.7599453002180927	post, n_mal>=10
GSE207422	marker_malig	tnk	pct	CLDN4	7	0.0	1.0	post, n_mal>=10
GSE207422	marker_malig_nsclc	tnk	mean	TACSTD2	9	0.16666666666666669	0.668231040071504	post, n_mal_like>=10
GSE207422	marker_malig_nsclc	tnk	mean	CLDN4	9	0.03333333333333333	0.9321567355405039	post, n_mal_like>=10
GSE207422	marker_malig_nsclc	tnk	pct	TACSTD2	9	0.09999999999999999	0.797971695234851	post, n_mal_like>=10
GSE207422	marker_malig_nsclc	tnk	pct	CLDN4	9	0.03333333333333333	0.9321567355405039	post, n_mal_like>=10
GSE205335	author_malig	tnk	mean	TACSTD2	22	0.2840203274985884	0.20019815279526967	author malignant
GSE205335	author_malig	tnk	mean	CLDN4	22	-0.20045172219085267	0.3710825718233011	author malignant
GSE205335	author_malig	tnk	pct	TACSTD2	22	0.20835686053077357	0.3521105235596147	author malignant
GSE205335	author_malig	tnk	pct	CLDN4	22	-0.43534726143421804	0.042861326301676765	author malignant
GSE205335_NSCLC	author_malig	tnk	mean	TACSTD2	17	-0.11274509803921569	0.6665920499637249	author malignant
GSE205335_NSCLC	author_malig	tnk	mean	CLDN4	17	-0.022058823529411766	0.9330304490530753	author malignant
GSE205335_NSCLC	author_malig	tnk	pct	TACSTD2	17	-0.24754901960784317	0.33808764785888096	author malignant
GSE205335_NSCLC	author_malig	tnk	pct	CLDN4	17	-0.2058823529411765	0.42791485314270766	author malignant
GSE291670	marker_malig	tnk	mean	TACSTD2	6	-0.5428571428571429	0.26570262390670546	marker malignant
GSE291670	marker_malig	tnk	mean	CLDN4	6	-0.8285714285714287	0.04156268221574335	marker malignant
GSE291670	marker_malig	tnk	pct	TACSTD2	6	-0.4285714285714286	0.3965014577259473	marker malignant
GSE291670	marker_malig	tnk	pct	CLDN4	6	-0.8857142857142858	0.01884548104956266	marker malignant
GSE291670	marker_malig	tnk_umi	mean	TACSTD2	6	-0.3714285714285715	0.4684781341107872	marker malignant
GSE291670	marker_malig	tnk_umi	mean	CLDN4	6	-0.5428571428571429	0.26570262390670546	marker malignant
GSE291670	marker_malig	tnk_umi	pct	TACSTD2	6	0.028571428571428574	0.9571545189504373	marker malignant
GSE291670	marker_malig	tnk_umi	pct	CLDN4	6	-0.6	0.208	marker malignant
GSE253013	marker_malig	tnk	mean	TACSTD2	9	-0.7166666666666667	0.02981803569584528	tumor malig-like
GSE253013	marker_malig	tnk	mean	CLDN4	9	-0.33333333333333337	0.38071318167686347	tumor malig-like
GSE253013	marker_malig	tnk	mean_cp10k	TACSTD2	9	-0.7833333333333333	0.012519873019449885	tumor malig-like
GSE253013	marker_malig	tnk	mean_cp10k	CLDN4	9	-0.5499999999999999	0.12497678418833194	tumor malig-like
GSE253013	marker_malig	tnk	pct	TACSTD2	9	-0.8333333333333333	0.005265691029161747	tumor malig-like
GSE253013	marker_malig	tnk	pct	CLDN4	9	-0.5333333333333333	0.13922686754397814	tumor malig-like
GSE131907	author_malig	tnk	mean	TACSTD2	21	0.08181818181818182	0.7244098408074375	author Malignant cells subtype, n_mal>=20
GSE131907	author_malig	tnk	mean	CLDN4	21	-0.39610389610389607	0.07547637795047248	author Malignant cells subtype, n_mal>=20
GSE131907	author_malig	tnk	pct	TACSTD2	21	-0.15064935064935067	0.5145138644694079	author Malignant cells subtype, n_mal>=20
GSE131907	author_malig	tnk	pct	CLDN4	21	-0.5220779220779221	0.015195754492505785	author Malignant cells subtype, n_mal>=20
GSE325414	author_malig	tnk	mean	TACSTD2	25	-0.07307692307692308	0.7284839479101775	author malignant, donor
GSE325414	author_malig	tnk	mean	CLDN4	25	-0.11923076923076922	0.5702629145851892	author malignant, donor
