subset	score	conditioner	k_cov	rho_partial	p_partial	I2_partial	ci_lo	ci_hi	rho_unadj	p_unadj	attenuation	percent_attenuated	k	N	perm_p_attenuation
all4	pct	none	0	-0.11159814	0.46033442	0.15381993	-0.38810326	0.18333852	-0.11159814	0.46033442	0	0	4	65	nan
all4	pct	CLDN4	1	0.21633807	0.12388288	0	-0.06011113	0.46196459	-0.11159814	0.46033442	0.32793621	293.85455	4	65	9.9990001e-05
all4	pct	CLDN3	1	0.098549755	0.48887788	0	-0.17916919	0.36172183	-0.11159814	0.46033442	0.21014789	188.30771	4	65	0.00079992001
all4	pct	CLDN7	1	0.010262505	0.94272919	0	-0.26337543	0.282372	-0.11159814	0.46033442	0.12186064	109.19595	4	65	0.01509849
all4	pct	EPCAM	1	0.065597376	0.64562966	0	-0.21108163	0.33254463	-0.11159814	0.46033442	0.17719551	158.77999	4	65	0.00099990001
all4	pct	MUC1	1	0.048482133	0.73412674	0	-0.22742723	0.31718583	-0.11159814	0.46033442	0.16008027	143.4435	4	65	0.00389961
all4	pct	KRT19	1	0.0065471059	0.96344543	0	-0.26682996	0.27894902	-0.11159814	0.46033442	0.11814524	105.86668	4	65	0.01909809
author	pct	none	0	0.033835846	0.85212482	0.18012872	-0.31135932	0.37114251	0.033835846	0.85212482	0	0	2	43	nan
author	pct	CLDN4	1	0.3310154	0.041856594	0	0.012673112	0.58843093	0.033835846	0.85212482	0.29717955	-878.29797	2	43	0.00019998
author	pct	CLDN3	1	0.20986883	0.20755147	0	-0.11771201	0.49625749	0.033835846	0.85212482	0.17603298	-520.25587	2	43	0.00139986
author	pct	CLDN7	1	0.10207838	0.54450505	0	-0.22494557	0.40843343	0.033835846	0.85212482	0.068242534	-201.68709	2	43	0.074392561
author	pct	EPCAM	1	0.17170296	0.30490505	0	-0.15657488	0.46581733	0.033835846	0.85212482	0.13786711	-407.45873	2	43	0.0054994501
author	pct	MUC1	1	0.062666866	0.71046724	0	-0.2622707	0.37484083	0.033835846	0.85212482	0.02883102	-85.208507	2	43	0.33656634
author	pct	KRT19	1	0.14469515	0.38864441	0	-0.18347515	0.44384761	0.033835846	0.85212482	0.1108593	-327.63862	2	43	0.01769823
all4	mean	none	0	0.040849979	0.77662186	0.075226316	-0.23688922	0.31241668	0.040849979	0.77662186	0	0	4	65	nan
all4	mean	CLDN4	1	0.309746	0.024971004	0	0.040247819	0.53723404	0.040849979	0.77662186	0.26889602	-658.25253	4	65	0.00049995
all4	mean	CLDN3	1	0.22705677	0.12748485	0.090722911	-0.065990529	0.48404583	0.040849979	0.77662186	0.18620679	-455.83082	4	65	0.00389961
all4	mean	CLDN7	1	0.1222355	0.38981735	0	-0.15586416	0.38238033	0.040849979	0.77662186	0.081385518	-199.23026	4	65	0.076392361
all4	mean	EPCAM	1	0.094283436	0.62808421	0.4177952	-0.2803289	0.44397238	0.040849979	0.77662186	0.053433457	-130.80413	4	65	0.20347965
all4	mean	MUC1	1	0.11346343	0.42505685	0	-0.16453148	0.37475961	0.040849979	0.77662186	0.072613448	-177.75639	4	65	0.10208979
all4	mean	KRT19	1	0.1038925	0.46546285	0	-0.1739394	0.36640441	0.040849979	0.77662186	0.063042522	-154.32694	4	65	0.1479852
author	mean	none	0	0.19188224	0.23727564	0	-0.12723217	0.4749994	0.19188224	0.23727564	0	0	2	43	nan
author	mean	CLDN4	1	0.41164399	0.0096307794	0	0.10589611	0.64627969	0.19188224	0.23727564	0.21976175	-114.52949	2	43	0.00029997
author	mean	CLDN3	1	0.35961005	0.0259448	0	0.04511294	0.60925287	0.19188224	0.23727564	0.16772781	-87.411848	2	43	0.00129987
author	mean	CLDN7	1	0.24217164	0.14381148	0	-0.084016089	0.52148272	0.19188224	0.23727564	0.050289405	-26.208473	2	43	0.14458554
author	mean	EPCAM	1	0.31876668	0.050710031	0	-0.0010206932	0.57940601	0.19188224	0.23727564	0.12688444	-66.126201	2	43	0.0075992401
author	mean	MUC1	1	0.16734545	0.3175868	0	-0.16094824	0.46229704	0.19188224	0.23727564	-0.024536789	12.787421	2	43	0.3829617
author	mean	KRT19	1	0.23040399	0.16513481	0	-0.096378233	0.51234956	0.19188224	0.23727564	0.038521749	-20.075724	2	43	0.22867713
