set	gene	n_in_set
NHEJ_KEGG	RAD50	13
NHEJ_KEGG	DNTT	13
NHEJ_KEGG	FEN1	13
NHEJ_KEGG	XRCC6	13
NHEJ_KEGG	POLL	13
NHEJ_KEGG	POLM	13
NHEJ_KEGG	LIG4	13
NHEJ_KEGG	MRE11A	13
NHEJ_KEGG	PRKDC	13
NHEJ_KEGG	DCLRE1C	13
NHEJ_KEGG	XRCC4	13
NHEJ_KEGG	XRCC5	13
NHEJ_KEGG	NHEJ1	13
NHEJ_core	PRKDC	7
NHEJ_core	LIG4	7
NHEJ_core	XRCC4	7
NHEJ_core	XRCC5	7
NHEJ_core	XRCC6	7
NHEJ_core	NHEJ1	7
NHEJ_core	DCLRE1C	7
NHEJ_reactome	ARTN	29
NHEJ_reactome	ATM	29
NHEJ_reactome	BARD1	29
NHEJ_reactome	BRCA1	29
NHEJ_reactome	BRCC3	29
NHEJ_reactome	DCLRE1C	29
NHEJ_reactome	HERC2	29
NHEJ_reactome	KAT5	29
NHEJ_reactome	LIG4	29
NHEJ_reactome	MDC1	29
NHEJ_reactome	MRE11A	29
NHEJ_reactome	NHEJ1	29
NHEJ_reactome	PAXIP1	29
NHEJ_reactome	PIAS4	29
NHEJ_reactome	POLL	29
NHEJ_reactome	POLM	29
NHEJ_reactome	PRKDC	29
NHEJ_reactome	RAD50	29
NHEJ_reactome	RNF168	29
NHEJ_reactome	RNF8	29
NHEJ_reactome	TDP1	29
NHEJ_reactome	TDP2	29
NHEJ_reactome	TP53BP1	29
NHEJ_reactome	UBE2N	29
NHEJ_reactome	UBE2V2	29
NHEJ_reactome	UIMC1	29
NHEJ_reactome	XRCC4	29
NHEJ_reactome	XRCC5	29
NHEJ_reactome	XRCC6	29
IFNg	STAT1	200
IFNg	ISG15	200
IFNg	IFIT1	200
IFNg	MX1	200
IFNg	IFIT3	200
IFNg	IFI35	200
IFNg	IRF7	200
IFNg	IFIT2	200
IFNg	OAS2	200
IFNg	TAP1	200
IFNg	EIF2AK2	200
IFNg	RSAD2	200
IFNg	MX2	200
IFNg	IRF1	200
IFNg	OAS3	200
IFNg	TNFSF10	200
IFNg	IRF9	200
IFNg	CXCL10	200
IFNg	IFI44	200
IFNg	BST2	200
IFNg	XAF1	200
IFNg	SP110	200
IFNg	OASL	200
IFNg	PSMB8	200
IFNg	IFI44L	200
IFNg	IFITM3	200
IFNg	DDX60	200
IFNg	LGALS3BP	200
IFNg	GBP4	200
IFNg	IRF8	200
IFNg	PSMB9	200
IFNg	PML	200
IFNg	IFIH1	200
IFNg	UBE2L6	200
IFNg	IFI27	200
IFNg	ADAR	200
IFNg	LY6E	200
IFNg	STAT2	200
