cohort	stratum	method	contrast	nhej_set	ifn_set	sting_set	apm_set	n	n_match	n_sig_match	n_sig_wrong	top_p_matches	top_family	top_geneset	top_p	signed_logp	qualifies	nhej_effect	nhej_p	nhej_match	ifn_effect	ifn_p	ifn_match	sting_effect	sting_p	sting_match	apm_effect	apm_p	apm_match
LUSC	krt_high	gsva	mw_d1d10	NHEJ_KEGG	IFNg	STING_reactome	APM_nonIFN	50	4	0	0	True	APM	APM_nonIFN	0.4609348858547981	1.064781000329588	False	-0.0688631624895859	0.65540543793669	True	0.0699213171795039	0.497074660807861	True	0.0133895558371616	0.5736510006245363	True	0.1115795641601344	0.4609348858547981	True
LUSC	krt_high	gsva	mw_d1d10	NHEJ_KEGG	IFNg	STING_reactome	APM	50	4	0	0	True	IFN	IFNg	0.497074660807861	0.9307197878405516	False	-0.0688631624895859	0.65540543793669	True	0.0699213171795039	0.497074660807861	True	0.0133895558371616	0.5736510006245363	True	0.074045985948203	0.6276258050283593	True
LUSC	krt_high	gsva	mw_d1d10	NHEJ_KEGG	IFNa	STING_reactome	APM_nonIFN	50	4	0	0	True	APM	APM_nonIFN	0.4609348858547981	0.8576471926734912	False	-0.0688631624895859	0.65540543793669	True	0.076344088867792	0.8008578418954853	True	0.0133895558371616	0.5736510006245363	True	0.1115795641601344	0.4609348858547981	True
LUSC	krt_high	gsva	mw_d1d10	NHEJ_KEGG	IFNa	STING_reactome	APM	50	4	0	0	True	STING	STING_reactome	0.5736510006245363	0.7235859801844551	False	-0.0688631624895859	0.65540543793669	True	0.076344088867792	0.8008578418954853	True	0.0133895558371616	0.5736510006245363	True	0.074045985948203	0.6276258050283593	True
LUAD	immune_high	aucell	partial_krt	NHEJ_core	IFNg	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	3.470158784036129e-07	7.377285512049039	False	-0.0479866082913533	0.4445878908981147	False	-0.1045477084345027	0.0950868018768332	True	-0.0361108857709704	0.5652004901098008	True	-0.3120355271534477	3.470158784036129e-07	True
LUAD	immune_high	aucell	partial_krt	NHEJ_KEGG	IFNg	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	3.470158784036129e-07	7.376362728437318	False	-0.0480859877254215	0.4436442388618491	False	-0.1045477084345027	0.0950868018768332	True	-0.0361108857709704	0.5652004901098008	True	-0.3120355271534477	3.470158784036129e-07	True
LUAD	immune_high	aucell	partial_krt	NHEJ_reactome	IFNg	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	3.470158784036129e-07	7.204244569676275	False	-0.065231017240846	0.2984809974962952	False	-0.1045477084345027	0.0950868018768332	True	-0.0361108857709704	0.5652004901098008	True	-0.3120355271534477	3.470158784036129e-07	True
LUAD	immune_high	zmean	partial_krt	NHEJ_core	IFNg	STING_reactome	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	2.789217013011456e-07	7.07738310647151	False	-0.0487131766807697	0.4377151017450185	False	-0.0530647966916931	0.3978442423979531	True	-0.0611148013541207	0.3300753110736869	True	-0.3144309236799335	2.789217013011456e-07	True
LUAD	immune_high	aucell	partial_krt	NHEJ_core	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	3.470158784036129e-07	6.963116641148918	False	-0.0479866082913533	0.4445878908981147	False	-0.0726495245262991	0.2467681536203752	True	-0.0361108857709704	0.5652004901098008	True	-0.3120355271534477	3.470158784036129e-07	True
LUAD	immune_high	aucell	partial_krt	NHEJ_KEGG	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	3.470158784036129e-07	6.962193857537197	False	-0.0480859877254215	0.4436442388618491	False	-0.0726495245262991	0.2467681536203752	True	-0.0361108857709704	0.5652004901098008	True	-0.3120355271534477	3.470158784036129e-07	True
LUAD	immune_high	zmean	partial_krt	NHEJ_core	IFNa	STING_reactome	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	2.789217013011456e-07	6.916834493343706	False	-0.0487131766807697	0.4377151017450185	False	-0.0351329771719668	0.5757867815334159	True	-0.0611148013541207	0.3300753110736869	True	-0.3144309236799335	2.789217013011456e-07	True
LUAD	immune_high	aucell	partial_krt	NHEJ_reactome	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	3.470158784036129e-07	6.790075698776154	False	-0.065231017240846	0.2984809974962952	False	-0.0726495245262991	0.2467681536203752	True	-0.0361108857709704	0.5652004901098008	True	-0.3120355271534477	3.470158784036129e-07	True
LUAD	immune_high	aucell	partial_immune_krt	NHEJ_core	IFNg	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	9.640289319994625e-07	6.263912563002012	False	-0.0583288265275307	0.3535888765238293	False	-0.0685911917399228	0.2751770473330487	True	-0.0220591954205465	0.7259116341817505	True	-0.3011074950110629	9.640289319994625e-07	True
LUAD	immune_high	aucell	partial_immune_krt	NHEJ_KEGG	IFNg	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	9.640289319994625e-07	6.26299619488698	False	-0.0584190449546965	0.3528435850568476	False	-0.0685911917399228	0.2751770473330487	True	-0.0220591954205465	0.7259116341817505	True	-0.3011074950110629	9.640289319994625e-07	True
LUAD	immune_high	gsva	partial_krt	NHEJ_core	IFNg	STING_reactome	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	8.326878462716475e-07	6.09978815021909	False	-0.0766461622425592	0.2216563198069213	False	-0.0474389868888623	0.4498081742725752	True	-0.0453222271192163	0.4703080352104982	True	-0.3022189319787922	8.326878462716475e-07	True
