dataset	unit	contrast	n	rho	p	ok	note
NSCLC_GSE146100	sample	TACSTD2_mean_vs_fracTNK	3			False	n=3<5; Spearman not computed
NSCLC_GSE146100	sample	TACSTD2_pctpos_vs_fracTNK	3			False	n=3<5; Spearman not computed
NSCLC_GSE146100	sample	CLDN4_mean_vs_fracTNK	3			False	n=3<5; Spearman not computed
NSCLC_GSE146100	sample	CLDN4_pctpos_vs_fracTNK	3			False	n=3<5; Spearman not computed
NSCLC_GSE146100	sample	EPCAM_mean_vs_fracTNK	3			False	n=3<5; Spearman not computed
NSCLC_GSE146100	sample	PTPRC_mean_vs_fracTNK	3			False	n=3<5; Spearman not computed
NSCLC_GSE117570	sample	TACSTD2_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE117570	sample	TACSTD2_pctpos_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE117570	sample	CLDN4_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE117570	sample	CLDN4_pctpos_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE117570	sample	EPCAM_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE117570	sample	PTPRC_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE127465	patient	TACSTD2_mean_vs_fracTNK	7	0.3214285714285715	0.48207203829967776	True	
NSCLC_GSE127465	patient	TACSTD2_pctpos_vs_fracTNK	7	0.3571428571428572	0.431611352038328	True	
NSCLC_GSE127465	patient	CLDN4_mean_vs_fracTNK	7	0.10714285714285716	0.8191508555699912	True	
NSCLC_GSE127465	patient	CLDN4_pctpos_vs_fracTNK	7	0.1785714285714286	0.7016579425162727	True	
NSCLC_GSE127465	patient	EPCAM_mean_vs_fracTNK	7	0.14285714285714288	0.7599453002180927	True	
NSCLC_GSE127465	patient	PTPRC_mean_vs_fracTNK	7	0.14285714285714288	0.7599453002180927	True	
NSCLC_GSE131907	sample	TACSTD2_mean_vs_fracTNK	27	0.15567765567765565	0.4381074936539836	True	
NSCLC_GSE131907	sample	TACSTD2_pctpos_vs_fracTNK	27	0.16605616605616605	0.40778704222160084	True	
NSCLC_GSE131907	sample	CLDN4_mean_vs_fracTNK	27	0.03785103785103785	0.8513156942053682	True	
NSCLC_GSE131907	sample	CLDN4_pctpos_vs_fracTNK	27	0.0018315018315018313	0.9927661408258597	True	
NSCLC_GSE131907	sample	EPCAM_mean_vs_fracTNK	27	-0.18681318681318682	0.350805974876726	True	
NSCLC_GSE131907	sample	PTPRC_mean_vs_fracTNK	27	0.7374847374847374	1.1394192509755434e-05	True	
NSCLC_GSE148071	sample	TACSTD2_mean_vs_fracTNK	25	-0.1376923076923077	0.5115973965854037	True	
NSCLC_GSE148071	sample	TACSTD2_pctpos_vs_fracTNK	25	-0.17615384615384613	0.39962412508987566	True	
NSCLC_GSE148071	sample	CLDN4_mean_vs_fracTNK	25	0.13538461538461538	0.5187661950161317	True	
NSCLC_GSE148071	sample	CLDN4_pctpos_vs_fracTNK	25	0.04384615384615385	0.835145685000621	True	
NSCLC_GSE148071	sample	EPCAM_mean_vs_fracTNK	25	-0.10538461538461538	0.6161273255695086	True	
NSCLC_GSE148071	sample	PTPRC_mean_vs_fracTNK	25	-0.19465282145032076	0.3511309002462874	True	
NSCLC_GSE143423	sample	TACSTD2_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE143423	sample	TACSTD2_pctpos_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE143423	sample	CLDN4_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE143423	sample	CLDN4_pctpos_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE143423	sample	EPCAM_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE143423	sample	PTPRC_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE149655	sample	TACSTD2_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE149655	sample	TACSTD2_pctpos_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE149655	sample	CLDN4_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE149655	sample	CLDN4_pctpos_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE149655	sample	EPCAM_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE149655	sample	PTPRC_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE150660	sample	TACSTD2_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE150660	sample	TACSTD2_pctpos_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE150660	sample	CLDN4_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE150660	sample	CLDN4_pctpos_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE150660	sample	EPCAM_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE150660	sample	PTPRC_mean_vs_fracTNK	2			False	n=2<5; Spearman not computed
NSCLC_GSE153935	sample	TACSTD2_mean_vs_fracTNK	5	-0.6	0.28475697986529386	True	
NSCLC_GSE153935	sample	TACSTD2_pctpos_vs_fracTNK	5	-0.39999999999999997	0.5046315754686912	True	
NSCLC_GSE153935	sample	CLDN4_mean_vs_fracTNK	5	0.19999999999999998	0.7470600781046621	True	
NSCLC_GSE153935	sample	CLDN4_pctpos_vs_fracTNK	5	0.8999999999999998	0.03738607346849874	True	
NSCLC_GSE153935	sample	EPCAM_mean_vs_fracTNK	5	0.8999999999999998	0.03738607346849874	True	
NSCLC_GSE153935	sample	PTPRC_mean_vs_fracTNK	5	-0.7	0.1881204043741873	True	
NSCLC_GSE162498	sample	TACSTD2_mean_vs_fracTNK	8	-0.523809523809524	0.1827207505397148	True	
NSCLC_GSE162498	sample	TACSTD2_pctpos_vs_fracTNK	8	-0.3571428571428572	0.38512064355625614	True	
NSCLC_GSE162498	sample	CLDN4_mean_vs_fracTNK	8	-0.523809523809524	0.1827207505397148	True	
NSCLC_GSE162498	sample	CLDN4_pctpos_vs_fracTNK	8	-0.38095238095238104	0.35181255311756476	True	
NSCLC_GSE162498	sample	EPCAM_mean_vs_fracTNK	8	-0.2380952380952381	0.5701563208157683	True	
NSCLC_GSE162498	sample	PTPRC_mean_vs_fracTNK	8	0.5476190476190477	0.16002564253889653	True	
