Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,Mouse_treatment,pvalue,label,label2,num,count
SRX8918387,Actb,11.9308044640575,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0361132724753138,*,NA,2,17
SRX8918391,Actb,11.6099499480269,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0361132724753138,NA,NA,2,17
SRX8918392,Actb,11.4073610708262,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0361132724753138,NA,NA,2,17
SRX8918389,Actb,11.3846286335495,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0361132724753138,NA,NA,2,17
SRX8918390,Actb,11.3631651808578,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0361132724753138,NA,NA,2,17
SRX8918393,Actb,11.3174585293168,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0361132724753138,NA,NA,2,17
SRX8918388,Actb,10.0804113897775,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0361132724753138,NA,NA,2,17
SRX8918394,Actb,11.8707097180849,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918395,Actb,11.6902459322307,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918396,Actb,11.9666025344471,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918397,Actb,11.9666025344471,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918398,Actb,11.7539078888708,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918399,Actb,12.0004066583888,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918400,Actb,11.7850865747363,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918401,Actb,12.0311960944389,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918402,Actb,10.4928981572483,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918403,Actb,10.339588948532,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918407,Actb,11.6902459322307,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.249620633924719,NA,NA,2,16
SRX8918405,Actb,11.2383060622573,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.249620633924719,NA,NA,2,16
SRX8918409,Actb,11.1838648930393,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.249620633924719,NA,NA,2,16
SRX8918408,Actb,11.0035481951833,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.249620633924719,NA,NA,2,16
SRX8918406,Actb,10.9393221862717,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.249620633924719,NA,NA,2,16
SRX8918404,Actb,10.1710422073281,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.249620633924719,NA,NA,2,16
SRX8918410,Actb,11.9308044640575,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918411,Actb,12.1518927926732,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918412,Actb,11.9666025344471,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918413,Actb,11.8707097180849,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918414,Actb,11.9666025344471,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918415,Actb,11.8707097180849,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918416,Actb,11.3631651808578,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918417,Actb,11.8963942404988,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918418,Actb,10.0252980637754,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918419,Actb,11.7850865747363,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
