Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,Mouse_treatment,pvalue,label,label2,num,count
SRX8918391,Cldn4,0.332439814411969,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Responders,0,GSE155972,antiPD1; antiCTL4;,0.617583278510816,NA,NA,2,16
SRX8918388,Cldn4,0.255334268389151,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Responders,0,GSE155972,antiPD1; antiCTL4;,0.617583278510816,NA,NA,2,16
SRX8918390,Cldn4,0.138449148826943,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Responders,0,GSE155972,antiPD1; antiCTL4;,0.617583278510816,NA,NA,2,16
SRX8918387,Cldn4,0.103248836721031,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Responders,0,GSE155972,antiPD1; antiCTL4;,0.617583278510816,NA,NA,2,16
SRX8918392,Cldn4,0.0795820408275932,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Responders,0,GSE155972,antiPD1; antiCTL4;,0.617583278510816,NA,NA,2,16
SRX8918389,Cldn4,0.0700207017300943,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Responders,0,GSE155972,antiPD1; antiCTL4;,0.617583278510816,NA,NA,2,16
SRX8918394,Cldn4,0.10634205277227,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918395,Cldn4,0.12605043643627,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918396,Cldn4,0.885952793621292,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918397,Cldn4,0.390182040177505,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918398,Cldn4,0.462286193374902,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918399,Cldn4,0.377823029258018,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
