Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,Mouse_treatment,pvalue,label,label2,num,count
SRX8918387,Ptprc,7.11367581302201,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0333493315413535,*,NA,2,17
SRX8918392,Ptprc,6.93437637143522,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0333493315413535,NA,NA,2,17
SRX8918393,Ptprc,6.6200444362966,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0333493315413535,NA,NA,2,17
SRX8918390,Ptprc,5.63431263817891,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0333493315413535,NA,NA,2,17
SRX8918389,Ptprc,5.58721784517296,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0333493315413535,NA,NA,2,17
SRX8918391,Ptprc,5.04204863666656,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0333493315413535,NA,NA,2,17
SRX8918388,Ptprc,4.33441245759878,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Responders,0,GSE155972,antiPD1; antiCTL4;,0.0333493315413535,NA,NA,2,17
SRX8918394,Ptprc,4.54688008524032,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918395,Ptprc,5.31429693089439,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918396,Ptprc,5.75386492757449,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918397,Ptprc,5.51920941729372,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918398,Ptprc,5.15336185780674,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918399,Ptprc,5.28621319137119,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918400,Ptprc,5.23956276353538,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918401,Ptprc,5.97113064041088,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918402,Ptprc,4.37866995737938,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918403,Ptprc,4.19980170470061,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,17
SRX8918407,Ptprc,6.80160936247292,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.230570963230908,NA,NA,2,16
SRX8918409,Ptprc,5.82865724416896,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.230570963230908,NA,NA,2,16
SRX8918405,Ptprc,5.46780453528717,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.230570963230908,NA,NA,2,16
SRX8918408,Ptprc,5.38795811671222,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.230570963230908,NA,NA,2,16
SRX8918406,Ptprc,4.90307710239441,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.230570963230908,NA,NA,2,16
SRX8918404,Ptprc,4.24710292146095,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Non-responders,0,GSE155972,antiPD1; antiCTL4;,0.230570963230908,NA,NA,2,16
SRX8918410,Ptprc,4.25189083087906,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918411,Ptprc,5.8560762717793,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918412,Ptprc,5.07655137949766,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918413,Ptprc,4.87052385151482,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918414,Ptprc,4.83207977206078,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918415,Ptprc,4.86817117340152,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918416,Ptprc,4.09484241967081,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918417,Ptprc,5.54382959069748,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918418,Ptprc,4.28026813102356,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
SRX8918419,Ptprc,5.18241759413877,LLC_GSE155972_antiCTLA4&antiPD1(n=16),Baseline,1,GSE155972,no_treatment,NA,NA,NA,2,16
