score	adjustment	gene	k	N	rho	p	I2	ci_lo	ci_hi
pct	none	CLDN4	4	65	-0.531167804568999	1.646223294457401e-05	0.0	-0.6967711225150761	-0.311805256820976
pct	none	CLDN3	4	65	-0.4082407609026412	0.002566436035371524	0.07204157728925652	-0.6139715906094053	-0.15057186483077914
pct	none	CLDN7	4	65	-0.40873177358495566	0.08864045810730724	0.6844667563786603	-0.7323593071446132	0.06552767591295217
pct	none	OCLN	4	65	-0.20782774406802132	0.1707449821681441	0.17443039530650045	-0.47202013532817055	0.09061724249021536
pct	none	F11R	4	65	-0.18548683731752652	0.1718828119955148	0.0	-0.427542666771892	0.08138718128898147
pct	none	CDH1	4	65	-0.4011987499286411	0.09915199680441006	0.6913624976937031	-0.7307473951280359	0.0800043002363065
pct	KRT	CLDN4	4	65	-0.47780081782930656	0.00027167152904002383	0.0	-0.6641097870559447	-0.2356191206641009
pct	KRT	CLDN3	4	65	-0.3456693270493618	0.011615377569065619	0.0	-0.5652514589681372	-0.08034343791683837
pct	KRT	CLDN7	4	65	-0.3524695688380287	0.10155246384100733	0.5560087610324521	-0.669084363873168	0.07243469785609591
pct	KRT	OCLN	4	65	-0.1570690752559495	0.26757626060762774	0.0	-0.4123008989622015	0.12102367909543359
pct	KRT	F11R	4	65	-0.06965482191618386	0.6252845233939621	0.0	-0.3361696024713726	0.20718874150425368
pct	KRT	CDH1	4	65	-0.27650615632107267	0.07337633105906165	0.15582449813181476	-0.5332447878042855	0.02687180452825579
mean	none	CLDN4	4	65	-0.3936479270059006	0.0024510197999868546	0.0	-0.5949776045406042	-0.14583561925356242
mean	none	CLDN3	4	65	-0.33431149698623813	0.01137028175401362	0.0	-0.5489667343025636	-0.07828719482878557
mean	none	CLDN7	4	65	-0.3642588243737818	0.21473987957450064	0.7839669277374207	-0.7552000059475149	0.21782652725898682
mean	none	OCLN	4	65	-0.1430078121671643	0.37786480830077107	0.2560131045600206	-0.4333731787373685	0.1742561262476983
mean	none	F11R	4	65	-0.09607010150364122	0.48295074150433165	0.0	-0.35013184505265776	0.17115802885577497
mean	none	CDH1	4	65	-0.30348153859056926	0.24429173578606295	0.7169177878859112	-0.6862514881499229	0.2109219250547105
mean	KRT	CLDN4	4	65	-0.33767716488639815	0.013882908653387517	0.0	-0.5590625035461718	-0.07134698070455948
mean	KRT	CLDN3	4	65	-0.24977546766824163	0.07406473241131031	0.0	-0.48932566701336677	0.024821575438898902
mean	KRT	CLDN7	4	65	-0.243518683705297	0.3766088711292641	0.7147475477340195	-0.6637057527114166	0.29349431419743244
mean	KRT	OCLN	4	65	-0.08307467122219588	0.5599834840138118	0.0	-0.34808807309101747	0.1942339851036513
mean	KRT	F11R	4	65	0.022421999357417986	0.8752603691074329	0.0	-0.2520252432112192	0.29353094132986385
mean	KRT	CDH1	4	65	-0.16133109388180467	0.37285114269078756	0.341555943008366	-0.47825152787381076	0.19276635526292504
