gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
CCL5	-2.6695940998946543	4.113288771177138	-5.786897274879265	4.94642671409935e-06	0.46131700168297035	25	0.008565580314007922	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN|chemokine
GZMA	-2.393115084224524	3.0251862567946186	-5.4659966915290985	1.121769448240224e-05	0.43781861191633037	25	0.009731349963483942	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
CD69	-2.7952781244198617	3.1673468171633905	-4.973047787690009	3.996328103431125e-05	0.5620855145086538	25	0.016604168994758806	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
GBP2	-2.686505626539202	4.150940442472011	-4.730971682526431	7.482598467146852e-05	0.5678549369597063	25	0.02057557632120546	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
CCL3	-2.3458578701566317	3.896771964945883	-4.729522010308518	7.510777139344932e-05	0.49600316163950064	25	0.02057557632120546	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	chemokine
TBCD	0.9560762907448475	4.558014756578009	4.657015981404881	9.064387364055284e-05	0.2052980480553189	25	0.022829098175761817	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
XCL2	-1.6721806657282383	1.1883679931814466	-4.449532869107312	0.0001552191021018043	0.37581038615042744	25	0.03045741501184388	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	chemokine
CLDN3	2.002685149050228	7.061003411383348	4.194316020693849	0.00030037923908967046	0.4774759791988521	25	0.041136810090263126	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
CCL4	-2.244746395855009	4.75872046575904	-4.188400270151167	0.00030500111924790035	0.5359436183433328	25	0.041136810090263126	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	chemokine
GBP4	-2.312574003755169	2.8414528229797167	-4.072095637665258	0.00041161699981021326	0.5679075860509717	25	0.04612684471535739	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
TAP2	-1.7432768703772692	4.6718221862273825	-3.9725003946428736	0.0005316831591193184	0.43883617298771577	25	0.05124834894844542	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	MHC-I/APM
CSF2RB	-1.146579452755649	0.8504997476281899	-3.923042607201815	0.0006035603913565928	0.29226790722353857	25	0.053428481676461394	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
PSME2	-0.8270586618653168	7.6794342259401835	-3.8304055386001394	0.000764881801252151	0.21591934679782596	25	0.05769869239880357	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
AUTS2	2.583653325482504	4.224902024568013	3.72977285923414	0.0009883094943350216	0.6927106349347567	25	0.0626510195128366	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
STAT2	-0.8828092422089391	4.703433028578468	-3.69625583284661	0.0010760826518321164	0.23883878230610953	25	0.06391242598995639	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
PECAM1	-1.9069253619628548	2.443506103518713	-3.6731699282582673	0.0011409366890037962	0.5191497804913902	25	0.06513047141089097	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
STAT1	-1.119506929445599	6.209749014247364	-3.6558466715810787	0.0011921010771884038	0.30622370958501804	25	0.06577617781023648	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
TAP1	-1.7230178797769098	5.89856016302805	-3.648298583649424	0.00121509072864464	0.4722798423075779	25	0.06657418150100369	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN|MHC-I/APM
JAK2	-0.8580345491963877	2.036494375561126	-3.644185755844319	0.0012277994448304404	0.23545302206955973	25	0.06661462820789124	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
IL10RA	-1.4443184591668625	1.9554589727019733	-3.5546827749104426	0.0015388782035682684	0.4063143044327636	25	0.07628439094831274	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
