scope	n_patients	predictor	regulon	spearman_rho	spearman_p	n_q1	n_q4	n_compared	median_q1	median_q4	delta_median	q4q1_r	q4q1_p	thin
triple	90	CLDN4_mean_rank_in_dataset	AUCell:IFN_STAT1	-0.058867110646459817	0.5815416151201224	23	23	46	0.5714285714285714	0.4523809523809524	-0.11904761904761901	-0.18714555765595464	0.281708239251961	False
triple	90	CLDN4_pctpos_rank_in_dataset	AUCell:IFN_STAT1	-0.01932052981222783	0.8565674465996901	23	23	46	0.5	0.46875	-0.03125	-0.10018903591682415	0.5678172032801876	False
triple	90	CLDN4_mean_rank_in_dataset	module:IFN_STAT1	0.009573828790635263	0.9286386574858702	23	23	46	0.5476190476190477	0.47619047619047616	-0.07142857142857151	-0.11909262759924388	0.49584327185880905	False
triple	90	CLDN4_pctpos_rank_in_dataset	module:IFN_STAT1	0.026647019600418185	0.8031237918619449	23	23	46	0.5454545454545454	0.5	-0.045454545454545414	-0.05860113421550095	0.7417492970289709	False
triple	90	CLDN4_mean_rank_in_dataset	AUCell:MHC_NLRC5	-0.2108274303844092	0.046085866001805115	23	23	46	0.6818181818181818	0.35714285714285715	-0.3246753246753246	-0.4593572778827977	0.007854274359440427	False
triple	90	CLDN4_pctpos_rank_in_dataset	AUCell:MHC_NLRC5	-0.2881662187355678	0.0058826100925830705	23	23	46	0.6818181818181818	0.3125	-0.36931818181818177	-0.4820415879017014	0.005269405419219314	False
triple	90	CLDN4_mean_rank_in_dataset	module:MHC_NLRC5	-0.039982877417124224	0.7082864927284427	23	23	46	0.5952380952380952	0.375	-0.22023809523809523	-0.22117202268431002	0.2025881263524114	False
triple	90	CLDN4_pctpos_rank_in_dataset	module:MHC_NLRC5	-0.09441293413568	0.37608174093438324	23	23	46	0.65625	0.375	-0.28125	-0.224952741020794	0.19491290912722659	False
triple	90	CLDN4_mean_rank_in_dataset	AUCell:TJ_barrier	0.5214402726442042	1.3663788921769787e-07	23	23	46	0.23809523809523808	0.7380952380952381	0.5	0.7996219281663517	3.548521064998912e-06	False
triple	90	CLDN4_pctpos_rank_in_dataset	AUCell:TJ_barrier	0.4795722647085457	1.7320577790072914e-06	23	23	46	0.23809523809523808	0.6875	0.4494047619047619	0.6370510396975426	0.00022313040295408559	False
triple	90	CLDN4_mean_rank_in_dataset	module:TJ_barrier	0.6520989311362836	3.353451506212718e-12	23	23	46	0.21875	0.75	0.53125	0.9262759924385633	7.802796182633488e-08	False
triple	90	CLDN4_pctpos_rank_in_dataset	module:TJ_barrier	0.6440069642444061	7.51959455467189e-12	23	23	46	0.22727272727272727	0.75	0.5227272727272727	0.8431001890359169	1.0171386008118593e-06	False
triple	90	CLDN4_mean_rank_in_dataset	AUCell:ELF3_CollecTRI	-0.0872009746650333	0.4137823557817298	23	23	46	0.4523809523809524	0.38095238095238093	-0.07142857142857145	-0.11153119092627595	0.5240556469270492	False
triple	90	CLDN4_pctpos_rank_in_dataset	AUCell:ELF3_CollecTRI	-0.1311842473578751	0.21777704969368458	23	23	46	0.40625	0.375	-0.03125	-0.14555765595463133	0.4038140735077811	False
triple	90	CLDN4_mean_rank_in_dataset	module:ELF3_CollecTRI	0.2822557078216634	0.007032093220442251	23	23	46	0.36363636363636365	0.5952380952380952	0.2316017316017316	0.3421550094517958	0.04801606175747826	False
triple	90	CLDN4_pctpos_rank_in_dataset	module:ELF3_CollecTRI	0.2988100775262063	0.004225690177700138	23	23	46	0.2857142857142857	0.59375	0.3080357142857143	0.4328922495274101	0.012252219362722805	False
triple	90	CLDN4_mean_rank_in_dataset	AUCell:HK_CTRL	-0.09928628464647628	0.3518281815443061	23	23	46	0.6666666666666666	0.5952380952380952	-0.0714285714285714	-0.07372400756143671	0.6763376432487211	False
triple	90	CLDN4_pctpos_rank_in_dataset	AUCell:HK_CTRL	-0.023304823135243707	0.8274072369244152	23	23	46	0.59375	0.5952380952380952	0.0014880952380952328	0.005671077504725952	0.982470378026177	False
