accession	archives	open_public	cancer	drug_in_the_deposited_experiment	assay	deposited_contrast	n	TACSTD2_CLDN4_IFN_readable	lung_cancer	scored_here	disposition
GSE312098 / PRJNA1372170	GEO, SRA	yes	colorectal CX-1 cell line	IMMU132 (sacituzumab govitecan), 3 ug/ml, 48 h	bulk RNA-seq, author FPKM	IMMU132 vs control; also GSK2606414 and combination	3 vs 3 per arm, 12 samples	yes	no	yes	Weak analogy only. Closest open ADC-vs-control expression matrix.
GSE311016 / PRJNA1368476	GEO, SRA	yes	colorectal PDX	IMMU132	bulk RNA-seq, author FPKM	IMMU132 vs vehicle, day 29, paired models	5 pairs	yes	no	no	Open colorectal RNA. Already scored in PR 294. Not re-scored.
GSE304294 / PRJNA1300296	GEO, SRA	yes	esophageal squamous KYSE30	IMMU132	bulk RNA-seq, author FPKM	IMMU132 vs vehicle, 1 day	2 vs 3	yes	no	no	Open ESCC RNA. Already scored in PR 294. Not re-scored.
E-MTAB-16433 / PRJEB105687	ArrayExpress, SRA	yes	colorectal PDOX HD42466	Trodelvy (sacituzumab govitecan)	scRNA-seq	SG vs vehicle, 28 d	4 vs 4 mice	yes	no	no	Open colorectal RNA. Already scored in PR 294. Not re-scored.
E-MTAB-16843 / PRJEB111028	ArrayExpress, SRA	yes	colorectal organoid HD42466	SG vs IgG1-SN-38	hashed scRNA-seq time course	both arms present	4 ENA samples	yes, in a multi-GB matrix	no	no	Real SG RNA. Full processed matrices are multi-GB. Not lung. Not scored.
E-MTAB-16849 / PRJEB111088	ArrayExpress, SRA	yes	colorectal liver-metastasis PDOX	SG vs IgG1-SN-38	hashed scRNA-seq time course	both arms in the full matrix	6 ENA samples	yes, in a multi-GB matrix	no	no	Real SG RNA. Not lung. Not scored.
GSE278664 / PRJNA1168164	GEO, SRA	yes	high-grade serous ovarian biopsies	none in the matrix; paper discusses SG	bulk RNA-seq	BRCAmut vs BRCAwt; trial treatment is prexasertib	35 biopsies	genes are in the RNA, no SG arm	no	no	No sacituzumab-versus-control contrast.
PRJNA1169861	SRA	yes	breast cancer PDX	study tested datopotamab deruxtecan; RNA samples have no treatment attribute	2 RNA-seq + 14 WXS + 8 genomic targeted-capture	RNA is BCX.024 and BCX.094 baselines (collected 2012 and 2014)	2 RNA-seq libraries	RNA could be quantified; there is no ADC-versus-control pair	no	no	Not a datopotamab expression contrast. No GEO Series.
PRJNA754211 / phs002555	SRA metadata, dbGaP runs	metadata public, runs in dbgap cluster	metastatic triple-negative breast cancer	sacituzumab govitecan, clinical	WXS	pre/post clinical SG, genomic DNA	26 experiments	no expression readout	no	no	The only SRA hit from a lung-token query. It is TNBC exome, not lung RNA.
PRJNA754210	BioProject	RNA not in public SRA	metastatic triple-negative breast cancer	sacituzumab govitecan, clinical	description says WES and RNA	pre/post clinical SG	0 public SRA experiments	no public matrix	no	no	Controlled-access companion of the Coates/Bardia SG resistance study. Not opened.
GSE302284 / PRJNA1289808	GEO, SRA	yes	EGFR-mutant NSCLC residual tissue	none; paper is TROP2 CAR-T after EGFR TKI	scRNA-seq	osimertinib residual tumor and lymph node	6	TACSTD2/CLDN4 may be measurable; the arm is not an ADC	yes, but not ADC treatment	no	Only GEO Series returned by drug-name AND lung. Deposited RNA is not sacituzumab, SKB264, or datopotamab.
PRJNA1357832	SRA	yes	TNBC HCC1806	ASA, a TROP2-antibody BRD4 PROTAC, vs PBS, 24 h	bulk RNA-seq	ASA vs PBS	4 vs 4	yes for that PROTAC	no	no	Text mentions SG and Dato-DXd as background. The experiment is not those drugs.
GSE309617 / GSE309616	GEO, SRA	yes	TNBC PDX	carboplatin	bulk RNA-seq and scRNA-seq	carboplatin resistant vs sensitive	22 and 2	not an ADC contrast	no	no	GEO name hit because the text mentions a TROP2 ADC.
GSE303323 / GSE303106 / GSE303105 / GSE303104 / GSE303051 / GSE302981	GEO, SRA	yes	pancreatic ductal adenocarcinoma	KRAS/ERK inhibitors or TRIM22 overexpression	RNA-seq, scRNA-seq, CUT&RUN	not SG vs vehicle	see GEO	not an ADC contrast	no	no	GEO name hit. No sacituzumab arm in the deposited samples.
GSE292860	GEO	yes	cell-line CDK7 inhibitor study	Q901	RNA-seq	CDK7 inhibitor	24	not an ADC contrast	no	no	Returned by the sacituzumab GEO query. Title and design are Q901 plus topoisomerase I inhibition, not SG/SKB264/Dato.
GSE173065 / GSE141884 / PRJNA595087 / PRJNA723670	GEO, SRA	yes	Saccharomyces cerevisiae	none	sequencing	Pol delta / ligase	not applicable	no	no	no	DS1062 token is DNA polymerase delta, not DS-1062a.
PXD065965	PRIDE	yes	prostate cancer	none	proteomics pull-down	TROP2 extracellular-domain shedding	project, not a drug arm	protein, not the requested ADC	no	no	Only PRIDE hit for the word TROP2. Drug-name PRIDE queries returned 0.
SKB264 / sac-TMT / MK-2870 / tirumotecan	GEO, SRA, PRIDE, ArrayExpress	no series	none found	none	none	none	0	no	no	no	Zero exact-name records in all four archives on 2026-09-21.
