patient	n_tnk	Sample_Origin	n_T	n_NK	tnk_rule	cohort	unit
BRONCHO_11	809	mLN	783	26	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
BRONCHO_58	1546	tL/B	1411	135	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
EBUS_06	611	tL/B	510	101	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
EBUS_10	1530	mLN	1496	34	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
EBUS_12	328	mLN	306	22	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
EBUS_13	1150	mLN	1149	1	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
EBUS_15	479	mLN	327	152	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
EBUS_19	1427	mLN	1176	251	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
EBUS_28	232	tL/B	223	9	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
EBUS_49	1126	tL/B	788	338	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
EBUS_51	1143	mLN	645	498	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
NS_02	977	mBrain	534	443	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
NS_03	145	mBrain	80	65	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
NS_04	131	mBrain	111	20	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
NS_06	383	mBrain	265	118	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
NS_07	166	mBrain	127	39	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
NS_12	22	mBrain	13	9	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
NS_13	1780	mBrain	1723	57	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
NS_16	385	mBrain	361	24	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
NS_17	410	mBrain	382	28	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
NS_19	370	mBrain	314	56	author Cell_type in {T lymphocytes, NK cells}; tumor origins; n_mal>=20	GSE131907	sample
