ligand	receptor	pathway	source
CCL19	CCR7	T_recruit	cellphonedb_v5
CCL21	CCR7	T_recruit	cellphonedb_v5
CCL3	CCR1	T_recruit	cellphonedb_v5
CCL3	CCR5	T_recruit	cellphonedb_v5
CCL4	CCR5	T_recruit	cellphonedb_v5
CCL5	CCR1	T_recruit	cellphonedb_v5
CCL5	CCR5	T_recruit	cellphonedb_v5
CX3CL1	CX3CR1	T_recruit	cellphonedb_v5
CXCL10	CXCR3	T_recruit	cellphonedb_v5
CXCL11	CXCR3	T_recruit	cellphonedb_v5
CXCL12	CXCR4	T_recruit	cellphonedb_v5
CXCL13	CXCR5	T_recruit	cellphonedb_v5
CXCL16	CXCR6	T_recruit	cellphonedb_v5
CXCL9	CXCR3	T_recruit	cellphonedb_v5
HLA-A	KIR3DL1	MHC_I	cellphonedb_v5
HLA-B	KIR3DL2	MHC_I	cellphonedb_v5
HLA-C	KIR2DL1	MHC_I	cellphonedb_v5
HLA-C	KIR2DL3	MHC_I	cellphonedb_v5
HLA-E	KLRC1	MHC_I	cellphonedb_v5
HLA-E	KLRC1+KLRD1	MHC_I	cellphonedb_v5
HLA-E	KLRC2	MHC_I	cellphonedb_v5
HLA-E	KLRC2+KLRD1	MHC_I	cellphonedb_v5
HLA-E	KLRC3+KLRD1	MHC_I	cellphonedb_v5
HLA-E	KLRK1	MHC_I	cellphonedb_v5
HLA-F	KIR3DL1	MHC_I	cellphonedb_v5
HLA-F	KIR3DL2	MHC_I	cellphonedb_v5
HLA-F	LILRB1	MHC_I	cellphonedb_v5
HLA-F	LILRB2	MHC_I	cellphonedb_v5
HLA-G	LILRB1	MHC_I	cellphonedb_v5
HLA-G	LILRB2	MHC_I	cellphonedb_v5
HLA-A	CD8A	MHC_I	curated_overlay
HLA-B	CD8A	MHC_I	curated_overlay
HLA-C	CD8A	MHC_I	curated_overlay
HLA-A	CD8B	MHC_I	curated_overlay
HLA-B	CD8B	MHC_I	curated_overlay
HLA-C	CD8B	MHC_I	curated_overlay
HLA-E	KLRD1	MHC_I	curated_overlay
