contrast	n	rho	p
GSE131907-only CLDN4 vs DPT	43	0.16535789791603744	0.2892862153294822
GSE205335-only CLDN4 vs DPT	22	0.23433088650479958	0.29387603877735996
GSE131907-only CLDN4 vs AT2	43	-0.17864693446088795	0.25171400305471403
GSE205335-only CLDN4 vs AT2	22	0.10220214568040656	0.6508533489140009
GSE131907-only CLDN4 vs barrier/keratin (no CLDN4)	43	0.44019933554817275	0.003137019632779142
GSE205335-only CLDN4 vs barrier/keratin (no CLDN4)	22	0.27272727272727276	0.2194550778840765
tLung-only CLDN4 vs DPT	11	0.7000000000000001	0.016470978836514428
nLung-only CLDN4 vs DPT	11	0.5090909090909091	0.10973723224165634
tumor-only (drop nLung) CLDN4 vs DPT	54	-0.032285115303983224	0.8167281124979444
GSE205335 ADC+SQ CLDN4 vs DPT	17	0.24754901960784317	0.33808764785888096
