gene	logFC	AveExpr	t	p	se	df	fdr
TACSTD2	3.9040230854753495	7.6264408273631075	6.265485246688957	7.708786908785916e-07	0.6230998768273311	29	0.018565071512429122
KRT19	2.230115563553126	9.453995729395995	2.983438049745587	0.005730964479751759	0.7474985323537385	29	0.6137299886412189
CLDN4	1.6323196517230478	8.38180261594756	2.6610407618603027	0.012564175272030588	0.6134139976803332	29	0.6711980170910399
OCLN	0.9887514069680698	5.219300434740739	2.65991284827632	0.012597887019181667	0.37172323431904986	29	0.6711980170910399
CDH1	1.0320721566926687	6.341987360041637	2.3557544844138425	0.025459163386915555	0.4381068415749905	29	0.7284247192609234
TJP1	0.5934675800137582	5.520938034932226	2.1822816631078954	0.03733489816853552	0.27194820450838214	29	0.7498709732140547
CLDN1	1.6026729302334533	4.345857431757694	2.164476500127502	0.03879952217676667	0.7404436731648716	29	0.7498709732140547
KRT8	1.1434925958294129	9.183897963404755	1.945243075115557	0.06149815699508198	0.5878404660360936	29	0.75358511497591
ELF3	1.1918963582410929	8.476330637271468	1.7996843790719264	0.08232359075982323	0.6622807710626116	29	0.7698297039561116
F11R	0.4466727176764604	6.287776219064162	1.7710705204425992	0.08706000668628368	0.25220493058900595	29	0.7751599103930769
CLDN7	0.7132242287751218	7.345209870838901	1.7594499425818952	0.08904861155633727	0.405367729716996	29	0.7751599103930769
KRT18	0.8645980033340043	9.425114556478722	1.247131522622854	0.222327664859101	0.6932693045202322	29	0.8044704889826619
EPCAM	0.551557196368558	8.163741895215685	1.054352258548919	0.3004272174802894	0.5231242138444828	29	0.8241310575177803
CLDN3	0.6519718104601685	6.930025227782456	0.9783378532597216	0.3359986839013902	0.666407630337378	29	0.8351341886918701
HLA-B	0.5605690289583541	10.049995885680989	0.8950437776922676	0.3781327693116884	0.6263034757961169	29	0.8504455998630361
CXCL10	0.6578848161750038	2.290923885276336	0.8319260774776533	0.4122490171840051	0.7907972042055329	29	0.8625650264724178
B2M	0.23931724039379512	11.66525651292173	0.615223430541648	0.5432053024864003	0.388992402618831	29	0.9002982719359163
STAT1	0.10487398383630883	6.0548738681428045	0.3602376576636673	0.7212799431632942	0.291124433010342	29	0.9436847369631356
IRF1	-0.10549729626194657	6.8376337582708	-0.31360508617276567	0.7560656522357818	0.33640173872635437	29	0.9502311399015935
HLA-A	0.1264265789436035	10.00687712002859	0.22694444204666914	0.8220591649033178	0.5570816266899588	29	0.9651740867963438
