gsm	sample_title	characteristics	GPL570_probe	gene_symbol	value
GSM458345	HUVEC+MAGP2, Biological rep1	cell line: HUVEC	218182_s_at	CLDN4	33.8
GSM458346	HUVEC+MAGP2, Biological rep2	cell line: HUVEC	218182_s_at	CLDN4	52.3
GSM458347	HUVEC+MAGP2, Biological rep3	cell line: HUVEC	218182_s_at	CLDN4	11.7
GSM458348	HUVEC-MAGP2, Biological rep1	cell line: HUVEC	218182_s_at	CLDN4	27
GSM458349	HUVEC-MAGP2, Biological rep2	cell line: HUVEC	218182_s_at	CLDN4	32.6
GSM458350	HUVEC-MAGP2, Biological rep3	cell line: HUVEC	218182_s_at	CLDN4	45
GSM458351	OVCA429+MAGP2, Biological rep1	cell line: OVCA429	218182_s_at	CLDN4	2763.1
GSM458352	OVCA429+MAGP2, Biological rep2	cell line: OVCA429	218182_s_at	CLDN4	2512.8
GSM458353	OVCA429+MAGP2, Biological rep3	cell line: OVCA429	218182_s_at	CLDN4	2475
GSM458354	OVCA429-MAGP2, Biological rep1	cell line: OVCA429	218182_s_at	CLDN4	2542.4
GSM458355	OVCA429-MAGP2, Biological rep2	cell line: OVCA429	218182_s_at	CLDN4	2299.1
GSM458356	OVCA429-MAGP2, Biological rep3	cell line: OVCA429	218182_s_at	CLDN4	2395.8
GSM461348	Ovarian Tumor, 317	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	167.451
GSM461349	Ovarian Tumor, 332	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	67.4766
GSM461350	Ovarian Tumor, 349	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	291.418
GSM461351	Ovarian Tumor, 351	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	64.4872
GSM461352	Ovarian Tumor, 386	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	166.558
GSM461353	Ovarian Tumor, 388	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	84.1517
GSM461354	Ovarian Tumor, 389	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	199.235
GSM461355	Ovarian Tumor, 402	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	288.521
GSM461356	Ovarian Tumor, 410	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	107.452
GSM461357	Ovarian Tumor, 412	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	123.089
GSM461358	Ovarian Tumor, 434	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	110.584
GSM461359	Ovarian Tumor, 467	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	144.597
GSM461360	Ovarian Tumor, 629	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	87.5904
GSM461361	Ovarian Tumor, 702	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	130.665
GSM461362	Ovarian Tumor, 714	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	107.1
GSM461363	Ovarian Tumor, 765	tissue: papillary serous ovarian adenocarcinoma	218182_s_at	CLDN4	114.508
