set	n_genes_requested	n_genes_present	genes_present	n_treat	n_ctrl	mean_score_treat	mean_score_ctrl	delta_mean_score	median_gene_log2FC	mean_gene_log2FC	mwu_U	mwu_p	rank_biserial	welch_t	welch_p	contrast	model	kind	n_library_treat	n_library_ctrl	compartment
TJ_SIG	7	7	CLDN1,CLDN4,CLDN7,F11R,OCLN,PARD3,TJP1	1175	1793	0.49149923062569095	0.23767863824938412	0.25382059237630683	1.5685936113734453	1.7041868589165976	1486829.0	5.913009730871443e-82	0.4114739352802268	19.612688311012427	5.952865426528409e-78	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc
PRIORITY6	6	6	HLA-A,IFI27,IFIT1,ISG15,MX1,OAS2	1175	1793	0.6853185591967714	0.8677550475289233	-0.18243648833215187	-0.7598381183340122	-0.6749287466519623	823098.5	6.169328774077508e-24	-0.2186175552681231	-10.674572859350485	4.215424721235813e-26	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc
MHC1_APM	16	16	B2M,CALR,CANX,ERAP1,ERAP2,HLA-A,HLA-B,HLA-C,NLRC5,PDIA3,PSMB10,PSMB8,PSMB9,TAP1,TAP2,TAPBP	1175	1793	0.3945375327377472	0.44629060644658586	-0.05175307370883864	-0.04188137574473001	0.0957009340284447	992630.5	0.007776077861984221	-0.05767773018001443	-4.225103174700157	2.4645597724867095e-05	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc
IFN_ISG	53	53	BST2,CCL5,CMPK2,CXCL10,CXCL11,CXCL9,DDX58,DDX60,EIF2AK2,GBP1,GBP2,GBP4,GBP5,HERC5,IFI16,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR1,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,IRF1,IRF7,IRF9,ISG15,JAK2,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,SOCS1,SOCS3,STAT1,STAT2,USP18,XAF1,ZBP1	1175	1793	0.19731001908101983	0.21383488697336836	-0.016524867892348527	0.11155755657378084	0.10868253042860634	974815.0	0.0005785346982342348	-0.07459030983375059	-3.448176581071483	0.0005734828711425141	DFCI282_osi_vs_veh	DFCI282	treatment	1	1	all_qc
TJ_SIG	7	7	CLDN1,CLDN4,CLDN7,F11R,OCLN,PARD3,TJP1	1217	1420	0.5259624448293198	0.2773998872816069	0.24856255754771284	0.64366509474341	0.8046397450188668	1181740.5	1.056513131948643e-60	0.3676444038098765	18.719046172906527	1.0893938292216668e-72	PC9_osi_vs_veh	PC9	treatment	1	1	all_qc
PRIORITY6	6	6	HLA-A,IFI27,IFIT1,ISG15,MX1,OAS2	1217	1420	0.2677970723950946	0.18393281805088874	0.08386425434420586	1.320075131361482	1.5374067005911192	1055092.5	2.0107191565849618e-23	0.22107294547895417	10.662454507581781	6.551270418040698e-26	PC9_osi_vs_veh	PC9	treatment	1	1	all_qc
MHC1_APM	16	16	B2M,CALR,CANX,ERAP1,ERAP2,HLA-A,HLA-B,HLA-C,NLRC5,PDIA3,PSMB10,PSMB8,PSMB9,TAP1,TAP2,TAPBP	1217	1420	0.5858864654709042	0.5255761532305723	0.0603103122403319	0.5858912232642375	0.5939231393515356	966124.5	1.6406092527503075e-07	0.1181090652377701	5.080980459853334	4.048415571204279e-07	PC9_osi_vs_veh	PC9	treatment	1	1	all_qc
IFN_ISG	53	53	BST2,CCL5,CMPK2,CXCL10,CXCL11,CXCL9,DDX58,DDX60,EIF2AK2,GBP1,GBP2,GBP4,GBP5,HERC5,IFI16,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR1,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,IRF1,IRF7,IRF9,ISG15,JAK2,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,SOCS1,SOCS3,STAT1,STAT2,USP18,XAF1,ZBP1	1217	1420	0.05477773429130568	0.02804762014187849	0.026730114149427192	0.7780009142366834	0.8653578072797548	1194238.0	3.429445076238838e-65	0.3821079310703994	17.631056116245823	4.0513701801605506e-64	PC9_osi_vs_veh	PC9	treatment	1	1	all_qc
TJ_SIG	7	7	CLDN1,CLDN4,CLDN7,F11R,OCLN,PARD3,TJP1	1401	88	0.15503040448884117	0.03403403919228998	0.1209963652965512	3.7809703858899235	4.076631706753659	74201.0	6.904449154484984e-05	0.20370190123937437	9.37962367116911	2.4807790003802818e-17	patient357_tumor_vs_LN	patient_357	descriptive_site	1	1	epithelial
PRIORITY6	6	6	HLA-A,IFI27,IFIT1,ISG15,MX1,OAS2	1401	88	0.2915198403463761	0.41759274679881525	-0.12607290645243913	-0.7273511920529	-0.8786996967794353	53899.0	0.03698882016276176	-0.12564077606904156	-2.7212017143498874	0.0077655097081803385	patient357_tumor_vs_LN	patient_357	descriptive_site	1	1	epithelial
MHC1_APM	16	16	B2M,CALR,CANX,ERAP1,ERAP2,HLA-A,HLA-B,HLA-C,NLRC5,PDIA3,PSMB10,PSMB8,PSMB9,TAP1,TAP2,TAPBP	1401	88	0.5546846319028981	0.6341835410782962	-0.07949890917539815	-1.0122665308481018	-0.7906530108653835	59529.5	0.588971242328282	-0.034301797417429114	-1.5792975824140936	0.11767133070630974	patient357_tumor_vs_LN	patient_357	descriptive_site	1	1	epithelial
IFN_ISG	53	53	BST2,CCL5,CMPK2,CXCL10,CXCL11,CXCL9,DDX58,DDX60,EIF2AK2,GBP1,GBP2,GBP4,GBP5,HERC5,IFI16,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR1,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,IRF1,IRF7,IRF9,ISG15,JAK2,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,SOCS1,SOCS3,STAT1,STAT2,USP18,XAF1,ZBP1	1401	88	0.09253820206034903	0.12307855326807386	-0.03054035120772483	-0.3546338031940308	-0.3021950480443203	56763.5	0.21055568058941898	-0.07917234442930376	-2.1715316273738248	0.032489065060374314	patient357_tumor_vs_LN	patient_357	descriptive_site	1	1	epithelial
