cohort	term	rho	p	n	n_genes_present	bucket	expected	q
GSE126044	HALLMARK_APICAL_JUNCTION	0.44117647058823534	0.08715363626051081	16	193	TJ	UP	0.14261504115356313
GSE126044	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.22058823529411767	0.41166643049796364	16	195	EMT	DOWN	0.47806424186860297
GSE126044	KEGG_TIGHT_JUNCTION	0.2647058823529412	0.3218043958686153	16	165	TJ	UP	0.3861652750423384
GSE126044	GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.411764705882353	0.11303386621436715	16	45	TJ	UP	0.17692257320509638
GSE126044	GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.6647058823529411	0.0049673859374819995	16	53	KERATIN_BARRIER	UP	0.014040164781083024
GSE126044	GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.09411764705882353	0.7288144270239807	16	46	EMT	DOWN	0.760502010807632
GSE126044	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.6235294117647059	0.009855650390922004	16	18	KERATIN_BARRIER	UP	0.022502215744751263
GSE126044	GOBP_KERATINOCYTE_DIFFERENTIATION	0.6205882352941177	0.010313515549677663	16	41	KERATIN_BARRIER	UP	0.022502215744751263
GSE126044	GOBP_KERATINIZATION	0.27058823529411763	0.3107606271023349	16	81	KERATIN_BARRIER	UP	0.37923330765030694
GSE126044	GOBP_CORNIFICATION	0.12941176470588234	0.6328823324682601	16	9	KERATIN_BARRIER	UP	0.670110704966393
GSE126044	GOBP_TIGHT_JUNCTION_ORGANIZATION	0.4970588235294117	0.050133557803774174	16	76	TJ	UP	0.08752586872554444
GSE126044	KRT_EPITHELIAL	0.6382352941176471	0.007801138631008013	16	17	KERATIN_BARRIER	UP	0.01936834418733024
GSE135222	HALLMARK_APICAL_JUNCTION	0.11843711843711843	0.5562814999342054	27	196	TJ	UP	0.5977950447054148
GSE135222	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.05738705738705738	0.7761681541609329	27	199	EMT	DOWN	0.7983443871369595
GSE135222	KEGG_TIGHT_JUNCTION	0.27167277167277165	0.17043746044064093	27	167	TJ	UP	0.24542994303452292
GSE135222	GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.3937728937728938	0.04213053643032977	27	46	TJ	UP	0.07583496557459359
GSE135222	GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.4554334554334554	0.016977133486430453	27	53	KERATIN_BARRIER	UP	0.03395426697286091
GSE135222	GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.05433455433455433	0.7877990121081516	27	46	EMT	DOWN	0.7988947728420692
GSE135222	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.7173382173382172	2.542917875842177e-05	27	19	KERATIN_BARRIER	UP	0.00016644553369148796
GSE135222	GOBP_KERATINOCYTE_DIFFERENTIATION	0.5122100122100123	0.006306028622934269	27	41	KERATIN_BARRIER	UP	0.016816076327824718
GSE135222	GOBP_KERATINIZATION	0.6398046398046398	0.00032609687589852814	27	82	KERATIN_BARRIER	UP	0.0014674359415433767
GSE135222	GOBP_CORNIFICATION	0.5451770451770451	0.003273617433236473	27	9	KERATIN_BARRIER	UP	0.010713657054228458
GSE135222	GOBP_TIGHT_JUNCTION_ORGANIZATION	0.2979242979242979	0.1312164877897807	27	80	TJ	UP	0.2010124919332811
GSE135222	KRT_EPITHELIAL	0.677045177045177	0.00010512596247014759	27	17	KERATIN_BARRIER	UP	0.0005822360998346636
GSE166449	HALLMARK_APICAL_JUNCTION	0.37323546019198195	0.08709931441089197	22	192	TJ	UP	0.14261504115356313
