resource	trial_or_study	indication	modality	timepoint	open_processed_data	sample_level	TACSTD2_available	status_and_interpretation
PACIFIC	NCT02125461	unresectable stage III NSCLC after chemoradiation	no public RNA accession identified	NA	No	No	No	GEO query PACIFIC AND durvalumab AND RNA returned 0. Trial publications direct requests to AstraZeneca data sharing.
COAST	NCT03822351	unresectable stage III NSCLC consolidation	no public RNA accession identified	NA	No	No	No	No GEO/ArrayExpress sample-level RNA accession identified.
NeoCOAST	NCT03794544	resectable NSCLC	bulk tumor RNA-seq	pre/post durvalumab ± oleclumab/monalizumab/danvatirsen	Open aggregate differential-expression Supplementary Table 7 only	No	Aggregate only	No open comprehensive sample-level matrix or accession found.
GSE110390	CP1108 / NCT01693562	advanced NSCLC (97) and urothelial cancer (62)	bulk RNA-seq	baseline	21-gene processed matrices	Yes	No	Exact durvalumab trial cohort, but public processed data omit TACSTD2.
GSE131933	not stated in GEO	NSCLC (three longitudinal sample files)	scRNA-seq	pre/post durvalumab or durvalumab+tremelimumab	Smallest count file downloaded (25.5 MB)	Yes	Yes, sparse	TACSTD2 present in T1T3D0 (991/4458 cells). Mechanistic scRNA, not the bulk -0.65 cohort.
GSE190731	xenograft model	EGFR-mutant NSCLC xenograft + human T cells	Affymetrix HG-U133 Plus 2.0	on-treatment	Series matrix downloaded	Yes	Yes	TACSTD2 probes present. T-cell-engrafted n=20 immune correlations are null, not rho=-0.65.
GSE248378	NCT02904954	stage I-IIIA resectable NSCLC	bulk RNA-seq	post-neoadjuvant durvalumab ± SBRT	FPKM matrix downloaded	Yes	Yes	Exact slide match: TACSTD2 versus ESTIMATE ImmuneScore Spearman rho=-0.6576 (n=29).
GSE253564	NCT02904954	stage I-IIIA resectable NSCLC	bulk RNA-seq	pretreatment	FPKM matrix downloaded	Yes	Yes	Companion pretreatment matrix; ESTIMATE immune rho=-0.7119 (n=32).
OncoSG GIS031	Chen Nat Genet 2020 / luad_oncosg_2020	East-Asian LUAD	bulk RNA-seq	treatment-naive surgical	cBioPortal z-scores + purity	Yes	Yes	Only public OncoSG LUAD RNA study. Native count portal HTTP 403 here; raw FASTQ controlled at EGAD00001004421.
OncoSG stad_oncosg_2018	Guo Nat Commun 2018	gastric cancer	WGS only	NA	No RNA	No	No	Documented negative: no mRNA profile on cBioPortal.
