gene	spearman_r	spearman_p	n_expr	padj
TACSTD2	1.0	0.0	9295	0.0
MAL2	0.47978173098718463	0.0	8978	0.0
JUP	0.47057536503752606	0.0	8744	0.0
DSC2	0.46679586550961016	0.0	6602	0.0
CSTB	0.4626605099391369	0.0	9882	0.0
ANXA1	0.45425604090029154	0.0	9016	0.0
LYPD3	0.44201115566273425	0.0	5317	0.0
CLDN4	0.42996556747928916	0.0	8920	0.0
RND3	0.41966859559988645	0.0	6165	0.0
RAP2B	0.41781849248536845	0.0	6979	0.0
SAMD9	0.41673915138149337	0.0	5349	0.0
EMP1	0.4136586639079034	0.0	6659	0.0
KLF4	0.4136452442727012	0.0	7067	0.0
PERP	0.4108592541533309	0.0	9505	0.0
SFN	0.4023644261817448	0.0	8638	0.0
CHMP4B	0.40096233768063383	0.0	8798	0.0
LRRC8A	0.3982254166092386	0.0	6299	0.0
KRT19	0.3946206354340856	0.0	9213	0.0
ACTN4	0.3898863888874497	0.0	9208	0.0
YWHAZ	0.3815300265854155	0.0	9769	0.0
CDKN1A	0.37312460280792076	0.0	7603	0.0
TMSB4X	0.36895652465713424	0.0	9769	0.0
SH3BGRL3	0.3674835665177147	0.0	8899	0.0
SERINC2	0.3640254294241601	0.0	7452	0.0
SERPINB5	0.36099106307432943	4.6085111646467e-311	6250	4.065770349794888e-308
IL1RN	0.3590593637766037	1.5806685616789128e-307	2972	1.3428657580663298e-304
CALB2	0.35893695790594243	2.6426092048098186e-307	5016	2.164863212140272e-304
HSPA1A	0.35596172601995124	6.558121639587928e-302	8530	5.187248074788548e-299
ANXA2	0.35270175226040723	4.586522591593918e-296	10040	3.50685517353271e-293
HSPB1	0.3508156312306859	1.026985973867635e-292	9629	7.599033635024456e-290
SDC1	0.3499977962363548	2.8644477862574402e-291	8700	2.053271978786661e-288
S100A2	0.347640092280707	3.981610715054171e-287	5929	2.7675814115731083e-284
PHLDA2	0.3472185186228947	2.1731971859560003e-286	6052	1.4661410897487865e-283
P2RY1	0.3453004099878694	4.744513856277604e-283	4438	3.109418823865591e-280
CLDN1	0.3433150955985296	1.2810755453939449e-279	7599	8.162586350068418e-277
ADIRF	0.3416359410708572	9.778255208370742e-277	4240	5.90246363077916e-274
DSP	0.34096913511101284	1.3491151185623505e-275	8693	7.934872458867487e-273
RAB11FIP1	0.34017195382454124	3.0832247276791795e-274	7483	1.7680752200876254e-271
PHLDA1	0.33886022589553444	5.2046571958807927e-272	5135	2.9118152868076494e-269
GNG4	0.33699177663944724	7.42079820491221e-269	4235	4.05281593391134e-266
KLF5	0.3362500317167582	1.3076608575821737e-267	8736	6.975610407260442e-265
S100A16	0.3347573564188084	4.107650464494027e-265	8659	2.1413928716946363e-262
GADD45A	0.33394358597133883	9.31320594617033e-264	5292	4.7472515109612235e-261
STK24	0.33018151368614856	1.5211698574085697e-257	8155	7.585346562877777e-255
TBL1XR1	0.32898097164150936	1.4010582214807313e-255	7389	6.837760315813833e-253
ZNF185	0.3289042199134771	1.8695289657892103e-255	3372	8.93401154526519e-253
THBD	0.3285704804672978	6.547086760972686e-255	3691	3.064838288228397e-252
CD24	0.32674660163555896	6.006610735726084e-252	6961	2.7015615109036257e-249
FOXQ1	0.3262164484171078	4.3245933535920874e-251	4383	1.9076446604749095e-248
POLR2J3	0.3260688851106548	7.486262774508535e-251	5066	3.2399980287108824e-248
MX1	0.3247843116177531	8.7754516384453e-249	6843	3.7276168459751533e-246
SPINT2	0.32468766444034836	1.2546625194140427e-248	9684	5.232627067330784e-246
POF1B	0.32203958754914885	2.1396816727917936e-244	4771	8.764288966160385e-242
EGFL6	0.3211092447937486	6.41192901112865e-243	3440	2.5802952220573505e-240
PIM1	0.3200874487296904	2.6469158183938134e-241	4681	1.0290670346155472e-238
MYH14	0.31889597370028927	1.989896781134676e-239	7416	7.482664322240524e-237
IER3	0.3181536262945935	2.9066701354049677e-238	7295	1.0753741865470832e-235
ADM	0.3180803230714932	3.786263137786592e-238	7034	1.3785603786436326e-235
SDCBP2	0.3173465099500724	5.318653159429494e-237	4015	1.8769117872460573e-234
TXN	0.31516976698625054	1.2909834501509795e-233	9567	4.4867542999338135e-231
B3GNT5	0.3143392625903215	2.4830151357106693e-232	7263	8.375794291607548e-230
LAD1	0.31275011024277893	6.926451420443726e-230	7450	2.302593372204901e-227
KLK10	0.31264066703376975	1.0194770680192815e-229	3760	3.34068071231804e-227
PPP1R15A	0.3122001577451127	4.823028736592538e-229	8273	1.5581779318304172e-226
CSTA	0.31210668092759414	6.704944185492944e-229	6419	2.1360834684282936e-226
JUN	0.3079585306194917	1.3283693158394162e-222	8875	4.0626847155632706e-220
ZNF706	0.30706112329733576	2.966167573478688e-221	7820	8.722814333391557e-219
ISG15	0.3059004101453805	1.6210794695196e-219	6539	4.7068760597266555e-217
CTNND1	0.3056366275163317	4.014081767142413e-219	8421	1.1509375946839084e-216
NET1	0.30552659362292184	5.85769726131941e-219	7891	1.658813083705489e-216
BHLHE40	0.30434184537387454	3.3927021580873474e-217	7198	9.490463671000923e-215
ACTG1	0.3023052265527501	3.480672083905268e-214	10052	9.619235694050487e-212
S100A14	0.29790748013812013	9.144701077926898e-208	7317	2.411047739373416e-205
GRHL3	0.29771104873587173	1.7590779495831928e-207	3021	4.585196591765827e-205
ATF3	0.2966447342114668	6.077024250506952e-206	6986	1.5662335085182974e-203
PMAIP1	0.29511531970059796	9.522660376365157e-204	6525	2.4003382825611423e-201
LY6G6C	0.2942172152710286	1.82584528388907e-202	1482	4.5523086002008145e-200
VEGFA	0.29407859836622097	2.877584936805526e-202	7740	7.097424008650016e-200
RAPGEFL1	0.2940640001408773	3.0187551229317015e-202	5314	7.36640478827738e-200
OAS1	0.2923610986597268	7.902075147254842e-200	5596	1.9079768392392795e-197
RAB7A	0.291650517053738	7.975562552631795e-199	9149	1.9056609774194598e-196
ZFP36	0.29120038879593907	3.437766870040047e-198	8824	8.046479231120265e-196
RALA	0.2911961258883033	3.485619762400925e-198	7212	8.076075364641659e-196
CDKN2B	0.29025718442764376	7.279287291605528e-197	3517	1.669722918948476e-194
IFI6	0.28956251031009805	6.843931762966293e-196	8882	1.5543178889002062e-193
SBDS	0.28943325633609346	1.0377257887814672e-195	8012	2.3336621708891465e-193
ARF6	0.2893908200528697	1.189635685661275e-195	8131	2.649307122106634e-193
KLK11	0.28820092451673884	5.4307845395883e-194	2843	1.186393673991204e-191
FGFBP1	0.28717087751274667	1.4617630834657783e-192	5490	3.1632001517488703e-190
TRIB1	0.2869940153924991	2.5692607109321403e-192	6829	5.507822634332844e-190
TRIM29	0.28655979223064393	1.0242310183803453e-191	6982	2.1753528795933668e-189
MAPK6	0.28640069203453244	1.6989762796649313e-191	7003	3.5753319177022195e-189
BCL10	0.285996776387559	6.131021011187436e-191	5810	1.278485090496522e-188
SPINK5	0.2853135740791513	5.34747987562345e-190	3519	1.1050494899734296e-187
NDUFA4L2	0.28399390291933185	3.447954756506469e-188	3471	6.937647912696963e-186
IVL	0.28298973043328896	8.087232766078226e-187	716	1.5991805619681237e-184
SLC2A1	0.2821418140988319	1.1491915850455948e-185	7801	2.233911574387784e-183
ZNF750	0.28207278988200307	1.425740339730959e-185	4042	2.7482043624158603e-183
SLK	0.2813579351835217	1.3253689226630939e-184	6954	2.533442695670504e-182
CCNL1	0.28117413204753483	2.348768913547679e-184	7675	4.452567052806335e-182
TUBA4A	0.28098166217454845	4.2742291577531246e-184	5652	8.036251509880424e-182
LMNA	0.2805855463994006	1.4633097215014992e-183	8378	2.7068869670807573e-181
ABHD3	0.27999614738828055	9.098737941577941e-183	6114	1.6696548072313185e-180
CAPNS2	0.2791730087858454	1.1590547295109195e-181	2844	2.1100315385334503e-179
MAP2	0.27687233856107446	1.357724800851223e-178	2919	2.4522434237736502e-176
DSC3	0.27680561502217815	1.6648251102700873e-178	5264	2.9602913472383924e-176
GDA	0.2764864811838482	4.411500346926207e-178	2412	7.783922689061025e-176
TM4SF1	0.27636614899392165	6.368201880352648e-178	8316	1.1150672880269393e-175
CAPNS1	0.27544839163660795	1.040682090390695e-176	9326	1.794824495442238e-174
EIF2S2	0.27542834206776634	1.1060425598722432e-176	8893	1.8933137491305607e-174
FAM129B	0.27539075494666276	1.2398208288636527e-176	8012	2.1065933461092194e-174
APOBEC3A	0.2751395879761033	2.657731383112621e-176	2871	4.449857114294694e-174
SH3GL1	0.27358620288133806	2.916010022874119e-174	6659	4.812045892423492e-172
SLC38A2	0.27292177261589834	2.1547122130652967e-173	7737	3.505304166190906e-171
DYNLT3	0.27290542225304015	2.2632525750246245e-173	6157	3.6559498285855517e-171
CAPG	0.27264312601526713	4.976590073459702e-173	6793	7.982728888462843e-171
ARL5B	0.27211915509025053	2.395400111011261e-172	6271	3.815672760165021e-170
KRT16	0.2720461286689807	2.981060036612961e-172	2290	4.7158313875743516e-170
LRRC4	0.27164274196076416	9.966990207737852e-172	5280	1.5659097355143207e-169
HSPA1B	0.27119693808293643	3.7742544422802795e-171	9058	5.889377441974494e-169
NAA20	0.2710185644168059	6.42536862271005e-171	7717	9.958453072143455e-169
FOSB	0.26867206465170423	6.780080632290349e-168	7721	1.0299436393607682e-165
BICD2	0.2686224817489958	7.848605914037978e-168	6695	1.1844165951065998e-165
ARPC5	0.2686048891119966	8.266855206098314e-168	8900	1.2393799001142687e-165
RIOK3	0.26824351953731096	2.3994808372289855e-167	6950	3.5739799639193813e-165
KIF5B	0.2655135341893375	7.128925401437792e-164	8970	1.0482262234498724e-161
ADGRF4	0.26515540259098463	2.021088619970834e-163	952	2.9341601749931004e-161
DNAJB1	0.2633328400362937	3.961403153112646e-161	8530	5.643892268701731e-159
LIPH	0.2621792542009226	1.0948813545949589e-159	3699	1.5502708957838992e-157
DNAJB4	0.2620006075347269	1.8279128674514335e-159	6084	2.5723107578896307e-157
KRT80	0.26093875384422976	3.8142732240728524e-158	2639	5.334865805718481e-156
PKP3	0.2606494290814241	8.70690444738223e-158	6710	1.2104180255397186e-155
CDKN2A	0.26007044223113757	4.527111221323049e-157	6695	6.255595011729403e-155
ABLIM1	0.2598509203226161	8.448891787290805e-157	7172	1.160483112675907e-154
TPM4	0.2598149526026372	9.357794576975034e-157	9166	1.2776731667062698e-154
H3F3B	0.25975891051530303	1.0972339822139247e-156	9854	1.4892516617765091e-154
MXD1	0.25954790238002173	1.9971784635228307e-156	4699	2.6947811527227466e-154
