cohort,atlas,histology,purity_method,signature,spearman_rho,spearman_p,n_unadj,partial_rho,partial_p,n_partial
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,ESTIMATE,immune_tcell_effector,-0.11249681540906682,0.011010136118171851,510,-0.150668038324041,0.0006816307155285275,506
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,ESTIMATE,cytotoxic,-0.1203168676105341,0.006521110573582045,510,-0.16338265229690074,0.00022666794473841692,506
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,ESTIMATE,exhaustion,-0.062100024999533245,0.1614155262017065,510,-0.12851198544436918,0.0038183036177157703,506
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,ABSOLUTE,immune_tcell_effector,-0.11249681540906682,0.011010136118171851,510,-0.12007200762345906,0.007426799108976864,497
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,ABSOLUTE,cytotoxic,-0.1203168676105341,0.006521110573582045,510,-0.12679713807993503,0.004680986429327406,497
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,ABSOLUTE,exhaustion,-0.062100024999533245,0.1614155262017065,510,-0.06193886506245069,0.1684237708667086,497
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,CPE,immune_tcell_effector,-0.11249681540906682,0.011010136118171851,510,-0.12883841394548387,0.003594390475268036,510
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,CPE,cytotoxic,-0.1203168676105341,0.006521110573582045,510,-0.1375973263392489,0.0018612867021662242,510
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,CPE,exhaustion,-0.062100024999533245,0.1614155262017065,510,-0.07046816555101505,0.11230894813655036,510
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,ESTIMATE_or_ABSOLUTE,immune_tcell_effector,-0.11249681540906682,0.011010136118171851,510,-0.13723698567263906,0.0019337327540247101,509
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,ESTIMATE_or_ABSOLUTE,cytotoxic,-0.1203168676105341,0.006521110573582045,510,-0.1480755421276889,0.0008148392819907069,509
TCGA_LUAD_PanCan,PanCanAtlas,lung adenocarcinoma,ESTIMATE_or_ABSOLUTE,exhaustion,-0.062100024999533245,0.1614155262017065,510,-0.10440774735665288,0.01857907921294761,509
TCGA_LUSC_PanCan,PanCanAtlas,lung squamous cell carcinoma,ESTIMATE,immune_tcell_effector,-0.2248072950183853,5.820617138676497e-07,484,-0.20798965264302213,4.032401140185823e-06,484
TCGA_LUSC_PanCan,PanCanAtlas,lung squamous cell carcinoma,ESTIMATE,cytotoxic,-0.15161182451818023,0.000819277219445695,484,-0.10089023445924182,0.026609031101910124,484
TCGA_LUSC_PanCan,PanCanAtlas,lung squamous cell carcinoma,ESTIMATE,exhaustion,-0.19253126771651408,2.0017118820411723e-05,484,-0.1883000048829187,3.11475393082053e-05,484
TCGA_LUSC_PanCan,PanCanAtlas,lung squamous cell carcinoma,ABSOLUTE,immune_tcell_effector,-0.2248072950183853,5.820617138676497e-07,484,-0.2710625655919727,1.7023968262423623e-09,479
