dataset,gene_a,gene_b,n,spearman_rho,p_value,fdr,bg_percentile,ci_low,ci_high
GTEx-lung,ELF3,GRHL1,655,0.3246699895725666,1.522552798655114e-17,4.086852249021622e-17,86.72696907876315,0.25007703398312453,0.39543166158859494
GTEx-lung,ELF3,KLF4,655,0.39319853432182533,1.2053728298151219e-25,4.853211656887201e-25,91.65216608664346,0.32230242457889596,0.4597084195363373
GTEx-lung,ELF3,TFAP2A,655,0.1192462851214338,0.002236007769414599,0.003289511430004169,62.35349413976559,0.038433829954731775,0.19850905939277474
GTEx-lung,ELF3,TACSTD2,655,0.4091156952740007,8.051302771364826e-28,3.329322497348158e-27,92.57120284811393,0.3391972148054644,0.474538953377814
GTEx-lung,CLDN4,ELF3,655,0.6513370492492268,2.503078275508895e-80,2.735506972520435e-79,99.37997519900796,0.6019845540133035,0.6957323047010155
GTEx-lung,ELF3,NKX2-1,655,0.3505378902592971,2.2607611765324478e-20,6.65185500018201e-20,88.78455138205527,0.2772432169386251,0.41977632027579087
GTEx-lung,ELF3,EPCAM,655,0.3759650105238354,2.0242460887752227e-23,7.374039323395454e-23,90.5611224448978,0.3040612003379807,0.4436094531401232
GTEx-lung,ELF3,SFTPC,655,0.3547597228925111,7.361838473437384e-21,2.2085515420312152e-20,89.1365654626185,0.28168809081288965,0.4237401143818945
GTEx-lung,ELF3,SFTPB,655,0.31179639992739633,3.1078815189224815e-16,8.059421566019316e-16,85.63492539701588,0.23660095926126315,0.3832789734794894
GTEx-lung,AGER,ELF3,655,,,,,,
GTEx-lung,ELF3,SCGB1A1,655,0.29116854233568484,2.894011343852021e-14,7.028313263640622e-14,83.75835033401337,0.215067867364989,0.36375450580250585
GTEx-lung,ELF3,SCGB3A2,655,0.3558973736605428,5.4252753119273886e-21,1.660134245449781e-20,89.22006880275211,0.2828863808191122,0.4248077802089792
GTEx-lung,ELF3,KRT5,655,0.19819833457851738,3.1606294038088553e-07,5.826220467262107e-07,73.5259410376415,0.11892742147482055,0.27495860623166524
GTEx-lung,ELF3,TP63,655,0.24053029360814368,4.4917991057977245e-10,9.042700831408578e-10,78.55714228569143,0.16251933243334507,0.3155529160935547
GTEx-lung,ELF3,FOXJ1,655,0.3267938235483204,9.127241528365115e-18,2.586051766370116e-17,86.92097683907356,0.2523030442533712,0.397434186079124
GTEx-lung,ELF3,MUC5B,655,0.23796371487194729,6.943372111418996e-10,1.3796570559053328e-09,78.28013120524821,0.1598676625765495,0.31309948576487917
GTEx-lung,ELF3,PTPRC,655,,,,,,
GTEx-lung,COL1A1,ELF3,655,-0.25764339493078176,2.1625215259143425e-11,4.7266541923556345e-11,10.395415816632665,-0.3318859805912447,-0.18022864460088212
GTEx-lung,ELF3,PECAM1,655,-0.06944847424403457,0.07570942789404561,0.09193287672848396,31.41875675027001,-0.14978847686441413,0.011802601796432163
GTEx-lung,GRHL1,KLF4,655,-0.07687563716887529,0.04922603197979987,0.06073857171701113,30.31421256850274,-0.15707981565419224,0.004335955313910527
GTEx-lung,GRHL1,TFAP2A,655,0.19773786807081548,3.369946248135739e-07,6.138116380532953e-07,73.46293851754069,0.11845492400931004,0.2745155312313605
GTEx-lung,GRHL1,TACSTD2,655,-0.11053043089830618,0.004624619959102991,0.00643242594311598,25.515520620824834,-0.19000993441769976,-0.029611615321523652
GTEx-lung,CLDN4,GRHL1,655,-0.10068935248173105,0.009920930892541863,0.013314933566306184,26.84507380295212,-0.18039922512646236,-0.019665575818915152
GTEx-lung,GRHL1,NKX2-1,655,-0.277910412126492,4.4176759752261216e-13,1.0088125734471591e-12,8.990859634385377,-0.35117179603781884,-0.20126686927744145
GTEx-lung,EPCAM,GRHL1,655,-0.24644735015147076,1.6144107596582303e-10,3.383628030516565e-10,11.169446777871114,-0.3212052981542511,-0.1686368566168136
GTEx-lung,GRHL1,SFTPC,655,-0.36872027483825115,1.594720130574305e-22,5.674236743671364e-22,4.347173886955479,-0.43682861131365364,-0.29640855052549014
GTEx-lung,GRHL1,SFTPB,655,-0.46503404251566727,1.8716645068459018e-36,8.677717259012817e-36,1.6470658826353055,-0.5263470916348512,-0.3989097798251858
GTEx-lung,AGER,GRHL1,655,,,,,,
GTEx-lung,GRHL1,SCGB1A1,655,0.36121167728202885,1.2824002625834522e-21,4.087650836984754e-21,89.58708348333934,0.2884869688563034,0.4297926254865554
GTEx-lung,GRHL1,SCGB3A2,655,0.11005258426738862,0.004805931468612511,0.0066243920243037316,60.9139365574623,0.029128301747122633,0.1895436252562463
GTEx-lung,GRHL1,KRT5,655,0.09875623012828987,0.011444619694422169,0.015095058734884412,59.14686587463499,0.017713718181068223,0.1785095648710708
GTEx-lung,GRHL1,TP63,655,0.2453427942126581,1.9582087747820706e-10,4.048728953265632e-10,79.07916316652666,0.1674944235011954,0.3201505540470054
GTEx-lung,FOXJ1,GRHL1,655,0.20328866093645,1.53997283013674e-07,2.908837568036064e-07,74.13896555862235,0.1241531399823947,0.27985450299747217
GTEx-lung,GRHL1,MUC5B,655,0.12472999156551588,0.0013809065429954122,0.0020713598144931184,63.185027401096036,0.04399091872945557,0.20385030493275832
GTEx-lung,GRHL1,PTPRC,655,,,,,,
GTEx-lung,COL1A1,GRHL1,655,-0.27300686871437113,1.1672174465818353e-12,2.6262392548091294e-12,9.327873114924596,-0.3465113451920554,-0.1961702418426945
GTEx-lung,GRHL1,PECAM1,655,0.06750792156764612,0.08427587476594588,0.10073600655616968,54.05366214648586,-0.0137519788108441,0.14788197108659448
GTEx-lung,KLF4,TFAP2A,655,-0.014020015880820694,0.7202340140771358,0.7297735374423959,40.21960878435137,-0.09509630776036618,0.06724104974560514
GTEx-lung,KLF4,TACSTD2,655,0.32017609609166936,4.4365332872563853e-17,1.170326884396943e-16,86.34245369814792,0.2453695402230944,0.39119223222941724
GTEx-lung,CLDN4,KLF4,655,0.38486205359906156,1.4929088206806898e-24,5.856796142670398e-24,91.12664506580263,0.31347190347396153,0.4519262200042723
GTEx-lung,KLF4,NKX2-1,655,0.32493748119866733,1.4278387499268996e-17,3.971987795251193e-17,86.74846993879756,0.25035735106341894,0.3956839116188055
GTEx-lung,EPCAM,KLF4,655,0.3041876211204026,1.726317583379024e-15,4.329944102573617e-15,84.97189887595505,0.22864966871986286,0.37608461885531846
GTEx-lung,KLF4,SFTPC,655,0.3788401611773697,8.794002408987987e-24,3.281664313597956e-23,90.7491299651986,0.30710081040365633,0.4462983576282229
GTEx-lung,KLF4,SFTPB,655,0.2849425722509764,1.059742014527348e-13,2.494469664964373e-13,83.17382695307812,0.20858318090435032,0.3578490077958851
GTEx-lung,AGER,KLF4,655,,,,,,
GTEx-lung,KLF4,SCGB1A1,655,0.08907088957256874,0.022621510450210217,0.02860405866844763,57.62680507220289,0.007943801319696438,0.16903311227600573
GTEx-lung,KLF4,SCGB3A2,655,0.17155644191811567,1.009983674796394e-05,1.698104420262069e-05,70.03580143205728,0.09164836423093078,0.24926921900354795
GTEx-lung,KLF4,KRT5,655,0.09693298260785588,0.013067991108401313,0.016944090165977973,58.85485419416777,0.015873366110282193,0.1767267698780264
GTEx-lung,KLF4,TP63,655,0.04847860828172266,0.21531949848860585,0.24223443579968157,50.88953558142326,-0.03283515275640147,0.12915482325061498
GTEx-lung,FOXJ1,KLF4,655,0.13464422023041644,0.0005500718751653399,0.0008654390394167318,64.69658786351454,0.05405051663885208,0.2134950313810252
