group	stem	model	cancer_type	study	n_baseline	n_treated	n_responders	n_nonresponders	mean_baseline	mean_treated	delta_treated_minus_baseline	median_baseline	median_treated	direction	treated_classes	mouse_treatments	is_lung
YTN16_GSE146027_day7_antiCTLA4(n=8)	YTN16_GSE146027_day7_antiCTLA4	YTN16	Gastric adenocarcinoma	GSE146027	4	4	4	0	2.3768808529397325	5.502058589712745	3.1251777367730127	2.294341856359835	5.473743315593585	up	Responders	antiCTLA4;no_treatment	False
B16_GSE149825_birinapant_antiCTLA4&antiPD1(n=6)	B16_GSE149825_birinapant_antiCTLA4&antiPD1	B16	Melanoma	GSE149825	3	3	3	0	0.09546354910708764	2.603828633159003	2.5083650840519156	0.0769801658363189	2.87369761434297	up	Responders	antiPD1; antiCTLA4; birinapant;birinapant	False
YTN16_GSE146027_day14_antiCTLA4(n=7)	YTN16_GSE146027_day14_antiCTLA4	YTN16	Gastric adenocarcinoma	GSE146027	4	3	3	0	3.053852539184915	5.401134676859708	2.3472821376747928	2.9203353916298447	5.60905462777988	up	Responders	antiCTLA4;no_treatment	False
p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)	p53-2336R_GSE124821_end_antiCTLA4&antiPD1	p53-2336R	Mammary cancer, NOS	GSE124821	8	5	0	5	0.1517336046719925	2.169555136080314	2.0178215314083214	0.08224873848357489	0.785441743949315	up	Non-responders	antiPD1; antiCTLA4;;no_treatment	False
KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)	KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1	KPB25L	Mammary cancer, NOS	GSE124821	4	3	3	0	1.9996642373180524	3.03820159527341	1.0385373579553576	1.9400286385005052	3.35069624041099	up	Responders	antiPD1; antiCTLA4;;no_treatment	False
D3UV2_GSE159344_antiPD1(n=6)	D3UV2_GSE159344_antiPD1	D3UV2	Melanoma	GSE159344	3	3	3	0	0.24713071252132446	1.0959844052158763	0.8488536926945518	0.240623292519232	0.33371567818056	up	Responders	antiPD1;isotype	False
LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17)	LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	LLC	Lung carcinoma	GSE155972	10	7	7	0	0.2803433444414772	1.004972502977412	0.7246291585359348	0.1774847596373155	0.29875589613712	up	Responders	antiPD1; antiCTL4;;no_treatment	True
YTN16_GSE146027_day21_antiCTLA4(n=7)	YTN16_GSE146027_day21_antiCTLA4	YTN16	Gastric adenocarcinoma	GSE146027	3	4	4	0	3.9768461088323135	4.676131275271333	0.6992851664390192	5.13789844844457	4.666019879078795	up	Responders	antiCTLA4;no_treatment	False
EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)	EMT6_GSE107801_antiTGFb_trap_antiPDL1	EMT6	Mammary carcinoma	GSE107801	10	10	10	0	0.09675844901627804	0.7434342386994304	0.6466757896831523	0.07247072518300346	0.30734664094950903	up	Responders	M7824 (anti_PDL1_TGFb_Trap);anti_PDL1(mut)_TGFb_Trap_control	False
CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10)	CT26_ERP114266_day14_antiCTLA4&antiPDL1	CT26	Colorectal carcinoma	ERP114266	5	5	5	0	0.24323700806081897	0.655811996830405	0.4125749887695861	0.254270149685212	0.321343881739544	up	Responders	antiPDL1; antiCTL4;;isotype	False
B16_GSE151829_Aire_KO_antiCTLA4(n=11)	B16_GSE151829_Aire_KO_antiCTLA4	B16	Melanoma	GSE151829	5	6	6	0	0.6228288226342723	1.0310100854793471	0.40818126284507483	0.776238848933823	0.730170707224903	up	Responders	antiCTLA4;isotype	False
