,TACSTD2,CD8A,NKG7,NCAM1,LGALS1,LGALS3,LGALS9,PVR,TGFB1,TGFB2,TGFB3,CD47,SIRPA,CD274,EPCAM,CLDN4
TCGA-18-3417-01,13.2696,7.3202,7.0082,2.1545,14.3976,12.2813,10.0896,10.4106,11.5457,7.1784,11.4138,12.6517,10.2805,6.0065,12.1,13.2332
TCGA-22-4613-01,13.2131,8.6538,7.9842,3.8353,10.7982,11.0776,10.5164,8.8492,10.6567,7.0728,8.4824,10.6344,10.0965,6.3649,12.9682,11.1383
TCGA-90-7769-01,15.3806,5.356,5.3307,6.3625,10.9413,11.6127,9.374,11.1087,11.4365,5.577,8.4785,9.6357,9.8371,8.38,13.238,14.5155
TCGA-77-A5G1-01,14.6212,7.2167,6.83,3.863,13.4034,12.5233,9.74,12.248,11.8389,7.4689,9.046,11.5057,11.6947,6.4375,11.1587,11.9368
TCGA-77-A5G3-01,13.2486,7.8831,7.3498,4.6126,11.5291,11.4235,10.0398,10.3219,11.0104,7.5204,9.1212,10.4871,9.4975,9.4958,13.759,12.5064
TCGA-66-2766-01,13.3919,7.3974,6.6157,2.9515,12.0644,11.9447,9.5671,8.9766,11.4355,6.1033,7.6402,11.3825,9.3469,9.6541,13.4219,12.132
TCGA-37-4135-01,13.0046,7.7678,7.5637,2.2201,14.0187,13.5436,10.7374,8.2137,8.9001,6.2728,6.7002,12.4817,8.4606,4.7341,12.7496,13.2415
TCGA-56-8201-01,12.2553,9.8947,9.3694,4.7225,12.8746,11.5972,11.0708,8.9114,12.0996,9.3694,9.8915,12.5376,12.389,7.5367,11.014,8.7146
TCGA-43-7656-01,11.4213,9.3399,8.1973,6.8663,11.5743,10.64,10.6466,9.6782,10.6368,8.7043,8.7322,10.8322,12.0593,7.4668,11.8959,11.2256
TCGA-85-8481-01,14.655,6.7917,6.9384,3.5367,14.5303,12.4,10.237,11.3788,12.2695,10.1158,9.9726,12.0233,11.2733,6.3918,11.1316,13.9554
TCGA-56-A4ZK-01,14.6652,8.0831,7.8453,2.27,11.0487,11.345,10.5594,9.913,11.3735,6.36,8.6219,10.6644,11.5323,8.6234,11.3294,13.2013
TCGA-22-1011-01,15.4278,8.5867,7.3823,7.0028,11.5981,11.6198,10.3328,10.1706,11.0367,9.4054,9.1635,11.8186,11.1699,6.4512,10.9637,12.1806
TCGA-77-8156-01,11.4981,9.6627,9.0184,8.9341,12.0758,11.8108,11.2309,9.4241,10.7141,7.5058,9.3726,10.506,10.5918,6.059,13.9445,12.2364
TCGA-43-A475-01,13.0762,10.8665,10.3874,6.325,10.7043,11.3846,11.9313,8.9587,10.4473,7.1532,8.5693,11.4568,10.9677,9.4475,10.0203,12.1655
TCGA-37-3789-01,13.548,9.066,7.9258,6.7826,13.1319,12.8557,9.305,10.3772,10.3992,8.1891,8.2793,12.3498,10.7364,5.765,11.0598,12.4551
TCGA-22-4596-01,11.8719,8.6637,8.0644,4.7235,13.0037,12.4568,11.0231,10.2345,11.3029,8.2877,9.9471,11.9495,11.5125,8.7193,12.1876,13.1646
TCGA-58-A46N-01,13.6462,6.1992,6.0453,5.2187,9.4216,11.4443,10.6468,9.6999,10.7146,5.9509,8.0743,11.4383,7.7274,8.2823,12.2379,10.9722
TCGA-63-A5MW-01,10.7405,7.6505,6.907,10.8758,13.0842,11.0802,8.496,9.3309,10.4353,11.6775,11.1,11.0001,9.9924,3.495,10.8496,9.1185
TCGA-85-8479-01,14.5275,5.2315,4.9865,7.0338,13.4851,12.7892,7.3928,11.0271,11.5643,5.9739,7.0486,11.8886,10.0769,2.3401,10.9509,10.8679
TCGA-68-8251-01,13.0631,8.2185,7.2414,3.6657,12.7322,10.8658,11.7838,9.8191,10.3391,8.2525,10.8179,11.2846,10.3804,5.6516,11.3683,12.3626
TCGA-34-7107-01,12.5842,7.0395,6.4976,5.2864,11.6814,10.4119,10.1072,9.3136,12.0575,12.9985,9.8006,9.8555,10.9588,8.9893,11.392,10.2468
TCGA-37-4141-01,12.1227,9.6507,8.0114,6.0561,12.0305,12.3203,10.2598,8.9076,11.0015,11.2152,8.8447,10.7213,9.5347,6.0635,13.6614,11.4466
TCGA-39-5040-01,10.9254,7.0339,5.8683,4.4252,9.3823,12.5212,8.373,12.3776,9.2078,6.9746,8.2026,12.7044,8.4922,7.1361,13.6161,13.9118
TCGA-43-2578-01,11.3005,8.4275,7.4174,6.6941,11.5664,11.8155,9.9519,9.9535,10.1045,11.1294,8.5607,10.755,9.3737,4.9318,13.7066,12.2594
TCGA-63-A5M9-01,10.8133,7.582,6.9158,6.5286,11.1603,11.35,10.0572,10.6552,10.7449,6.3118,8.254,10.7673,9.7865,8.6976,14.5739,10.3261
TCGA-92-8063-01,14.3601,7.1451,6.5494,4.2969,12.2718,11.6298,9.7343,11.6962,11.2731,7.1324,8.7957,10.8406,10.62,7.195,13.0714,13.286
TCGA-NC-A5HR-01,13.0134,7.5739,6.4046,5.2991,10.6845,12.526,10.5132,9.05,8.2502,7.998,7.4784,11.4778,8.2829,7.1875,13.1377,12.7129
TCGA-51-4079-01,14.8208,8.1253,7.7615,3.5656,11.7243,11.6708,10.1256,10.191,10.9796,7.2551,8.0939,10.8387,11.2205,8.0725,12.3847,12.7096
TCGA-66-2795-01,12.4462,7.6781,7.2356,5.2282,12.5503,12.7763,10.5813,10.1606,10.5263,6.754,9.4664,11.3105,10.7884,5.8483,13.7712,11.7738
TCGA-96-7544-01,12.8852,7.5644,6.7761,6.7288,11.631,11.6628,9.7688,9.1589,11.4426,9.4146,9.9276,10.8975,10.3486,8.7415,12.1399,10.0184
TCGA-21-1081-01,14.0509,6.1051,5.1805,4.594,11.5172,10.868,9.5899,11.18,11.7322,7.2119,9.4581,12.1431,10.8796,4.4768,11.1349,12.5331
TCGA-37-A5EM-01,13.9888,8.5897,7.7995,3.4336,12.5073,11.7879,10.79,9.9457,10.6283,7.1965,10.8507,12.1829,10.762,6.032,11.4169,13.0824
TCGA-63-6202-01,8.9,10.2783,9.139,3.6834,13.0002,12.1588,10.8892,11.0956,11.6684,7.0635,8.748,10.658,11.1535,8.5756,13.7821,12.9735
