year	pmid	pmcid	doi	first_author	journal	system	perturbation	model	data_pointer	cldn4_perturbation_profile	also_deposited	notes
2016	27725857	PMC5040675		Zheng Y	Am J Transl Res	lung injury	siRNA	bone-marrow MSC claudin-4 siRNA in an LPS rat ALI model	UNDEPOSITED	UNDEPOSITED		Not a cancer study. Europe PMC has no DOI on the record used here. No repository accession in the mined full text.
2017	28777806	PMC5544209	10.1371/journal.pone.0182521	Tokuda S	PLoS One	kidney epithelium	TALEN knockout	MDCK II claudin-4 knockout, and claudin-2/4 double knockout	SUPPLEMENT:PMC5544209	UNDEPOSITED		Data are in the paper and supporting files. Not cancer.
2018	29178675	PMC5705480	10.4168/aair.2018.10.1.25	Lee PH	Allergy Asthma Immunol Res	asthma / airway	siRNA	normal human bronchial epithelial cells	UNDEPOSITED	UNDEPOSITED		Not cancer. No repository accession.
2021	34122432	PMC8194262	10.3389/fimmu.2021.674316	Pao HP	Front Immunol	acute lung injury	siRNA	MLE-12 and mice	SUPPLEMENT:PMC8194262	UNDEPOSITED		Raw data will be made available by the authors. Not cancer.
2022	35773259	PMC9246906	10.1038/s41467-022-31587-8	Shashikanth N	Nat Commun	epithelium (MDCK)	CRISPR knockout	MDCK I claudin-4 knockout	SUPPLEMENT:PMC9246906	UNDEPOSITED		Source data are provided with the paper. Not cancer.
2022	36226770	PMC9578493	10.1080/13880209.2022.2128824	Zheng Y	Pharm Biol	acute lung injury	siRNA	MLE-12 Cldn4 siRNA	UNDEPOSITED	UNDEPOSITED		Data-availability statement: all data are included in the published article. Not cancer.
2023	37414146	PMC10424218	10.1016/j.jbc.2023.105015	Wang X	J Biol Chem	ovarian follicle (not cancer)	siRNA	mouse follicle CLDN4 siRNA	GSE207958	UNDEPOSITED	GSE207958	GSE207958 is ovarian mRNA at postnatal days 14, 15, and 16 (9 samples). Sample titles are PD14/15/16, not CLDN4 siRNA. The knockdown profile is UNDEPOSITED.
2024	38366839	PMC11302967	10.1093/ecco-jcc/jjae024	Koelink PJ	J Crohns Colitis	ulcerative colitis	shRNA	intestinal CLDN4 knockdown; TRCN0000116627	SUPPLEMENT:PMC11302967	UNDEPOSITED		Not cancer. GEO accessions cited in the text are public colitis cohorts, not this knockdown.
2024	38806818	PMC11133251	10.1007/s00018-024-05282-4	Sun W	Cell Mol Life Sci	PRRSV / lung endothelium	siRNA	pulmonary microvascular endothelial cells; siCLDN4	SUPPLEMENT:PMC11133251	UNDEPOSITED		Not cancer. No repository accession.
2024	39502213	PMC11535764	10.1016/j.heliyon.2024.e39338	Zheng Y	Heliyon	acute lung injury	siRNA	A549 used as an epithelial injury model, not as a cancer study	SUPPLEMENT:PMC11535764	UNDEPOSITED		Data are available upon reasonable request. A549 is a lung-cancer line, but the experiment is LPS injury, so this row is not in the cancer master table.
2025	40892111		10.1007/s10142-025-01683-1	Zheng C	Funct Integr Genomics	acute pancreatitis	knockdown	pancreatic acinar cells; RNA-seq nominated CLDN4	UNDEPOSITED	UNDEPOSITED		Not cancer. PubMed is not linked to GEO. Full text was not in PMC. No public accession was found for the RNA-seq.
