gene	set_name	n_qualifying_proteomes	log2fc_ko_over_control	p_value	status	reason
ISG15	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFIT1	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFIT2	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFIT3	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFIT5	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
MX1	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
MX2	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
OAS1	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
OAS2	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
OAS3	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
