symbol	present	mean_ctrl	mean_treat	median_ctrl	median_treat	delta_mean_log2p1	mw_p	mw_method	n_ctrl	n_treat	dataset	contrast	role	paired_mean_delta_log2p1	paired_median_delta_log2p1	wilcoxon_p	wilcoxon_method	wilcoxon_n_nonzero	n_pairs_same_sign_as_mean
TACSTD2	True	5.398524410333333	0.034112651	5.204819969	0.017181739	-2.6275637571673265	0.1	exact	3	3	GSE245459	shTACSTD2_vs_shNC	primary_kd						
CLDN4	True	3.148711301666667	0.10087861366666666	3.018843344	0.059749368	-1.915199492201864	0.1	exact	3	3	GSE245459	shTACSTD2_vs_shNC	primary_kd						
CLDN1	True	17.049410543333334	0.24294568366666666	17.45475636	0.261156207	-3.8595118439186904	0.1	exact	3	3	GSE245459	shTACSTD2_vs_shNC	primary_kd						
CLDN3	True	1.8445786163333333	0.016526682666666667	1.932047907	0.0	-1.4834570799056408	0.1	exact	3	3	GSE245459	shTACSTD2_vs_shNC	primary_kd						
CLDN7	True	2.5157895266666666	0.3343732366666667	2.753678087	0.28184343	-1.3929291589197272	0.1	exact	3	3	GSE245459	shTACSTD2_vs_shNC	primary_kd						
EPCAM	True	1.4924933193333334	0.04499010133333333	1.41196827	0.02890345	-1.253009564346784	0.1	exact	3	3	GSE245459	shTACSTD2_vs_shNC	primary_kd						
CDH1	True	0.028192124000000002	0.0	0.036664964	0.0	-0.039822154839484224	0.4	exact	3	3	GSE245459	shTACSTD2_vs_shNC	primary_kd						
KRT8	True	7.415128731333333	0.6079913143333333	7.298397192	0.63339394	-2.388264837320201	0.1	exact	3	3	GSE245459	shTACSTD2_vs_shNC	primary_kd						
KRT18	True	18.392923243333332	22.033000716666667	18.90845689	22.61080419	0.2493814190792225	0.1	exact	3	3	GSE245459	shTACSTD2_vs_shNC	primary_kd						
KRT19	True	20.89280979666667	0.04809305233333333	20.93512676	0.054079607	-4.38551141023445	0.1	exact	3	3	GSE245459	shTACSTD2_vs_shNC	primary_kd						
TACSTD2	True	19.87726648	0.27564142166666666	18.33574036	0.158055205	-4.033039543134698	0.1	exact	3	3	GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin						
CLDN4	True	0.364694758	0.23881893666666665	0.332106702	0.274077574	-0.13911747760769227	0.1	exact	3	3	GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin						
CLDN1	True	2.4832819473333334	0.6455468753333333	2.52638142	0.651369421	-1.0814878410565285	0.1	exact	3	3	GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin						
CLDN3	True	0.19498719033333334	0.018736567	0.211113492	0.0	-0.23038120188649547	0.1	exact	3	3	GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin						
CLDN7	True	0.7062982283333333	1.0932443246666668	0.656340213	1.091739892	0.29705710456769796	0.1	exact	3	3	GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin						
