sample	patient	pair_id	n_tumor_hi_interface	n_tumor_lo_interface	n_cd8_interface	mean_hi	mean_lo	delta_mean	p_hi	p_lo
Lung5_Rep1	Lung5	CDH1|CDH1	2847	4688	3344	0.1764211733963077	0.09040265519065402	0.08601851820565368	0.0	1.0
Lung5_Rep1	Lung5	CDH1|ITGA2_ITGB1	2847	4688	3344	0.16724229986599937	0.08122378166034572	0.08601851820565365	0.0	1.0
Lung5_Rep1	Lung5	ICAM1|ITGAL_ITGB2	2847	4688	3344	0.10517216789272997	0.07704579706821182	0.028126370824518146	0.0	0.0
Lung5_Rep1	Lung5	ICAM1|ITGAL	2847	4688	3344	0.151752084348455	0.12362571352393686	0.028126370824518132	0.0	0.0
Lung5_Rep1	Lung5	CD274|PDCD1	2847	4688	3344	0.05378299149564289	0.06037445596394728	-0.006591464468304387	0.23066666666666666	0.0
Lung5_Rep1	Lung5	PDCD1LG2|PDCD1	2847	4688	3344	0.043211622573753244	0.04624758622533675	-0.003035963651583505	0.052	0.0
Lung5_Rep1	Lung5	LGALS9|HAVCR2	2847	4688	3344	0.08692586642350512	0.0704918655042163	0.01643400091928883	0.0	0.188
Lung5_Rep1	Lung5	LGALS9|PTPRC	2847	4688	3344	0.2057460447237187	0.18931204380442987	0.016434000919288844	0.0	0.0
Lung5_Rep1	Lung5	LGALS9|CD44	2847	4688	3344	0.20519663702111984	0.18876263610183103	0.016434000919288816	0.0	0.0
Lung5_Rep1	Lung5	MIF|CD74_CD44	2847	4688	3344	0.3785147470168596	0.30291381072953066	0.07560093628732895	0.0	0.0
Lung5_Rep1	Lung5	MIF|CD74_CXCR4	2847	4688	3344	0.4217764862350126	0.34617554994768374	0.07560093628732889	0.0	0.0
Lung5_Rep1	Lung5	TGFB1|TGFBR1_TGFBR2	2847	4688	3344	0.040892905054832875	0.051529989398719396	-0.010637084343886521	1.0	1.0
Lung5_Rep1	Lung5	CXCL12|CXCR4	2847	4688	3344	0.2156434742489476	0.21992431509691757	-0.00428084084796998	0.0	0.0
Lung5_Rep1	Lung5	CXCL16|CXCR6	2847	4688	3344	0.13414648942375768	0.10232190870992555	0.031824580713832124	0.0	0.674
