unit,cut,cyto,radius_um,continuous,n_sec_usable,n_sec_neg,n_sec_pos,n_sec_zero,n_don_usable,n_don_neg,n_don_pos,n_don_zero,mean_high,mean_low,pooled_ratio,pooled_delta,median_section_ratio,effect_log_ratio,effect_abs_delta,eligible_exclusion,eligible_enrichment,sign_p_section,sign_p_donor,wilcoxon_p,n_fov,n_fov_neg,n_fov_pos,donor_deltas_json
section,detected_absent,cd8,10,False,8,6,2,0,5,5,0,0,0.0040551279539694255,0.009669994666032519,,-0.005614866712063093,,,0.005614866712063093,False,False,0.14453125,0.03125,0.0390625,217,117,19,"[-3.5424393161190607e-06, -0.0004957209335359426, -0.00813661877868727, -0.006743529849900176, -0.021395818037745724]"
section,detected_absent,cd8,20,False,8,7,1,0,5,4,1,0,0.03300303224568576,0.053420392884733284,0.6177983811706018,-0.020417360639047515,0.41369557403071516,0.4815931188141321,0.020417360639047515,True,False,0.03515625,0.1875,0.0234375,217,146,44,"[-0.0016505395312779582, 0.0008984592598337065, -0.03588766049369749, -0.034467960659144786, -0.0530424441318402]"
section,detected_absent,cd8,25,False,8,7,1,0,5,4,1,0,0.0585094394019432,0.08730745184844187,0.6701540150720524,-0.02879801244649866,0.4581183839202806,0.4002477197720614,0.02879801244649866,True,False,0.03515625,0.1875,0.015625,217,151,48,"[-0.0028038837399434044, 0.0016766755911421013, -0.05272897754656848, -0.0553667951348766, -0.0628243737152876]"
section,detected_absent,cd8,40,False,8,7,1,0,5,4,1,0,0.18975621237266513,0.24836444734990504,0.7640232504990118,-0.05860823497723993,0.595664421747476,0.2691570576883489,0.05860823497723993,True,False,0.03515625,0.1875,0.0546875,217,149,59,"[-0.004181445722576685, 0.009359102635919152, -0.1252045682375155, -0.13128685201828738, -0.08398465679279021]"
section,detected_absent,cd8,50,False,8,7,1,0,5,4,1,0,0.32784531464683764,0.40567084373505574,0.808155971053601,-0.07782552908821809,0.9441956365633069,0.21300020560742752,0.07782552908821809,True,False,0.03515625,0.1875,0.0546875,217,150,62,"[-0.002923485819125868, 0.01688963004074827, -0.1821396138804432, -0.1908713238082152, -0.07557285372001377]"
section,detected_absent,cd8,80,False,8,4,4,0,5,3,2,0,1.0193388181473768,1.1664581399958562,0.8738751809396246,-0.14711932184847964,0.9976583674544566,0.13481772709565415,0.14711932184847964,False,False,0.63671875,0.5,0.3125,217,142,75,"[0.008362562371233895, 0.04748044472094082, -0.3914001719318141, -0.41399109657490685, -0.05273126618394475]"
section,detected_absent,cd8,100,False,8,3,5,0,5,2,3,0,1.7321503878196003,1.90504867653534,0.9092420625019487,-0.17289828871574006,1.0248881491564172,0.09514392487329824,0.17289828871574006,False,False,0.36328125,0.5,0.7421875,217,136,80,"[0.03568094526637672, 0.064296754914132, -0.5226093632185269, -0.5645328630090392, 0.05522568900691027]"
section,detected_absent,nk,10,False,8,8,0,0,5,5,0,0,0.0007741232488567573,0.0032005186947155037,,-0.0024263954458587462,,,0.0024263954458587462,True,False,0.00390625,0.03125,0.0078125,217,121,29,"[-0.0013526895801893217, -0.00029521163993018407, -0.004783758003655694, -0.0052195560000510574, -0.00027081117900937756]"
section,detected_absent,nk,20,False,8,7,1,0,5,4,1,0,0.007838040750575828,0.017866422730148525,,-0.010028381979572695,,,0.010028381979572695,True,False,0.03515625,0.1875,0.015625,217,146,60,"[-0.0016466189118816265, 6.440668555006543e-05, -0.02522207025566966, -0.022636684243760734, -0.0022707810313866957]"
section,detected_absent,nk,25,False,8,7,1,0,5,4,1,0,0.014309506439202226,0.02954207624582573,,-0.015232569806623499,0.2916963353326048,,0.015232569806623499,True,False,0.03515625,0.1875,0.015625,217,154,55,"[-0.002693870799384046, 0.00029372529400564264, -0.038095118577054096, -0.0341953692879137, -0.003687064906819611]"
section,detected_absent,nk,40,False,8,5,3,0,5,3,2,0,0.05031926807100076,0.08162005985353403,0.6165061402956323,-0.03130079178253329,0.6814018418309634,0.48368699649930486,0.03130079178253329,False,False,0.36328125,0.5,0.25,217,153,61,"[0.002774031755682957, 0.000957985571534016, -0.08817381469489544, -0.07781599538085081, -0.005522790328207398]"
section,detected_absent,nk,50,False,8,4,4,0,5,3,2,0,0.09024680038967234,0.13333717701061648,0.6768314915088293,-0.04309037662094412,0.7145842927773347,0.3903329417654753,0.04309037662094412,False,False,0.63671875,0.5,0.4609375,217,147,70,"[0.011494929938309764, 0.0017614918944907285, -0.13208772300239152, -0.11250098547355666, -0.004292863198633395]"
