family,statistic,outcome,primary,T,p_one,p_two,null_mean,ci_block_lo,ci_block_hi,ci_cluster_lo,ci_cluster_hi,sign_donor_neg,sign_donor_n,sign_donor_p,sign_section_neg,sign_section_n,sign_section_p,beats_sample_sign_floor,beats_donor_sign_floor,T_cell_weighted,p_one_cell_weighted
within_fov,delta,cd8nk_count_50,True,0.31670077746055897,1.0,0.0005,0.000813328514303936,0.20245339334460574,0.4189901817341041,-0.14834684405198917,0.8229926501363589,2,5,0.8125,2,8,0.96484375,False,False,0.22357755503962018,1.0
within_fov,delta,cd8nk_contact_20,True,0.03929969433179943,1.0,0.0005,4.331113395256978e-05,0.029730174478286128,0.049505878536488905,-0.0023910217152160926,0.08265115676901241,2,5,0.8125,2,8,0.96484375,False,False,0.029983923171592174,1.0
within_fov,spearman,cd8nk_count_50,True,0.05437873740167665,1.0,0.0005,0.00020850018403536632,0.037599584528009676,0.07168359284451045,-0.030771891938738763,0.13939537913104116,2,5,0.8125,2,8,0.96484375,False,False,0.041867761767374334,1.0
within_fov,spearman,cd8nk_contact_20,True,0.06367238026383262,1.0,0.0005,8.457586659246094e-05,0.05088845330654073,0.07637937483226646,-0.0030407036914755934,0.12275900492735264,1,5,0.96875,2,8,0.96484375,False,False,0.057871903263322345,1.0
within_fov,slope,cd8nk_count_50,False,0.6256025980360652,1.0,0.0005,0.0014256971272057477,0.4625399589882852,0.7891965147522922,-0.23868669468560344,1.5965055340892458,2,5,0.8125,2,8,0.96484375,False,False,,
within_fov,slope,cd8nk_contact_20,False,0.07610272980884043,1.0,0.0005,9.453951603681426e-05,0.06145950036194028,0.09131686976038478,0.00018165152633171748,0.15252176347654747,1,5,0.96875,2,8,0.96484375,False,False,,
section_pooled,delta,cd8nk_count_50,False,0.39810911363853363,1.0,0.0005,0.17082919755603757,0.28719874773605275,0.5197207172883666,-0.11147692810466311,1.046526705663889,2,5,0.8125,2,8,0.96484375,False,False,,
section_pooled,delta,cd8nk_contact_20,False,0.049002813727530174,1.0,0.0005,0.0193708498997757,0.03825971884401497,0.060294351341851266,0.0022136994240696583,0.10081003458364111,1,5,0.96875,2,8,0.96484375,False,False,,
section_pooled,spearman,cd8nk_count_50,False,0.09000310793308557,1.0,0.0005,0.05086022465128452,,,-0.024544243898949845,0.21386915319637834,1,5,0.96875,2,8,0.96484375,False,False,,
section_pooled,spearman,cd8nk_contact_20,False,0.09410068576255079,1.0,0.0005,0.039773015058520426,,,0.008039718440625673,0.17634347469679884,1,5,0.96875,2,8,0.96484375,False,False,,
