pitch,min_tumor,min_fov_cells,min_bins,kernel,feature,target,r2_krt,r2_full,delta,median_delta,score,n_pos,n_sections,best_section,best_section_delta,n_bins
300,15,0,1,gauss80,mean_p80,nk_frac,0.11519121783391084,0.2794941544863673,0.16430293665245643,0.15689339792702534,0.15689339792702534,6,8,LUAD-5 R3,0.27505850550560607,2010
300,15,400,1,gauss80,mean_p80,nk_frac,0.11519121783391084,0.2794941544863673,0.16430293665245643,0.15689339792702534,0.15689339792702534,6,8,LUAD-5 R3,0.27505850550560607,2010
300,15,0,1,gauss80,mean_p75_q4,nk_frac,0.11519121783391084,0.2816976784053812,0.16650646057147034,0.15567501554537622,0.15567501554537622,6,8,LUAD-5 R3,0.30119897353098146,2010
300,15,400,1,gauss80,mean_p75_q4,nk_frac,0.11519121783391084,0.2816976784053812,0.16650646057147034,0.15567501554537622,0.15567501554537622,6,8,LUAD-5 R3,0.30119897353098146,2010
300,15,0,1,gauss80,mean_p75,nk_frac,0.11519121783391084,0.27901238483075363,0.1638211669968428,0.15551546474899475,0.15551546474899475,7,8,LUAD-5 R3,0.2940782165151744,2010
300,15,400,1,gauss80,mean_p75,nk_frac,0.11519121783391084,0.27901238483075363,0.1638211669968428,0.15551546474899475,0.15551546474899475,7,8,LUAD-5 R3,0.2940782165151744,2010
300,15,0,1,gauss80,mean_p90,nk_frac,0.11519121783391084,0.2892225357074928,0.17403131787358195,0.15451642280708078,0.15451642280708078,7,8,LUAD-5 R3,0.29776025067263356,2010
300,15,400,1,gauss80,mean_p90,nk_frac,0.11519121783391084,0.2892225357074928,0.17403131787358195,0.15451642280708078,0.15451642280708078,7,8,LUAD-5 R3,0.29776025067263356,2010
300,15,0,1,gauss80,mean_q4,nk_frac,0.11519121783391084,0.2746680506889161,0.15947683285500525,0.14560554412872007,0.14560554412872007,6,8,LUAD-5 R3,0.3103738248971386,2010
300,15,400,1,gauss80,mean_q4,nk_frac,0.11519121783391084,0.2746680506889161,0.15947683285500525,0.14560554412872007,0.14560554412872007,6,8,LUAD-5 R3,0.3103738248971386,2010
220,15,0,1,gauss80,mean_p80,nk_frac,0.11885662259145457,0.2628645863176041,0.14400796372614955,0.14670014318007624,0.14400796372614955,7,8,LUAD-5 R3,0.17899355437885955,2554
220,15,400,1,gauss80,mean_p80,nk_frac,0.11885662259145457,0.2628645863176041,0.14400796372614955,0.14670014318007624,0.14400796372614955,7,8,LUAD-5 R3,0.17899355437885955,2554
300,15,0,1,bin,mean_p75,nk_frac,0.07899177410587244,0.22029630859954719,0.14130453449367475,0.13988532432234668,0.13988532432234668,6,8,LUAD-5 R3,0.27030690573194804,2010
300,15,400,1,bin,mean_p75,nk_frac,0.07899177410587244,0.22029630859954719,0.14130453449367475,0.13988532432234668,0.13988532432234668,6,8,LUAD-5 R3,0.27030690573194804,2010
300,15,0,1,gauss80,mean,nk_frac,0.11519121783391084,0.26892092041750426,0.15372970258359342,0.1397020700631027,0.1397020700631027,7,8,LUAD-5 R3,0.30183420221840496,2010
300,15,400,1,gauss80,mean,nk_frac,0.11519121783391084,0.26892092041750426,0.15372970258359342,0.1397020700631027,0.1397020700631027,7,8,LUAD-5 R3,0.30183420221840496,2010
300,15,0,1,bin,mean_p75_q4,nk_frac,0.07899177410587244,0.2184157538226672,0.13942397971679477,0.1368274677277691,0.1368274677277691,6,8,LUAD-5 R3,0.27203323326304807,2010
300,15,400,1,bin,mean_p75_q4,nk_frac,0.07899177410587244,0.2184157538226672,0.13942397971679477,0.1368274677277691,0.1368274677277691,6,8,LUAD-5 R3,0.27203323326304807,2010
300,15,0,1,bin,mean_p80,nk_frac,0.07899177410587244,0.2257708960752759,0.14677912196940346,0.1352125586058679,0.1352125586058679,8,8,LUAD-5 R3,0.2625204392160112,2010
