contrast,outcome,level,sections_lt0,section_hits,section_n,sections_with_both_arms,wilcoxon_p_less,donors_lt0,donor_hits,donor_n,sign_p_one,median_section_delta
cell_resid_EPCAM_KRT8_KRT18,cytotoxic_50um,cell,6/8,6,8,8,0.09765625,3/5,3,5,0.5,-0.020327648417408667
cell_resid_EPCAM_KRT8_KRT18,cytotoxic_100um,cell,4/8,4,8,8,0.3203125,3/5,3,5,0.5,-0.002665739705290271
cell_resid_EPCAM_KRT8_KRT18,immune_neighbor_frac,cell,6/8,6,8,8,0.125,3/5,3,5,0.5,-0.009857609915789621
cell_resid_EPCAM_KRT7_8_18_19,cytotoxic_50um,cell,5/8,5,8,8,0.19140625,2/5,2,5,0.8125,-0.016138063165712938
cell_resid_EPCAM_KRT7_8_18_19,cytotoxic_100um,cell,4/8,4,8,8,0.421875,3/5,3,5,0.5,0.010602229848440725
cell_resid_EPCAM_KRT7_8_18_19,immune_neighbor_frac,cell,5/8,5,8,8,0.19140625,2/5,2,5,0.8125,-0.009447485694029464
epcam_tertile1_raw_CLDN4,cytotoxic_50um,cell,4/4,4,4,4,0.0625,3/3,3,3,0.125,-0.11060276623574454
epcam_tertile1_raw_CLDN4,cytotoxic_100um,cell,3/4,3,4,4,0.125,2/3,2,3,0.5,-0.30479873866400276
epcam_tertile1_raw_CLDN4,immune_neighbor_frac,cell,4/4,4,4,4,0.0625,3/3,3,3,0.125,-0.07670992305010171
epcam_tertile2_raw_CLDN4,cytotoxic_50um,cell,4/6,4,6,6,0.15625,2/3,2,3,0.5,-0.04480119777861857
epcam_tertile2_raw_CLDN4,cytotoxic_100um,cell,3/6,3,6,6,0.421875,2/3,2,3,0.5,0.0008342833016856677
epcam_tertile2_raw_CLDN4,immune_neighbor_frac,cell,3/6,3,6,6,0.28125,2/3,2,3,0.5,-0.0025830165550901722
epcam_tertile3_raw_CLDN4,cytotoxic_50um,cell,4/7,4,7,7,0.1484375,3/4,3,4,0.3125,-0.074558808642739
epcam_tertile3_raw_CLDN4,cytotoxic_100um,cell,4/7,4,7,7,0.40625,3/4,3,4,0.3125,-0.2988491813542993
epcam_tertile3_raw_CLDN4,immune_neighbor_frac,cell,4/7,4,7,7,0.53125,3/4,3,4,0.3125,-0.007384108566352972
domain_resid_joint_k8,shannon,domain,5/8,5,8,8,0.125,4/5,4,5,0.1875,-0.3209239588321865
domain_resid_joint_k8,normalized_mixing,domain,5/8,5,8,8,0.52734375,4/5,4,5,0.1875,-0.3655310178637306
domain_resid_joint_k8,mean_cytotoxic_50um,domain,5/8,5,8,8,0.37109375,4/5,4,5,0.1875,-0.2896262445412725
domain_resid_joint_k4,shannon,domain,5/5,5,5,8,0.03125,4/4,4,4,0.0625,-0.6994687527597473
domain_resid_joint_k4,normalized_mixing,domain,5/5,5,5,8,0.03125,4/4,4,4,0.0625,-0.5580820728453227
domain_resid_joint_k4,mean_cytotoxic_50um,domain,5/5,5,5,8,0.03125,4/4,4,4,0.0625,-0.5967266050905641
domain_resid_joint_k6,shannon,domain,6/8,6,8,8,0.125,4/5,4,5,0.1875,-0.4739810666681827
domain_resid_joint_k6,normalized_mixing,domain,5/8,5,8,8,0.15625,4/5,4,5,0.1875,-0.5167235315767161
domain_resid_joint_k6,mean_cytotoxic_50um,domain,5/8,5,8,8,0.15625,4/5,4,5,0.1875,-0.3159401704015512
domain_resid_joint_k10,shannon,domain,5/8,5,8,8,0.125,4/5,4,5,0.1875,-0.34787817094601564
domain_resid_joint_k10,normalized_mixing,domain,5/8,5,8,8,0.37109375,4/5,4,5,0.1875,-0.1522829582494411
domain_resid_joint_k10,mean_cytotoxic_50um,domain,4/8,4,8,8,0.23046875,3/5,3,5,0.5,-0.08518337666267259
domain_resid_joint_k12,shannon,domain,5/8,5,8,8,0.19140625,4/5,4,5,0.1875,-0.3032500754002225
domain_resid_joint_k12,normalized_mixing,domain,5/8,5,8,8,0.3203125,4/5,4,5,0.1875,-0.35223448530383394
domain_resid_joint_k12,mean_cytotoxic_50um,domain,5/8,5,8,8,0.19140625,4/5,4,5,0.1875,-0.25622316958920416
dual_high_vs_TACSTD2_only_k8,shannon,domain,0/0,0,0,3,,0/0,0,0,,
dual_high_vs_TACSTD2_only_k8,normalized_mixing,domain,0/0,0,0,3,,0/0,0,0,,
dual_high_vs_TACSTD2_only_k8,mean_cytotoxic_50um,domain,0/0,0,0,3,,0/0,0,0,,
domains_epithelial_genes_held_out_k8,shannon,domain,8/8,8,8,8,0.00390625,5/5,5,5,0.03125,-0.606979562024248
domains_epithelial_genes_held_out_k8,normalized_mixing,domain,8/8,8,8,8,0.00390625,5/5,5,5,0.03125,-0.3172433418453756
domains_epithelial_genes_held_out_k8,mean_cytotoxic_50um,domain,8/8,8,8,8,0.00390625,5/5,5,5,0.03125,-0.2321582966176977
