patient,radius_um,n_sections,n_cells,n_cldn4_high,n_cldn4_low,n_cd8,n_nk,n_other,z_cldn4_high_cd8,mean_n_cldn4_high_cd8,frac_cldn4_high_cd8,z_cldn4_high_nk,mean_n_cldn4_high_nk,frac_cldn4_high_nk,mean_n_cldn4_high_cd8nk,frac_cldn4_high_cd8nk,z_cldn4_low_cd8,mean_n_cldn4_low_cd8,frac_cldn4_low_cd8,z_cldn4_low_nk,mean_n_cldn4_low_nk,frac_cldn4_low_nk,mean_n_cldn4_low_cd8nk,frac_cldn4_low_cd8nk,delta_mean_n_cd8,ratio_mean_n_cd8,delta_z_cd8,delta_frac_cd8,delta_mean_n_nk,ratio_mean_n_nk,delta_z_nk,delta_frac_nk,delta_mean_n_cd8nk,ratio_mean_n_cd8nk,delta_z_cd8nk,delta_frac_cd8nk,perm_delta_mean_n_cd8nk,perm_p_high_lt_low_cd8nk
Lung5,50.0,3,98715.33333333333,9037.666666666666,9050.666666666666,2054.0,1676.6666666666667,76896.33333333333,-67.5228064577007,0.0746381452030159,0.0017165870762446257,-54.46953536192883,0.14720401248365975,0.0033772396643687226,0.22184215768667567,0.0050938267406133485,-65.36626452709895,0.09197303867511895,0.002085877981243437,-54.09494846788228,0.1501344610004465,0.0033836478839829663,0.24210749967556544,0.005469525865226404,-0.017334893472103045,0.8132273802921112,-2.1565419306017426,-0.0003692909049988111,-0.002930448516786773,0.985385748263826,-0.3745868940465537,-6.408219614243594e-06,-0.020265341988889813,0.9188586999556424,,-0.0003756991246130547,-0.020265341988889813,0.09466666666666668
Lung5,100.0,3,98715.33333333333,9037.666666666666,9050.666666666666,2054.0,1676.6666666666667,76896.33333333333,-87.29871696242661,0.5193286788681385,0.003239736037464665,-66.50360362703556,0.8998554982462991,0.005598311681493472,1.4191841771144376,0.008838047718958136,-85.5828352967871,0.5413018437009555,0.0033388337790081772,-70.00149285336357,0.798179754539548,0.00489832418671145,1.3394815982405037,0.008237157965719626,-0.021973164832816954,0.9597762554108541,-1.7158816656395193,-9.909774154351232e-05,0.10167574370675092,1.1323453732192117,3.4978892263280037,0.0006999874947820226,0.07970257887393399,1.0610022277099993,,0.00060088975323851,0.07970257887393391,0.9566666666666667
Lung6,50.0,1,89975.0,16402.0,50579.0,1230.0,184.0,21580.0,-62.38575682411317,0.11974149493964151,0.002914655791616951,-18.338527131113057,0.03341055968784295,0.0008132542636487217,0.15315205462748446,0.0037279100552656728,-87.6358898151166,0.10834536072282963,0.0026662073783883457,-25.480782342386274,0.033037426599972324,0.0008129986367311909,0.14138278732280196,0.0034792060151195366,0.011396134216811876,1.1051834074000233,25.250132991003426,0.0002484484132286055,0.00037313308787062516,1.011294254010418,7.142255211273216,2.5562691753080406e-07,0.011769267304682501,1.083243989792132,,0.0002487040401461362,0.011769267304682501,0.99
Lung6,100.0,1,89975.0,16402.0,50579.0,1230.0,184.0,21580.0,-79.98636080664434,0.6968052676502865,0.004331087766581313,-20.11838222050182,0.17571027923423974,0.0010921511018713225,0.8725155468845263,0.005423238868452636,-97.00977020523212,0.653116906225904,0.004145092543702029,-26.928318831583674,0.16301231736491428,0.001034579161555465,0.8161292235908183,0.005179671705257494,0.04368836142438248,1.06689210003281,17.023409398587773,0.00018599522287928404,0.012697961869325453,1.07789572024119,6.809936611081852,5.757194031585748e-05,0.05638632329370796,1.0690899451506204,,0.00024356716319514152,0.05638632329370796,1.0
Lung9,50.0,2,113555.0,34015.0,34107.0,2001.0,964.0,42468.0,-86.25638786952499,0.2723125428124854,0.005562966473508889,-67.22118648996454,0.09233812622918351,0.0019427611119452507,0.36465066904166893,0.007505727585454139,-68.0206316750322,0.42127498600574576,0.008726079487809468,-44.25385134624405,0.1916472034583296,0.0040946765073866815,0.6129221894640754,0.012820755995196147,-0.14896244319326035,0.6346246299550868,-18.235756194492772,-0.003163113014300578,-0.0993090772291461,0.48521524795569065,-22.967335143720494,-0.0021519153954414304,-0.24827152042240647,0.590143853212731,,-0.005315028409742008,-0.2482715204224064,0.001
Lung9,100.0,2,113555.0,34015.0,34107.0,2001.0,964.0,42468.0,-95.3121696292491,1.5908646986694859,0.008410430521390663,-79.18845758117325,0.5381613622286335,0.002949675051935918,2.129026060898119,0.01136010557332658,-74.6577346821336,2.0546959937244362,0.010977393580701229,-53.607814604118545,0.8618821322996214,0.004797806332923847,2.9165781260240577,0.015775199913625075,-0.46383129505495047,0.7600084454159446,-20.6544349471155,-0.002566963059310567,-0.3237207700709879,0.6284458061436262,-25.58064297705472,-0.0018481312809879298,-0.7875520651259384,0.7204556309869912,,-0.0044150943402984965,-0.7875520651259386,0.001
Lung12,50.0,1,71304.0,7288.0,11224.0,1310.0,567.0,50915.0,-43.90189516011606,0.1798847420417124,0.006282285966206956,-28.52291794716441,0.08301317233809001,0.0028991479859307463,0.2628979143798024,0.009181433952137701,-32.05171896351401,0.37152530292230934,0.011881357380972733,-14.729092612080217,0.19725588025659302,0.006308231472775451,0.5687811831789024,0.018189588853748183,-0.19164056088059694,0.48417897953865224,-11.85017619660205,-0.005599071414765777,-0.11424270791850301,0.42084003898948613,-13.793825335084192,-0.0034090834868447046,-0.30588326879909994,0.46221274921662003,,-0.009008154901610482,-0.30588326879909994,0.001
Lung12,100.0,1,71304.0,7288.0,11224.0,1310.0,567.0,50915.0,-52.97203839385908,1.071350164654226,0.009245444771255761,-32.82644376504539,0.48902305159165754,0.0042201287352402065,1.5603732162458837,0.013465573506495968,-35.977718773001605,1.6349786172487526,0.013498086833205102,-16.750960566152617,0.8169992872416251,0.006744997888970127,2.4519779044903776,0.020243084722175227,-0.5636284525945265,0.6552686092354113,-16.994319620857475,-0.004252642061949341,-0.32797623564996753,0.5985599488620245,-16.075483198892773,-0.00252486915372992,-0.8916046882444939,0.6363732778294321,,-0.006777511215679259,-0.8916046882444939,0.001
Lung13,50.0,1,81236.0,13148.0,13163.0,3251.0,105.0,51569.0,-42.514930130625046,1.511028293276544,0.03166318165011284,-10.324455789272447,0.040690599330696686,0.0008526603001364257,1.5517188926072407,0.032515841950249265,-33.97180931881141,1.6639823748385627,0.03508611741186421,-8.392918319590002,0.04717769505431892,0.0009947714428511015,1.7111600698928817,0.03608088885471531,-0.15295408156201873,0.9080795062045905,-8.543120811813637,-0.0034229357617513723,-0.006487095723622237,0.862496552318777,-1.9315374696824446,-0.0001421111427146758,-0.159441177285641,0.9068227572096035,,-0.003565046904466046,-0.15944117728564078,0.001
Lung13,100.0,1,81236.0,13148.0,13163.0,3251.0,105.0,51569.0,-29.19706607319384,7.1788104654700335,0.03628746552888769,-8.08359389385942,0.21288408883480378,0.0010760869189121026,7.391694554304837,0.03736355244779979,-20.837561551551214,7.517967028792828,0.03850432380378004,-5.464715435160052,0.23117830281850643,0.0011840121397235488,7.749145331611334,0.03968833594350359,-0.33915656332279465,0.9548871972936475,-8.359504521642627,-0.002216858274892354,-0.01829421398370265,0.9208653504214663,-2.6188784586993687,-0.0001079252208114462,-0.35745077730649744,0.9538722320965723,,-0.0023247834957038013,-0.3574507773064983,0.001
