sample,patient,cut,radius_um,class_name,estimand,threshold,n_high,n_low,high_mean,low_mean,delta,ratio
LUAD-5 R1,Lung5,detected,5,immune,frac,0.0,419,296,0.014319809069212411,0.02364864864864865,-0.009328839579436239,0.6055233549266962
LUAD-5 R2,Lung5,detected,5,immune,frac,0.0,669,559,0.002242152466367713,0.007155635062611807,-0.004913482596244094,0.3133408071748879
LUAD-5 R3,Lung5,detected,5,immune,frac,0.0,349,349,0.011461318051575931,0.02005730659025788,-0.00859598853868195,0.5714285714285714
LUSC-6,Lung6,detected,5,immune,frac,0.0,160,411,0.0,0.009732360097323601,-0.009732360097323601,0.0
LUAD-9 R1,Lung9,detected,5,immune,frac,0.0,198,893,0.030303030303030304,0.043673012318029114,-0.01336998201499881,0.6938616938616939
LUAD-9 R2,Lung9,detected,5,immune,frac,0.0,517,2067,0.014506769825918761,0.03289791969037252,-0.01839114986445376,0.4409631357378541
LUAD-12,Lung12,detected,5,immune,frac,0.0,77,291,0.1038961038961039,0.22336769759450173,-0.11947159369839783,0.4651348651348651
LUAD-13,Lung13,detected,5,immune,frac,0.0,235,751,0.05106382978723404,0.06990679094540612,-0.018842961158172085,0.7304559270516717
LUAD-5 R1,Lung5,detected,5,immune,count,0.0,11819,6018,0.0005076571621964633,0.001163177135260884,-0.0006555199730644206,0.43644011458547377
LUAD-5 R2,Lung5,detected,5,immune,count,0.0,11352,6562,0.00017618040873854828,0.0007619628162145687,-0.0005857824074760205,0.23121916842847076
LUAD-5 R3,Lung5,detected,5,immune,count,0.0,9389,6504,0.0004260304611779742,0.001076260762607626,-0.0006502303014296518,0.39584315992879204
LUSC-6,Lung6,detected,5,immune,count,0.0,24655,41541,0.0,9.629041188223683e-05,-9.629041188223683e-05,0.0
LUAD-9 R1,Lung9,detected,5,immune,count,0.0,10433,28431,0.0005750982459503498,0.0014069149871619008,-0.000831816741211551,0.4087654557653599
LUAD-9 R2,Lung9,detected,5,immune,count,0.0,25449,69427,0.00031435419859326497,0.0009794460368444554,-0.0006650918382511904,0.32095101390786185
LUAD-12,Lung12,detected,5,immune,count,0.0,5919,12348,0.0013515796587261362,0.00550696469063816,-0.0041553850319120235,0.24543096508750487
LUAD-13,Lung13,detected,5,immune,count,0.0,9053,16977,0.0013255274494642659,0.003121870766330918,-0.0017963433168666522,0.42459395301046876
LUAD-5 R1,Lung5,detected,5,immune,frac0,0.0,11819,6018,0.0005076571621964633,0.001163177135260884,-0.0006555199730644206,0.43644011458547377
LUAD-5 R2,Lung5,detected,5,immune,frac0,0.0,11352,6562,0.0001321353065539112,0.0006095702529716549,-0.00047743494641774376,0.21676797040169135
LUAD-5 R3,Lung5,detected,5,immune,frac0,0.0,9389,6504,0.0004260304611779742,0.001076260762607626,-0.0006502303014296518,0.39584315992879204
LUSC-6,Lung6,detected,5,immune,frac0,0.0,24655,41541,0.0,9.629041188223683e-05,-9.629041188223683e-05,0.0
LUAD-9 R1,Lung9,detected,5,immune,frac0,0.0,10433,28431,0.0005750982459503498,0.0013717421124828531,-0.0007966438665325033,0.41924662129780504
LUAD-9 R2,Lung9,detected,5,immune,frac0,0.0,25449,69427,0.0002947070611811859,0.0009794460368444554,-0.0006847389756632694,0.30089157553862045
LUAD-12,Lung12,detected,5,immune,frac0,0.0,5919,12348,0.0013515796587261362,0.005264010366051183,-0.003912430707325046,0.2567585480915435
LUAD-13,Lung13,detected,5,immune,frac0,0.0,9053,16977,0.0013255274494642659,0.0030924191553277965,-0.0017668917058635306,0.42863770494390174
LUAD-5 R1,Lung5,detected,6,immune,frac,0.0,1468,1014,0.009536784741144414,0.01725838264299803,-0.0077215979018536145,0.5525885558583106
LUAD-5 R2,Lung5,detected,6,immune,frac,0.0,1895,1499,0.00474934036939314,0.015121191905714919,-0.01037185153632178,0.3140850535464846
LUAD-5 R3,Lung5,detected,6,immune,frac,0.0,1085,1014,0.008294930875576038,0.020710059171597635,-0.012415128296021597,0.40052666227781436
LUSC-6,Lung6,detected,6,immune,frac,0.0,631,1625,0.006339144215530904,0.014461538461538461,-0.008122394246007558,0.4383450787335199
LUAD-9 R1,Lung9,detected,6,immune,frac,0.0,710,2815,0.030985915492957747,0.03996447602131439,-0.00897856052835664,0.7753364632237872
LUAD-9 R2,Lung9,detected,6,immune,frac,0.0,1676,6629,0.015214797136038186,0.04005128978729824,-0.02483649265126005,0.3798828256677858
LUAD-12,Lung12,detected,6,immune,frac,0.0,253,876,0.11462450592885376,0.2622716894977169,-0.14764718356886314,0.43704490617486785
LUAD-13,Lung13,detected,6,immune,frac,0.0,714,2055,0.07983193277310924,0.09286293592862935,-0.01303100315552011,0.8596748743165389
LUAD-5 R1,Lung5,detected,6,immune,count,0.0,11819,6018,0.0012691429054911584,0.0031571950814223994,-0.001888052175931241,0.40198431606556795
LUAD-5 R2,Lung5,detected,6,immune,count,0.0,11352,6562,0.0008809020436927414,0.0038098140810728437,-0.002928912037380102,0.23121916842847076
LUAD-5 R3,Lung5,detected,6,immune,count,0.0,9389,6504,0.000958568537650442,0.0033825338253382535,-0.0024239652876878117,0.28338771676720337
LUSC-6,Lung6,detected,6,immune,count,0.0,24655,41541,0.00016223889677550193,0.000577742471293421,-0.00041550357451791903,0.2808152504562969
