layer,analysis_id,family,cohort,partner,label,definition,adjustment,n,spearman_rho,spearman_p,pearson_r,pearson_p,ci95_lo,ci95_hi,resid_df,n_adjusters,unadjusted_spearman_same_n,null_p_same_size_from_parent,partial_status,eligible_for_max,is_layer_max,q_bh_within_eligible,n_equals_118,rounds_to_0.69,delta_vs_0.69
protein,S1_Lung,histology,S1_Lung,CLDN4,S1 Lung,"Table S1 Tissue=Lung, TACSTD2+CLDN4 both quantified",none,45,0.6931488801054019,1.3117431950020398e-07,0.6871878120527255,1.8535570143264805e-07,0.48181474795042534,0.8244617773397729,,0,,,,True,False,1.7430025242010699e-06,False,True,0.00314888010540193
protein,Oncotree_NSCLC,histology,Oncotree_NSCLC,CLDN4,Oncotree NSCLC,S1 Lung and OncotreePrimaryDisease=NSCLC,none,35,0.7266106442577032,7.730366817532931e-07,0.7437063817000543,3.0686191982928465e-07,0.5050537350774729,0.8403732465553264,,0,,0.21544613846538366,,True,False,1.9878086102227535e-06,False,False,0.03661064425770322
protein,Oncotree_LUAD,histology,Oncotree_LUAD,CLDN4,Oncotree LUAD,S1 Lung and OncotreeSubtype=LUAD,none,22,0.7820440429136083,1.713299661861345e-05,0.7932845666934566,1.0611960424713108e-05,0.5216332768724569,0.9011925042589438,,0,,0.1472131967008248,,True,False,3.083939391350421e-05,False,False,0.09204404291360835
protein,Oncotree_LUSC,histology,Oncotree_LUSC,CLDN4,Oncotree LUSC,S1 Lung LUSC,none,7,0.7500000000000002,0.0521814004570578,0.7919681641099044,0.033773710155508715,-0.08695652173913043,1.0,,0,,0.3554111472131967,,False,False,,False,False,0.060000000000000275
protein,Oncotree_SCLC,histology,Oncotree_SCLC,CLDN4,Oncotree SCLC,S1 Lung SCLC,none,7,0.642857142857143,0.11939237342741109,0.31002086641065385,0.4986157894316887,-0.17647058823529413,1.0,,0,,0.5528617845538615,,False,False,,False,False,-0.04714285714285693
protein,S1_Lung_Primary,histology,S1_Lung_Primary,CLDN4,S1 Lung Primary,S1 Lung PrimaryOrMetastasis=Primary,none,20,0.7443609022556391,0.0001673956999851941,0.7338037507557921,0.0002309009519804639,0.38471703722139267,0.9087521656284142,,0,,0.29492626843289177,,True,False,0.0002152230428381067,False,False,0.054360902255639165
protein,S1_Lung_Metastatic,histology,S1_Lung_Metastatic,CLDN4,S1 Lung Metastatic,S1 Lung PrimaryOrMetastasis=Metastatic,none,25,0.653076923076923,0.00040128161079623604,0.6533369902537883,0.00039842174393928446,0.29386371238816394,0.8501623190774189,,0,,0.6343414146463384,,True,False,0.00046445325947469085,False,False,-0.03692307692307695
protein,NSCLC_Primary,histology,NSCLC_Primary,CLDN4,NSCLC Primary,NSCLC Primary,none,17,0.8210784313725491,5.346351701144895e-05,0.7955672685454248,0.00013421099838869916,0.5199849812265331,0.9405222864293865,,0,,0.08072981754561359,,True,False,8.019527551717343e-05,False,False,0.13107843137254915
protein,NSCLC_Metastatic,histology,NSCLC_Metastatic,CLDN4,NSCLC Metastatic,NSCLC Metastatic,none,18,0.5995872033023736,0.008536698768223005,0.6828986328081184,0.0017877581065150665,0.17168349557589413,0.8544727024179078,,0,,0.7490627343164209,,True,False,0.008536698768223005,False,False,-0.09041279669762636
protein,LUAD_Primary,histology,LUAD_Primary,CLDN4,LUAD Primary,LUAD Primary,none,11,0.8727272727272729,0.00045461505140964023,0.8227811528813909,0.0018694334867766019,0.5175629331491581,0.9903846153846154,,0,,0.053486628342914275,,False,False,,False,False,0.18272727272727296
protein,LUAD_Metastatic,histology,LUAD_Metastatic,CLDN4,LUAD Metastatic,LUAD Metastatic,none,11,0.6818181818181819,0.020842853610945084,0.8052775820829016,0.0027803373064410504,0.09853060671722645,0.9345794392523364,,0,,0.5021244688827793,,False,False,,False,False,-0.008181818181818068
protein,S1_Lung_CLDN4pep_ge2,peptide_qc,S1_Lung,CLDN4,"S1 Lung, CLDN4 peptides ≥ 2",S1 Lung complete cases with ≥2 CLDN4 peptides on the plex.,none,25,0.8292307692307692,3.012259525211754e-07,0.8132656490865539,7.744603086499525e-07,0.5987056668865468,0.9266482419902553,,0,,0.022994251437140716,,False,False,,False,False,0.13923076923076927
protein,S1_Lung_CLDN4pep_ge3,peptide_qc,S1_Lung,CLDN4,"S1 Lung, CLDN4 peptides ≥ 3",S1 Lung complete cases with ≥3 CLDN4 peptides on the plex.,none,11,0.8363636363636365,0.0013331850799508565,0.8137820082604981,0.002304160896787491,0.407689094603748,0.9905660377358491,,0,,0.12121969507623094,,False,False,,False,False,0.14636363636363658
protein,partial::S1_Lung::OncotreeSubtype,partial_histology,S1_Lung,CLDN4,S1 Lung | OncotreeSubtype,Rank partial within S1_Lung.,OncotreeSubtype,45,0.7034432805105604,2.905004207001783e-07,0.6871878120527255,1.8535570143264805e-07,0.5118290437274784,0.8382672250206648,39.0,4,0.6931488801054019,,ok,True,False,1.7430025242010699e-06,False,False,0.01344328051056043
protein,partial::S1_Lung::OncotreePrimaryDisease,partial_histology,S1_Lung,CLDN4,S1 Lung | OncotreePrimaryDisease,Rank partial within S1_Lung.,OncotreePrimaryDisease,45,0.6840224916225828,4.2665067251636905e-07,0.6871878120527255,1.8535570143264805e-07,0.4908630373766096,0.8158879996307619,41.0,2,0.6931488801054019,,ok,True,False,1.919928026323661e-06,False,False,-0.005977508377417173
protein,partial::S1_Lung::PrimaryOrMetastasis,partial_histology,S1_Lung,CLDN4,S1 Lung | PrimaryOrMetastasis,Rank partial within S1_Lung.,PrimaryOrMetastasis,45,0.6919654429931065,1.9691602754673362e-07,0.6871878120527255,1.8535570143264805e-07,0.4738385112590784,0.8264952849601773,42.0,1,0.6931488801054019,,ok,True,False,1.7430025242010699e-06,False,True,0.0019654429931065254
protein,partial::S1_Lung::OncotreeSubtype + PrimaryOrMetastasis,partial_histology,S1_Lung,CLDN4,S1 Lung | OncotreeSubtype + PrimaryOrMetastasis,Rank partial within S1_Lung.,OncotreeSubtype + PrimaryOrMetastasis,45,0.6950156844517589,6.483482770634942e-07,0.6871878120527255,1.8535570143264805e-07,0.4791000532552034,0.839516978091619,38.0,5,0.6931488801054019,,ok,True,False,1.9878086102227535e-06,False,False,0.005015684451758928
protein,partial::S1_Lung::EPCAM,partial_epithelial,S1_Lung,CLDN4,S1 Lung | EPCAM,Epithelial-program partial. Not eligible for the maximum.,EPCAM,45,0.5530866962259663,9.876251602725452e-05,0.6871878120527255,1.8535570143264805e-07,,,42.0,1,0.6931488801054019,,ok,False,False,,False,False,-0.13691330377403366
protein,partial::S1_Lung::CDH1,partial_epithelial,S1_Lung,CLDN4,S1 Lung | CDH1,Epithelial-program partial. Not eligible for the maximum.,CDH1,45,0.3887434776483317,0.009110999876901218,0.6871878120527255,1.8535570143264805e-07,,,42.0,1,0.6931488801054019,,ok,False,False,,False,False,-0.3012565223516682
protein,partial::S1_Lung::VIM,partial_epithelial,S1_Lung,CLDN4,S1 Lung | VIM,Epithelial-program partial. Not eligible for the maximum.,VIM,45,0.6401557141295107,2.8786607043033587e-06,0.6871878120527255,1.8535570143264805e-07,,,42.0,1,0.6931488801054019,,ok,False,False,,False,False,-0.04984428587048928
