gene,present,average,CFPAC1_any,CFPAC1_any_max,ESO26,ESO26_max,HBDEC2,HBDEC2_max,HepG2_any,HepG2_any_max
ELF3,True,187.363636,1.0,428.0,0.0,0.0,0.0,0.0,1.0,256.0
CLDN4,True,90.909091,1.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
TACSTD2,True,103.545455,1.0,327.0,0.0,0.0,0.0,0.0,1.0,113.0
AURKA,True,984.454545,1.0,1946.0,0.0,0.0,0.0,0.0,1.0,609.0
CDC25B,True,518.454545,1.0,979.0,0.0,0.0,0.0,0.0,1.0,389.0
ITGB6,True,375.636364,1.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0
YWHAB,True,739.090909,1.0,1640.0,1.0,227.0,0.0,0.0,1.0,855.0
XRCC6,True,69.545455,1.0,218.0,0.0,0.0,0.0,0.0,1.0,170.0
XRCC5,True,446.0,1.0,795.0,0.0,0.0,0.0,0.0,1.0,677.0
PRKDC,True,330.181818,1.0,593.0,1.0,149.0,1.0,88.0,1.0,425.0
XRCC4,True,433.363636,1.0,874.0,0.0,0.0,0.0,0.0,1.0,177.0
LIG4,True,50.272727,1.0,173.0,0.0,0.0,0.0,0.0,1.0,200.0
NHEJ1,True,32.727273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,198.0
PAXX,False,,,,,,,,,
DCLRE1C,True,597.636364,1.0,1060.0,1.0,119.0,0.0,0.0,1.0,481.0
APLF,True,44.636364,1.0,123.0,0.0,0.0,0.0,0.0,1.0,151.0
PNKP,True,126.545455,1.0,318.0,0.0,0.0,0.0,0.0,1.0,123.0
APTX,True,65.727273,1.0,130.0,0.0,0.0,0.0,0.0,1.0,167.0
POLL,True,69.0,1.0,131.0,0.0,0.0,0.0,0.0,1.0,142.0
POLM,True,181.545455,1.0,268.0,0.0,0.0,0.0,0.0,1.0,347.0
CGAS,True,92.363636,1.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
STING1,True,536.363636,1.0,1226.0,0.0,0.0,0.0,0.0,0.0,0.0
TBK1,True,92.272727,1.0,194.0,0.0,0.0,0.0,0.0,1.0,235.0
IKBKE,True,433.454545,1.0,998.0,0.0,0.0,0.0,0.0,1.0,210.0
IRF3,True,158.090909,1.0,302.0,0.0,0.0,0.0,0.0,1.0,153.0
IRF7,True,247.636364,1.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0
IFI16,True,372.545455,1.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX41,True,131.454545,1.0,249.0,0.0,0.0,0.0,0.0,1.0,221.0
ZBP1,False,,,,,,,,,
TREX1,True,311.090909,1.0,764.0,0.0,0.0,0.0,0.0,1.0,555.0
ENPP1,False,,,,,,,,,
IFNB1,True,70.636364,1.0,155.0,0.0,0.0,0.0,0.0,1.0,189.0
IFNL1,False,,,,,,,,,
ISG15,True,50.363636,1.0,207.0,0.0,0.0,0.0,0.0,1.0,103.0
MX1,True,169.909091,1.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0
OAS1,True,390.0,1.0,793.0,0.0,0.0,0.0,0.0,1.0,383.0
OAS2,True,109.0,1.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0
IFIT1,True,47.272727,1.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
IFI27,True,174.818182,1.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
STAT1,True,280.090909,1.0,341.0,0.0,0.0,0.0,0.0,1.0,682.0
STAT2,True,150.181818,1.0,282.0,0.0,0.0,0.0,0.0,1.0,349.0
IRF9,True,440.727273,1.0,896.0,0.0,0.0,0.0,0.0,1.0,784.0
IRF1,True,171.454545,1.0,360.0,0.0,0.0,0.0,0.0,1.0,322.0
CXCL10,True,288.636364,1.0,861.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX58,True,49.545455,1.0,218.0,0.0,0.0,0.0,0.0,1.0,137.0
B2M,True,398.818182,1.0,841.0,0.0,0.0,0.0,0.0,1.0,155.0
TAP1,True,191.363636,1.0,363.0,0.0,0.0,0.0,0.0,1.0,238.0
HLA-A,True,39.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,138.0
HLA-B,False,,,,,,,,,
CD274,True,280.545455,1.0,640.0,0.0,0.0,0.0,0.0,1.0,237.0
