gsm	title	source	cell_subtype	cell_type
GSM2411375	Bulk_RNA-Seq_HNSCC_01_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411376	Bulk_RNA-Seq_HNSCC_02_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411377	Bulk_RNA-Seq_HNSCC_03_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411378	Bulk_RNA-Seq_HNSCC_04_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411379	Bulk_RNA-Seq_HNSCC_05_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411380	Bulk_RNA-Seq_HNSCC_06_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411381	Bulk_RNA-Seq_HNSCC_07_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411382	Bulk_RNA-Seq_HNSCC_08_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411383	Bulk_RNA-Seq_HNSCC_09_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411384	Bulk_RNA-Seq_HNSCC_10_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411385	Bulk_RNA-Seq_HNSCC_11_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411386	Bulk_RNA-Seq_HNSCC_12_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411387	Bulk_RNA-Seq_HNSCC_13_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411388	Bulk_RNA-Seq_HNSCC_14_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411389	Bulk_RNA-Seq_HNSCC_15_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411390	Bulk_RNA-Seq_HNSCC_16_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411391	Bulk_RNA-Seq_HNSCC_17_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411392	Bulk_RNA-Seq_HNSCC_18_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411393	Bulk_RNA-Seq_HNSCC_19_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411394	Bulk_RNA-Seq_HNSCC_20_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411395	Bulk_RNA-Seq_HNSCC_21_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411396	Bulk_RNA-Seq_HNSCC_22_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411397	Bulk_RNA-Seq_HNSCC_23_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411398	Bulk_RNA-Seq_HNSCC_24_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411399	Bulk_RNA-Seq_HNSCC_25_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411400	Bulk_RNA-Seq_HNSCC_26_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411401	Bulk_RNA-Seq_HNSCC_27_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411402	Bulk_RNA-Seq_HNSCC_28_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411403	Bulk_RNA-Seq_HNSCC_29_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411404	Bulk_RNA-Seq_HNSCC_30_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411405	Bulk_RNA-Seq_HNSCC_31_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411406	Bulk_RNA-Seq_HNSCC_32_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411407	Bulk_RNA-Seq_HNSCC_33_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411408	Bulk_RNA-Seq_HNSCC_34_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411409	Bulk_RNA-Seq_HNSCC_35_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411410	Bulk_RNA-Seq_HNSCC_36_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411411	Bulk_RNA-Seq_HNSCC_37_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411412	Bulk_RNA-Seq_HNSCC_38_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411413	Bulk_RNA-Seq_HNSCC_39_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411414	Bulk_RNA-Seq_HNSCC_40_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411415	Bulk_RNA-Seq_HNSCC_41_TIL	Head & neck squamous cancer tumor	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
