accession	organism	in_scope_human_lung_ici	is_human	is_lung	is_ici	public_status	submission_date	series_type	n_samples	pubmed	has_response_or_survival_labels	label_keys	TACSTD2_measured	CLDN4_measured	CD274_measured	downloaded_files	downloaded_MB	files_skipped_ge_2gb	title
GSE100860	Homo sapiens	True	True	True	True	Public on Oct 05 2018	Jul 06 2017	Expression profiling by high throughput sequencing	14	30282824	False					3	1.6	0	Monitoring Nivolumab binding as a method to clarify the residual therapeutic effects and to characterize the immune profile in antibody bound T cells in previously treated non-small cell lung cancer patients
GSE101929	Homo sapiens	True	True	True	True	Public on Jul 28 2017	Jul 26 2017	Expression profiling by array	66	29196495	False					3	339.1	0	Gene expression data from African Americans and European Americans with non-small cell lung cancer
GSE102286	Homo sapiens	True	True	True	True	Public on Aug 04 2017	Aug 04 2017	Non-coding RNA profiling by array	179	29196495	False					3	1.4	0	MicroRNA expression data from African Americans and European Americans with non-small cell lung cancer
GSE106420	Homo sapiens	True	True	True	True	Public on Aug 09 2018	Nov 01 2017	Expression profiling by high throughput sequencing	12	30111633	False					3	1.2	0	Human lymph nodes maintain a unique subset of resident memory T cells with high functional potential important for protective immunity and immunotherapies
GSE108819	Homo sapiens	True	True	True	True	Public on Jul 23 2018	Jan 05 2018	Expression profiling by array	9	30224822	False					3	24.7	0	The mRNA and lncRNA profiles of the T cells activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates at day 0, day 1 and day 6
GSE109010	Homo sapiens	True	True	True	True	Public on Jun 17 2018	Jan 10 2018	Expression profiling by array	12	29892061	False		False	False	False	4	16.7	0	Mutations in the SWI/SNF chromatin remodeling complex induce metabolic rewiring and dependence on oxidative phosphorylation [Affymetrix]
GSE109020	Homo sapiens	True	True	True	True	Public on Jun 17 2018	Jan 10 2018	Genome binding/occupancy profiling by high throughput sequencing	4	29892061	False					7	1179.0	0	Mutations in the SWI/SNF chromatin remodeling complex induce metabolic rewiring and dependence on oxidative phosphorylation
GSE110390	Homo sapiens	True	True	True	True	Public on Feb 14 2018	Feb 08 2018	Expression profiling by high throughput sequencing	159	29716923	False		False	False	True	3	0.0	0	Interferon Gamma mRNA Signature in Tumor Biopsies Predicts Outcomes in Patients with Non–Small-Cell Lung Carcinoma or Urothelial Cancer Treated with Durvalumab
GSE111360	Homo sapiens	True	True	True	True	Public on Dec 13 2018	Mar 02 2018	Expression profiling by high throughput sequencing; Other	35	30550791	True	treatment				5	744.2	0	Organoid modeling of the tumor immune microenvironment
GSE113972	Homo sapiens	True	True	True	True	Public on Oct 18 2018	May 02 2018	Expression profiling by high throughput sequencing	7	30518613	False					3	18.1	0	Non-coding regions are the main source of tumor-specific antigens [human]
GSE115305	Homo sapiens	True	True	True	True	Public on Dec 26 2018	Jun 04 2018	Expression profiling by high throughput sequencing	12	30130255	False		True	True	True	2	0.6	0	Self-associated molecular patterns mediate cancer immune evasion by engagement of Siglec receptors
GSE121682	Homo sapiens	True	True	True	True	Public on Dec 11 2018	Oct 23 2018	Expression profiling by array	12	30486888	False		False	False	False	9	0.2	0	Immunotherapy Utilizing NK cells and ADCC Mediating Agents with Poly (ADP-ribose) polymerase (PARP) Inhibition
GSE124199	Homo sapiens	True	True	True	True	Public on Dec 21 2018	Dec 20 2018	Expression profiling by high throughput sequencing	14	30926812	False		True	True	True	2	0.3	0	Wnt1 silences CC/CXC motif chemokine genes in dendritic cells and induces adaptive immune resistance in lung adenocarcinoma
GSE72094	Homo sapiens	True	True	True	True	Public on Oct 21 2015	Aug 14 2015	Expression profiling by array	442	26477306	True	vital_status				2	101.1	1	KRAS mutation-associated gene expression, p53 and STK11 mutations, proliferation and immune surveillance in lung adenocarcinoma
GSE81089	Homo sapiens	True	True	True	True	Public on Jun 01 2016	May 04 2016	Expression profiling by high throughput sequencing	218	41540507	True	vital_date	True	True	True	3	33.5	0	Next Generation Sequencing (RNAseq) of non-small cell lung cancer
GSE84789	Homo sapiens	True	True	True	True	Public on Oct 11 2016	Jul 25 2016	Expression profiling by high throughput sequencing	192	27699239	False		False	False	False	2	4.6	0	Single-cell profiling of non small cell lung cancer associated B-cells.
GSE84797	Homo sapiens	True	True	True	True	Public on Oct 11 2016	Jul 25 2016	Expression profiling by array	29	27699239	False					3	0.3	0	Multi-parametric profiling of non-small cell lung cancers reveals distinct immunophenotypes [Nanostring]
GSE90728	Homo sapiens	True	True	True	True	Public on Jun 19 2017	Dec 01 2016	Expression profiling by high throughput sequencing	68	28628092	False					2	6.8	0	Tissue-resident memory features are linked to the magnitude of cytotoxic T cell responses in human lung cancer [NSCLC]
