accession	location	filename	size	size_bytes	under_2gb
GSE100860	suppl	GSE100860_RAW.tar	1.6M	1677721	True
GSE100860	suppl	filelist.txt	1.0K	1024	True
GSE100860	matrix	GSE100860_series_matrix.txt.gz	2.7K	2764	True
GSE101929	suppl	GSE101929_RAW.tar	327M	342884352	True
GSE101929	suppl	filelist.txt	4.4K	4505	True
GSE101929	matrix	GSE101929_series_matrix.txt.gz	12M	12582912	True
GSE102286	suppl	GSE102286_RAW.tar	1.2M	1258291	True
GSE102286	suppl	filelist.txt	14K	14336	True
GSE102286	matrix	GSE102286_series_matrix.txt.gz	153K	156672	True
GSE106420	suppl	GSE106420_RAW.tar	1.2M	1258291	True
GSE106420	suppl	filelist.txt	1.0K	1024	True
GSE106420	matrix	GSE106420_series_matrix.txt.gz	3.3K	3379	True
GSE108819	suppl	GSE108819_RAW.tar	22M	23068672	True
GSE108819	suppl	filelist.txt	660	660	True
GSE108819	matrix	GSE108819_series_matrix.txt.gz	2.3M	2411724	True
GSE109010	suppl	GSE109010_Non-normalized_data.txt.gz	1.6M	1677721	True
GSE109010	suppl	GSE109010_RAW.tar	14M	14680064	True
GSE109010	suppl	filelist.txt	1.0K	1024	True
GSE109010	matrix	GSE109010_series_matrix.txt.gz	1.2M	1258291	True
GSE109020	suppl	GSE109020_BRG1_MinusDox_L012-L001_S_vs_L012-L001_G_macs1_peaks.bed.gz	3.2K	3276	True
GSE109020	suppl	GSE109020_BRG1_MinusDox_L012-L001_S_vs_L012-L001_G_macs1_peaks.xls.gz	5.1K	5222	True
GSE109020	suppl	GSE109020_BRG1_PlusDox_L012-L004_S_vs_L012-L004_G_macs1_peaks.bed.gz	89K	91136	True
GSE109020	suppl	GSE109020_BRG1_PlusDox_L012-L004_S_vs_L012-L004_G_macs1_peaks.xls.gz	122K	124928	True
GSE109020	suppl	GSE109020_RAW.tar	1.2G	1288490188	True
GSE109020	suppl	filelist.txt	407	407	True
GSE109020	matrix	GSE109020_series_matrix.txt.gz	3.3K	3379	True
GSE110390	suppl	GSE110390_CP1108_NSCLC_21gene_expression.txt.gz	11K	11264	True
GSE110390	suppl	GSE110390_CP1108_UBC_21gene_expression.txt.gz	5.5K	5632	True
GSE110390	matrix	GSE110390_series_matrix.txt.gz	6.7K	6860	True
GSE111360	suppl	GSE111360_RAW.tar	744M	780140544	True
GSE111360	suppl	GSE111360_readme_data_processing.txt	652	652	True
GSE111360	suppl	filelist.txt	7.2K	7372	True
GSE111360	matrix	GSE111360-GPL20301_series_matrix.txt.gz	5.0K	5120	True
GSE111360	matrix	GSE111360-GPL24676_series_matrix.txt.gz	6.7K	6860	True
GSE111796	suppl	GSE111796_normalized_counts_therapy.txt.gz	1.3M	1363148	True
GSE111796	matrix	GSE111796_series_matrix.txt.gz	3.3K	3379	True
GSE112468	suppl	GSE112468_non_normalized_PD.txt.gz	1.6M	1677721	True
GSE112468	matrix	GSE112468_series_matrix.txt.gz	2.5M	2621440	True
GSE113972	suppl	GSE113972_RAW.tar	18M	18874368	True
GSE113972	suppl	filelist.txt	660	660	True
