gene,GSM5772210,GSM5772211,GSM5772212,GSM5772213,GSM5772214,GSM5772215,GSM5772216
A1BG,3.087,1.515,2.599,1.291,2.502,4.533,1.863
A1BG-AS1,1.25,0.794,0.546,0.279,0.43,0.76,0.189
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,52.02,93.688,51.677,17.304,50.175,189.769,86.991
A2M-AS1,0.0,1.052,0.833,0.271,0.418,0.553,0.916
A2ML1,0.064,0.0,0.125,0.0,0.066,2.916,0.101
A2MP1,0.0,0.0,0.0,0.0,0.0,0.246,0.0
A3GALT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,2.915,2.21,6.522,2.205,0.501,0.904,1.059
A4GNT,0.586,1.599,1.535,2.66,3.25,0.467,1.161
AA06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,41.088,36.65,34.79,30.984,30.744,27.28,34.187
AACS,11.966,7.612,16.969,8.642,8.218,5.27,10.062
AACSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAC,0.901,0.199,0.0,0.0,0.0,0.0,0.13
AADACL2,0.0,0.0,0.232,0.0,0.0,0.566,0.0
AADACL2-AS1,0.0,0.0,0.0,0.0,0.0,0.975,0.0
AADACL3,0.0,0.0,0.124,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACP1,2.865,0.0,0.0,0.124,0.0,4.514,0.0
AADAT,0.0,0.657,0.0,0.07,0.062,1.985,0.191
AAED1,33.513,21.076,23.645,28.816,26.778,23.041,21.099
AAGAB,10.297,19.995,14.034,18.302,17.768,19.95,16.818
AAK1,2.08,2.47,2.483,2.291,2.515,1.21,2.429
AAMDC,58.297,33.919,31.984,25.84,30.481,48.175,41.819
AAMP,52.87,51.637,52.618,55.232,64.716,46.466,63.425
AANAT,0.067,0.0,0.0,0.0,0.0,0.149,0.106
AAR2,24.597,23.259,19.202,26.697,21.08,24.023,25.057
AARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS,47.693,53.159,58.357,51.687,56.088,45.219,46.36
AARS2,3.37,4.996,6.604,4.971,3.992,2.602,3.441
AARSD1,17.929,13.956,16.499,14.169,18.415,15.8,17.48
AASDH,3.387,3.063,6.036,4.289,4.693,4.732,4.106
AASDHPPT,13.615,13.534,13.373,11.305,11.336,13.975,12.221
AASS,0.262,0.611,0.211,0.307,0.707,1.136,0.447
AATBC,1.145,4.038,1.499,2.468,2.281,1.826,1.154
AATF,33.795,34.312,29.067,35.083,31.266,23.164,35.451
AATK,0.023,0.163,0.117,0.192,0.208,0.174,0.0
AATK-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABALON,8.914,9.009,11.055,7.752,9.964,11.563,9.738
ABAT,3.669,3.337,2.5,3.514,4.041,1.002,2.16
ABCA1,4.134,14.531,4.209,5.284,10.201,13.449,13.84
ABCA10,0.075,0.0,0.0,0.0,0.0,0.0,0.0
ABCA11P,1.4,0.749,1.666,1.714,1.37,2.429,0.958
ABCA12,0.013,0.0,0.019,0.017,0.0,0.031,0.02
ABCA13,0.443,0.049,0.0,0.024,0.069,4.087,0.0
ABCA17P,0.029,0.035,0.038,0.0,0.059,0.0,0.0
ABCA2,1.005,0.593,0.621,0.656,0.4,0.397,1.048
ABCA3,1.37,1.942,0.629,1.042,0.257,1.079,0.677
ABCA4,0.0,0.058,0.0,0.094,0.0,0.222,0.0
ABCA5,0.714,0.337,0.319,0.325,0.31,4.449,0.3
ABCA6,0.494,0.027,0.147,0.289,0.255,1.193,0.498
ABCA7,3.177,6.136,7.485,5.886,5.772,4.077,5.116
ABCA8,0.0,0.0,0.0,0.073,0.0,0.0,0.0
ABCA9,0.056,0.0,0.074,0.0,0.0,0.08,0.0
ABCA9-AS1,0.0,0.0,0.0,0.0,0.0,0.393,0.0
ABCB1,1.064,2.089,0.431,0.504,0.078,2.209,0.08
ABCB10,10.768,11.731,11.971,10.378,9.819,6.991,9.772
ABCB11,0.0,0.0,0.0,0.0,0.0,0.798,0.0
ABCB4,0.0,0.0,0.0,0.111,0.163,0.403,0.1
ABCB5,0.468,1.276,0.364,0.315,1.227,1.566,0.772
ABCB6,1.546,1.628,1.651,1.143,1.049,8.218,1.418
ABCB7,8.283,9.992,13.749,10.283,11.904,6.348,13.209
ABCB8,8.138,5.136,5.847,5.634,6.396,6.768,5.74
ABCB9,0.051,0.088,0.191,0.47,0.376,0.38,0.272
ABCC1,4.903,6.295,5.692,6.038,5.541,3.476,5.521
ABCC10,4.139,7.154,5.863,4.69,4.904,7.633,6.644
ABCC11,0.403,0.0,0.0,0.0,0.0,0.029,0.0
ABCC12,0.0,0.0,0.09,0.0,0.0,0.0,0.0
ABCC13,0.0,0.0,0.172,0.0,0.0,0.0,0.069
ABCC2,0.0,0.0,0.057,0.0,0.022,0.603,0.173
ABCC3,29.238,35.3,41.573,41.109,47.571,10.971,28.93
ABCC4,2.468,1.109,1.72,1.089,2.289,3.803,2.178
ABCC5,9.34,12.424,8.683,8.418,7.327,34.269,6.175
ABCC5-AS1,0.0,0.0,0.0,0.0,0.462,7.624,0.71
ABCC6,1.359,1.502,0.0,0.694,0.611,2.096,0.0
ABCC6P1,0.091,0.0,0.0,0.106,0.094,0.29,0.0
ABCC6P2,1.392,0.844,0.0,0.272,0.239,1.974,0.0
ABCC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,1.954,1.773,2.744,1.795,2.278,2.303,2.25
ABCD1,2.578,5.332,3.463,3.408,5.013,1.863,3.562
ABCD2,0.489,0.135,0.0,0.156,0.184,0.757,0.458
ABCD3,10.324,9.676,11.381,8.129,10.541,13.084,8.127
ABCD4,9.804,11.995,11.734,10.259,9.396,12.08,11.995
ABCE1,12.15,12.441,9.719,11.244,12.684,10.3,12.304
ABCF1,16.808,12.597,11.994,12.619,12.952,9.18,14.901
ABCF2,13.802,18.195,22.896,17.676,12.894,26.903,16.648
ABCF3,13.881,23.464,23.5,24.306,22.307,15.225,22.379
ABCG1,152.507,293.358,288.628,218.572,256.699,68.474,263.068
ABCG2,20.903,30.6,27.907,22.644,24.292,3.566,25.539
ABCG4,0.0,0.122,0.088,0.0,0.104,4.462,0.0
ABCG5,0.0,0.11,0.0,0.0,0.0,0.0,0.0
ABCG8,0.14,0.0,0.0,0.0,0.0,0.099,0.0
ABHD1,0.0,0.337,0.485,0.217,0.0,0.0,0.587
ABHD10,22.524,16.754,17.687,20.46,24.808,15.997,19.097
ABHD11,12.677,9.147,11.932,8.194,9.74,23.889,12.982
ABHD11-AS1,9.705,0.0,2.311,0.0,0.91,23.927,0.0
ABHD12,73.638,61.541,100.752,84.561,92.211,116.441,85.582
ABHD12B,1.355,0.986,1.1,0.537,1.305,3.168,0.429
ABHD13,4.079,4.186,3.493,3.833,4.74,3.003,3.871
ABHD14A,33.083,35.678,34.049,37.263,39.978,34.465,34.441
ABHD14A-ACY1,3.174,7.27,12.495,5.275,12.901,8.686,5.954
ABHD14B,32.234,30.307,45.145,31.052,32.164,22.181,31.845
ABHD15,9.331,14.003,16.452,14.12,13.86,4.865,11.967
ABHD16A,59.567,78.658,76.713,60.889,73.671,54.239,68.023
ABHD16B,0.876,1.328,0.478,0.513,0.452,0.388,0.694
ABHD17A,18.433,22.049,21.815,20.999,23.381,20.953,17.954
ABHD17B,3.414,5.713,3.724,3.995,2.264,8.38,4.636
ABHD17C,2.445,1.225,2.297,2.241,1.59,6.443,1.937
ABHD2,21.622,21.882,19.751,22.088,25.837,20.312,21.91
ABHD3,58.714,52.287,47.677,45.257,60.586,58.367,48.963
ABHD4,26.536,32.425,27.464,20.142,21.791,25.526,21.97
ABHD5,26.827,22.687,26.765,30.387,25.436,9.156,22.046
ABHD6,7.589,14.6,14.052,11.159,9.235,27.554,16.173
ABHD8,12.524,12.609,13.376,11.181,12.985,8.599,13.68
ABI1,50.716,45.209,46.106,44.853,50.294,41.461,48.327
ABI2,1.75,2.669,1.943,2.307,1.713,4.9,2.113
ABI3,27.936,26.059,26.025,29.083,30.615,22.871,15.927
ABI3BP,0.08,0.13,0.175,0.345,0.193,0.0,0.042
ABL1,1.71,3.783,3.531,2.852,3.789,4.152,3.842
