cohort,gene,covariate,n_roi,spearman_rho,spearman_p,spearman_p_BH
CANTABRICO_GSE261345,TACSTD2,Teff_score,121,0.6866413765072482,3.506874134308484e-18,6.429269246232221e-18
CANTABRICO_GSE261345,TACSTD2,CD8A,121,0.76379216908278,2.251039358793346e-24,1.2380716473363402e-23
CANTABRICO_GSE261345,TACSTD2,GZMA,121,0.5818452784175585,2.579302285910462e-12,4.053189306430726e-12
CANTABRICO_GSE261345,TACSTD2,GZMB,121,0.7200582576886598,1.3120713837280375e-20,3.207285604668536e-20
CANTABRICO_GSE261345,TACSTD2,PRF1,121,0.7219482454951902,9.336443301288002e-21,2.5675219078542005e-20
CANTABRICO_GSE261345,TACSTD2,IFNG,121,0.7180531093347783,1.8768054711739212e-20,3.7536109423478424e-20
CANTABRICO_GSE261345,TACSTD2,CXCL9,121,-0.040251998374204026,0.6611298791146646,0.6611298791146646
CANTABRICO_GSE261345,TACSTD2,CD274,121,0.6148218398590976,6.296035816707779e-14,1.0654829843659318e-13
CANTABRICO_GSE261345,TACSTD2,STAT1,121,-0.22844465519577284,0.011727940506112148,0.014334149507470402
CANTABRICO_GSE261345,TACSTD2,CD68,121,0.05655060289933612,0.5378331451358912,0.5634442472852194
CANTABRICO_GSE261345,TACSTD2,CD163,121,0.3222259856388022,0.00031296802952699056,0.000430331040599612
IMfirst_GSE261348,TACSTD2,Teff_score,175,0.648627407075683,2.8639177108697057e-22,1.0501031606522255e-21
IMfirst_GSE261348,TACSTD2,CD8A,175,0.6307165248544558,8.43611259254268e-21,2.5675219078542005e-20
IMfirst_GSE261348,TACSTD2,GZMA,175,0.6273264666368115,1.5614615960445856e-20,3.435215511298088e-20
IMfirst_GSE261348,TACSTD2,GZMB,175,0.6835579937304076,1.94491133653685e-25,1.4262683134603567e-24
IMfirst_GSE261348,TACSTD2,PRF1,175,0.6653761755485894,9.7980192300118e-24,4.311128461205192e-23
IMfirst_GSE261348,TACSTD2,IFNG,175,0.721524854455889,2.005898657238814e-29,4.412977045925391e-28
IMfirst_GSE261348,TACSTD2,CXCL9,175,0.1393752798925213,0.06583619007754375,0.07623137798452434
IMfirst_GSE261348,TACSTD2,CD274,175,0.7051679355127631,1.2519715986844948e-27,1.3771687585529443e-26
IMfirst_GSE261348,TACSTD2,STAT1,175,-0.20636363636363636,0.006145302096259171,0.007952743889276574
IMfirst_GSE261348,TACSTD2,CD68,175,-0.07902149574563368,0.2985763857754555,0.328434024353001
IMfirst_GSE261348,TACSTD2,CD163,175,0.4742274966412897,3.37268368955086e-11,4.9466027446745947e-11
