dataset	gene_set	n_detected	comp_direction	comp_rank_biserial	comp_p	sc_mean_log2FC	sc_median_log2FC	sc_n_up	sc_n_down	sc_wilcoxon_p
GSE245459	tight_junction	28	down	-0.3647	0.0008334	-0.5854	-0.229	5	23	4.211e-05
GSE245459	adherens	11	down	-0.4171	0.01659	-0.3397	-0.2554	2	9	0.01855
GSE245459	desmosome	9	down	-0.7676	6.66e-05	-0.5021	-0.5281	0	9	0.003906
GSE245459	ifn_isg	38	down	-0.728	7.959e-15	-0.7932	-0.6346	1	37	1.455e-11
GSE245459	ifn_chemokine	10	down	-0.3508	0.05472	-0.465	-0.2265	3	7	0.04883
GSE245459	antigen_presentation	17	down	-0.4968	0.0003891	-0.6619	-0.4941	3	14	0.002579
GSE245459	tcell_cytotox	12	up	-0.05875	0.7245	-0.1098	-0.033	1	11	0.004883
GSE245459	CLDN4_headline	1	NA					0	1	
GSE245459	junctions	48	down	-0.4527	5.685e-08	-0.5135	-0.2822	7	41	7.681e-09
GSE245459	ifn_immune	77	down	-0.5244	1.702e-15	-0.6151	-0.4941	8	69	1.924e-12
