^SAMPLE = GSM379959
!Sample_title = Neg.0.72h.3
!Sample_geo_accession = GSM379959
!Sample_status = Public on Jun 01 2010
!Sample_submission_date = Mar 12 2009
!Sample_last_update_date = Jun 01 2010
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = SW480, untransfected control, 72h after treatment
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: SW480 human colon adenocarcinoma cell line
!Sample_characteristics_ch1 = protocol: transfection
!Sample_characteristics_ch1 = targeted gene: N/A
!Sample_characteristics_ch1 = sirna: Untransfected Control
!Sample_characteristics_ch1 = time: 72h
!Sample_characteristics_ch1 = replicate: 3
!Sample_treatment_protocol_ch1 = Reverse transfections were performed in 6-well plates. Briefly, 60 pmol siRNAs were diluted in 750 μl serum-free media. Subsequently, 1.8 μl Oligofectamine (Invitrogen, Carlsbad, CA) were mixed with 750 μl serum-free media. These solutions were combined to allow complex formation at ambient temperature. Next, tumor cells were dissolved in 1500 μl serum containing 20% FBS, and added to the reaction (20 nM siRNA). After 45-minute incubation at ambient temperature, plates were kept at 37°C in a humidified 5% CO2 atmosphere.
!Sample_growth_protocol_ch1 = Cells were grown in RPMI-1640 containing 10% FBS and 1% Penecillin/Streptomycin.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = After transfection (48h or 72h), total RNA was isolated using TRIzol (Invitrogen, Gaithersburg, MD), and purified using the RNeasy Mini kit (Qiagen, Germantown, MD).  A detailed protocol can be found at www.riedlab.nci.nih.gov/.  Nucleic acid quantity, quality and purity were determined using a spectrophotometer (Nanodrop, Rockland, DE) and a 2100 Bioanalyzer (Agilent Technologies, Palo Alto, CA).  Only RNA samples with a RNA integrity number between 9.0 and 10.0 were considered for further analysis.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = 600 ng of total RNA were reverse-transcribed and amplified, thereby incorporating Cyanine 3-CTP nucleotides, using the Low RNA Input Fluorescent Linear Amplification Kit according to the manufacturer's recommendations (Agilent One-Color Microarray-Based Gene Expression Analysis, protocol version 5.5, February 2007; Agilent Technologies).
!Sample_hyb_protocol = After a two-hour reaction, 1.5 μg of purified, Cy3-labeled cRNA were hybridized to an oligonucleotide Whole Human Genome Microarray (4x44K, Agilent Technologies) for 17 hours at 65˚C, then washed according to manufacturer's protocol.
!Sample_scan_protocol = Slides were scanned using an Agilent G2565BA scanner, and data were extracted using the Feature Extraction software version 9.5.1 (Agilent Technologies).
!Sample_description = Untransfected cells
!Sample_data_processing = Median signal intensities from the Feature Extraction Software were converted to log2 and quantile normalized using the R package “limma”.
!Sample_platform_id = GPL4133
!Sample_contact_name = Marian ,,Grade
!Sample_contact_email = marian.grade@gmail.com
!Sample_contact_department = Surgery
!Sample_contact_institute = University Medical Center Goettingen, Georg-August-University
!Sample_contact_address = Robert-Koch-Str. 40
!Sample_contact_city = Goettingen
!Sample_contact_zip/postal_code = 37075
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM379nnn/GSM379959/suppl/GSM379959.txt.gz
!Sample_series_id = GSE15212
!Sample_data_row_count = 45015
#ID_REF = 
#VALUE = Quantile-normalized, log2 signal intensity
!sample_table_begin
ID_REF	VALUE
1	18.22842
2	5.767
3	5.84441
4	5.9468
5	5.93715
6	5.89838
7	5.89838
8	5.93715
9	5.9468
10	6.05928
11	5.99212
12	11.96672
13	7.62589
14	9.85484
15	6.50904
16	14.44635
17	8.4059
18	9.13835
19	16.59296
20	6.66341
21	7.16326
22	16.02151
23	6.71952
24	12.73894
25	13.48713
26	6.75285
27	8.99402
28	6.37213
29	6.24665
30	10.7566
31	6.90128
32	8.91523
33	7.78008
34	6.4467
35	11.33359
36	6.04785
37	6.64259
38	10.41637
39	6.12893
40	9.84519
41	6.20547
42	11.67751
43	6.46957
44	6.05928
45	13.58982
46	7.56927
47	10.86415
48	6.07053
49	10.65207
50	6.27087
51	7.9515
52	10.95847
53	8.577
54	7.9515
55	7.26118
56	9.53904
57	11.7234
58	10.4979
59	9.10787
60	6.77706
61	13.78009
62	12.99614
63	7.34732
64	11.10552
65	7.79557
66	10.04656
67	12.21257
68	9.33366
69	12.35794
70	6.67919
71	15.39888
72	6.17082
73	7.85945
74	11.6613
75	5.97074
76	5.95406
77	6.03649
78	5.98571
79	5.95406
80	5.93715
81	5.98571
82	5.84441
83	5.67513
84	18.20749
85	18.16193
86	18.16877
87	5.88718
88	5.81981
89	5.91956
90	5.91956
91	5.91956
92	5.93715
93	5.91956
94	6.03649
95	6.03649
96	12.69637
97	6.2828
98	8.53701
99	8.5063
100	10.6251
101	6.32283
102	9.38906
103	12.96926
104	14.95901
105	10.88312
106	11.27139
107	6.02352
108	7.53341
109	12.45939
110	14.6523
111	6.94555
112	7.23267
113	7.58981
114	11.83551
115	6.79383
116	6.14106
117	6.34295
118	6.91872
119	8.74559
120	7.99383
121	7.20353
122	8.18828
123	6.30313
124	7.17041
125	6.80522
126	13.61259
127	10.67938
128	7.64843
129	10.19521
130	6.51745
131	6.76019
132	6.58776
133	6.38238
134	6.91532
135	6.27087
136	6.46536
137	6.63912
138	15.1691
139	13.08721
140	6.38749
141	13.21116
142	10.7618
143	8.30749
144	16.4885
145	13.2063
146	11.67801
147	10.48229
148	6.5775
149	10.83646
150	6.14639
151	6.35863
152	6.2828
153	6.56808
154	7.23955
155	9.89651
156	9.35544
157	11.33421
158	7.63988
159	6.66341
160	5.92767
161	5.93715
162	5.93715
163	5.95406
164	5.93715
165	5.93715
166	5.90971
167	5.91956
168	5.88718
169	5.751
170	18.13933
171	5.83
172	5.92767
173	5.91956
174	5.91956
175	5.84441
176	5.85465
177	5.93715
178	5.84441
179	6.03649
180	6.21111
181	7.69264
182	6.42499
183	6.84245
184	11.71062
185	6.05928
186	6.42499
187	6.99418
188	8.8487
189	9.32658
190	7.34106
191	7.45701
192	12.12935
193	9.65973
194	9.5578
195	10.16866
196	6.69585
197	10.39874
198	6.45606
199	6.25883
200	8.16554
201	6.08203
202	9.75112
203	6.61352
204	9.17655
205	7.73431
206	6.5775
207	6.18798
208	11.01388
210	7.69765
211	6.61352
212	6.82643
213	10.58931
214	12.12472
215	5.93715
216	15.51016
217	6.78582
218	6.42499
219	10.05674
220	13.07087
221	7.24289
222	8.66764
223	12.1856
224	6.2173
225	7.32837
226	6.08784
227	6.37719
228	6.9276
229	6.49102
230	6.42499
231	7.29033
232	6.70775
233	6.40224
234	11.99325
235	6.07053
236	10.18442
237	9.09223
238	11.37606
239	10.54046
