patient,n_cells,n_malignant,n_immune,immune_fraction,malignant_fraction,TACSTD2_mean_malignant,TACSTD2_pct_pos_malignant,CLDN4_mean_malignant,CLDN4_pct_pos_malignant,EPCAM_mean_malignant,EPCAM_pct_pos_malignant,PTPRC_mean_malignant,PTPRC_pct_pos_malignant
P1,5302,3900,990,0.18672199170124482,0.7355714824594493,0.8979891538619995,63.43589743589744,1.2270216941833496,74.64102564102564,1.1305444240570068,74.74358974358975,0.08664064109325409,8.282051282051283
P10,3731,2610,457,0.12248726882873225,0.6995443580809434,1.001298189163208,69.57854406130268,1.1063438653945923,71.11111111111111,1.0147777795791626,73.10344827586206,0.05509668216109276,5.478927203065134
P11,554,62,420,0.7581227436823105,0.11191335740072202,0.0,0.0,0.07314463704824448,3.225806451612903,0.425458699464798,38.70967741935484,0.08650512248277664,8.064516129032258
P12,839,75,305,0.3635280095351609,0.08939213349225268,1.727101445198059,89.33333333333333,2.344403028488159,92.0,1.657724142074585,86.66666666666667,0.007067639846354723,1.3333333333333335
P13,904,77,705,0.7798672566371682,0.08517699115044247,1.1291632652282715,66.23376623376623,1.9126218557357788,87.01298701298701,1.248216152191162,72.72727272727273,0.06964609026908875,5.194805194805195
P14,1750,1356,254,0.14514285714285713,0.7748571428571429,2.1972975730895996,91.22418879056046,0.37239760160446167,22.71386430678466,1.1563557386398315,64.45427728613569,0.10545897483825684,7.7433628318584065
P15,2395,2226,140,0.05845511482254697,0.9294363256784969,2.3894331455230713,84.68104222821205,1.3314539194107056,59.74842767295597,0.7573168873786926,37.915543575920935,0.1467156857252121,8.086253369272237
P16,1133,950,146,0.12886142983230361,0.8384819064430715,1.7156026363372803,79.05263157894737,1.717644214630127,82.0,2.036144971847534,88.21052631578948,0.02165275812149048,1.5789473684210527
P18,2979,1563,531,0.1782477341389728,0.5246727089627392,1.014553427696228,47.408829174664106,1.2899569272994995,68.13819577735126,1.3065191507339478,69.28982725527831,0.08832922577857971,7.229686500319897
P19,287,117,90,0.313588850174216,0.4076655052264808,2.4639251232147217,88.03418803418803,1.66049325466156,72.64957264957265,0.3998655676841736,34.18803418803419,0.10677355527877808,7.6923076923076925
P2,305,272,21,0.06885245901639345,0.8918032786885246,0.7584999799728394,61.76470588235294,2.0584166049957275,95.58823529411765,1.2389012575149536,84.55882352941177,0.004317424725741148,0.7352941176470588
P20,425,395,24,0.05647058823529412,0.9294117647058824,1.3223834037780762,73.9240506329114,2.1398797035217285,91.39240506329114,2.154247999191284,90.63291139240506,0.0069749136455357075,0.7594936708860759
P21,1966,1811,132,0.0671414038657172,0.9211597151576806,0.8266550302505493,62.28602981778023,1.3718435764312744,79.67973495306461,1.9231325387954712,91.60684704583103,0.05927187576889992,4.748757592490336
P22,378,139,201,0.5317460317460317,0.36772486772486773,2.0070993900299072,85.61151079136691,2.349416494369507,90.64748201438849,1.2105567455291748,69.7841726618705,0.0054477425292134285,0.7194244604316548
P23,2372,1777,356,0.15008431703204048,0.7491568296795953,1.371341347694397,74.05740011254925,0.621630847454071,36.74732695554305,0.9926362633705139,62.746201463140125,0.06595385074615479,5.571187394485087
P24,252,27,181,0.7182539682539683,0.10714285714285714,0.8497883081436157,44.44444444444444,1.478697657585144,62.96296296296296,1.5431475639343262,62.96296296296296,0.0,0.0
P25,3459,3138,45,0.013009540329575022,0.9071986123156982,0.6238850951194763,42.638623326959845,1.1707532405853271,60.7074569789675,1.2386572360992432,69.50286806883366,0.005499209277331829,0.5417463352453792
P26,130,24,70,0.5384615384615384,0.18461538461538463,1.4264777898788452,66.66666666666666,2.0142343044281006,79.16666666666666,1.1143769025802612,58.333333333333336,0.0,0.0
P28,2289,672,1457,0.63652249890782,0.29357798165137616,1.780860185623169,81.10119047619048,1.698474645614624,80.50595238095238,1.6967530250549316,78.72023809523809,0.04080010578036308,3.273809523809524
P29,969,815,111,0.11455108359133127,0.8410732714138287,0.29594630002975464,25.766871165644172,0.5970546007156372,41.84049079754602,0.16052407026290894,14.60122699386503,0.0049888696521520615,0.6134969325153374
P3,7588,7447,96,0.012651555086979441,0.9814180284659989,1.291896939277649,61.5147039076138,0.9968166947364807,52.02094803276487,1.5363044738769531,75.72176715455889,0.004866586532443762,0.48341614072780986
P30,742,573,155,0.20889487870619947,0.7722371967654986,0.062112558633089066,6.631762652705062,0.9036057591438293,69.10994764397905,0.6554687023162842,50.08726003490401,0.005790089722722769,0.8726003490401396
P31,383,341,38,0.09921671018276762,0.8903394255874674,1.7449654340744019,71.8475073313783,1.4528579711914062,73.60703812316716,1.5602917671203613,83.87096774193549,0.004262892995029688,0.2932551319648094
P32,459,164,115,0.25054466230936817,0.3572984749455338,2.925847053527832,95.73170731707317,3.000330924987793,97.5609756097561,2.1657533645629883,89.63414634146342,0.02681669034063816,2.4390243902439024
P33,350,36,32,0.09142857142857143,0.10285714285714286,2.1215243339538574,91.66666666666666,1.86513352394104,86.11111111111111,1.7968945503234863,91.66666666666666,0.03267757222056389,2.7777777777777777
P34,959,423,520,0.5422314911366006,0.4410844629822732,0.4882602095603943,43.262411347517734,0.9885475635528564,64.30260047281324,1.3220757246017456,76.12293144208037,0.06505674868822098,6.619385342789598
P36,258,155,93,0.36046511627906974,0.6007751937984496,1.1216222047805786,54.83870967741935,0.9361674785614014,49.03225806451613,0.949601411819458,58.06451612903226,0.04728362336754799,4.516129032258064
P38,1326,43,1109,0.8363499245852187,0.032428355957767725,0.5900434255599976,41.86046511627907,1.3206080198287964,67.44186046511628,0.9211379885673523,51.162790697674424,0.17663636803627014,9.30232558139535
P4,4360,789,1996,0.4577981651376147,0.18096330275229358,1.871756911277771,87.45247148288973,0.28260937333106995,18.75792141951838,0.28800278902053833,27.249683143219265,0.125655397772789,10.899873257287707
P40,711,101,429,0.6033755274261603,0.1420534458509142,2.059849739074707,84.15841584158416,1.7687283754348755,76.23762376237624,0.4270440340042114,32.67326732673268,0.03204863518476486,3.9603960396039604
P41,6193,5672,161,0.025997093492652994,0.9158727595672533,0.5304938554763794,41.07898448519041,1.3821452856063843,78.03244005641749,2.736011028289795,96.73836389280677,0.004164665937423706,0.38787023977433005
P42,691,243,433,0.6266280752532561,0.3516642547033285,0.15146055817604065,14.814814814814813,0.09565450996160507,9.053497942386832,0.0,0.0,0.0900660827755928,7.818930041152264
P6,2752,1726,401,0.1457122093023256,0.6271802325581395,1.9345592260360718,84.41483198146003,2.0195930004119873,77.86790266512168,0.3868299424648285,29.54808806488992,0.07672916352748871,6.60486674391657
P7,2679,149,2339,0.8730869727510265,0.055617767823814855,0.8250265717506409,64.42953020134227,0.5080106854438782,38.92617449664429,0.22651657462120056,24.832214765100673,0.07968936860561371,9.395973154362416
P8,1294,245,736,0.5687789799072643,0.1893353941267388,1.4931411743164062,86.53061224489797,2.2740044593811035,95.91836734693877,1.8453090190887451,91.42857142857143,0.04294923320412636,4.081632653061225
P9,3490,68,407,0.1166189111747851,0.019484240687679084,1.5839425325393677,76.47058823529412,1.541136622428894,75.0,0.9084439277648926,63.23529411764706,0.0566939041018486,4.411764705882353
