accession	gene	is_ici	is_kd_ko	organism	category	gds_type	n_geo_samples	title	marker_status	source	source_file	table_kind	n_values	value_mean	value_median	value_min	value_max	n_nonzero	de_logfc	de_pvalue	de_padj	contrast	group_a	n_a	mean_a	group_b	n_b	mean_b	mean_diff_b_minus_a	mannwhitney_p	groups_json	notes
GSE108417	TACSTD2	N	N	Mus musculus	marker-only	Expression profiling by array	12	Airway epithelial barrier, mucins and inflammasome in distinct eosinophilic, neutrophilic and mixed inflammatory phenotypes of asthma	found	embedded_matrix	GSE108417_series_matrix.txt.gz	expression	12	7.41514	7.49121	6.50336	8.45795	12													[{"group":"control_I","n":3,"mean":7.537024,"median":7.526042,"sd":0.086666},{"group":"eosinophilic asthma_II","n":3,"mean":6.866137,"median":6.54569,"sd":0.592064},{"group":"mixed asthma_III","n":3,"mean":7.836429,"median":7.623569,"sd":0.547085},{"group":"neutrophilic asthma_IV","n":3,"mean":7.420958,"median":7.27088,"sd":0.800259}]	scale=log2-like
GSE108417	CLDN4	N	N	Mus musculus	marker-only	Expression profiling by array	12	Airway epithelial barrier, mucins and inflammasome in distinct eosinophilic, neutrophilic and mixed inflammatory phenotypes of asthma	found	embedded_matrix	GSE108417_series_matrix.txt.gz	expression	12	6.93364	6.91064	4.22865	9.51137	12													[{"group":"control_I","n":3,"mean":6.091097,"median":6.100112,"sd":0.071999},{"group":"eosinophilic asthma_II","n":3,"mean":5.31588,"median":5.302951,"sd":1.093753},{"group":"mixed asthma_III","n":3,"mean":7.902865,"median":8.024298,"sd":0.437845},{"group":"neutrophilic asthma_IV","n":3,"mean":8.424717,"median":8.357535,"sd":1.054666}]	scale=log2-like
GSE111414	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	20	KIR Polymorphism is Associated with Primary Resistance to PD-1 Blockade in Lung Cancer	found	supplementary	GSE111414_gene_counts.csv.gz	expression	20	0.8	0	0	9	4														
GSE111414	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	20	KIR Polymorphism is Associated with Primary Resistance to PD-1 Blockade in Lung Cancer	found	supplementary	GSE111414_gene_counts.csv.gz	expression	20	0.2	0	0	3	2														
GSE152590	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	8	RNA seq data of CD8+ T cells in peripheral blood lymphocytes from melanoma and lung cancer patients	not_in_table	supplementary	GSE152590_TPM_matrix.xlsx																					processed table present; gene row not found
GSE152590	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	8	RNA seq data of CD8+ T cells in peripheral blood lymphocytes from melanoma and lung cancer patients	not_in_table	supplementary	GSE152590_TPM_matrix.xlsx																					processed table present; gene row not found
GSE165383	TACSTD2	Y	N	Mus musculus	ICI	Other	12	T-cell CX3CR1 expression as a dynamic blood-based biomarker of response to immune checkpoint inhibitors	no_processed_table																							no gene-level processed supplementary table listed
GSE165383	CLDN4	Y	N	Mus musculus	ICI	Other	12	T-cell CX3CR1 expression as a dynamic blood-based biomarker of response to immune checkpoint inhibitors	no_processed_table																							no gene-level processed supplementary table listed
GSE169688	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	16	Inhibition of PGE2-EP2/EP4 signaling elicits anti-tumor immunity through reprograming of inflammatory myeloid cells and   suppression of mRegDC-Treg axis	found	supplementary	GSE169688_LLC1.3Days.ExpressionMatrix.csv.gz	scRNA	23566	0.00558347	0	0	2.48324	114														stream-extracted from >300MB supplementary matrix
GSE169688	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	16	Inhibition of PGE2-EP2/EP4 signaling elicits anti-tumor immunity through reprograming of inflammatory myeloid cells and   suppression of mRegDC-Treg axis	found	supplementary	GSE169688_LLC1.3Days.ExpressionMatrix.csv.gz	scRNA	23566	8.35241e-05	0	0	1.77106	2														stream-extracted from >300MB supplementary matrix
