file,bytes,sha256,used_for_statistics
GSE131907_cell_annotation.txt.gz,1886187,9d017652a31a489c1f62cacc436936d48a5b07bb554fc0dbe602da7474532205,True
GSE131907_raw_UMI_matrix.txt.gz,408736818,b44a9c6635d0b59ec66b5eb6b40b40e7292c3a75aaf8afc4f933eb0550a26372,True
GSE148071_RAW.tar,180193280,6bf70027c88bc0659c25dc8e5251f70351fce6b90913bf4ff33ca821df6e906f,True
GSE154826_cell_metadata.csv,13037071,e7000734f1da8c8e7c5027c54ac1c7d8222179f84b2f575014af2a4cc6629add,True
GSE154826_annots_list.csv,1818,e8f28b7deba93d1a791d768a8e11ba7c4ed36c71eb960a51718f2656cffc99bd,True
GSE154826_sample_metadata.csv,8893,e4c78eab1a986bd966972ab92dffbc66e1ddb4409e241f8212fe715861ddf914,True
GSE154826_amp_batch_ID_11.tar.gz,28208350,5f25d965331499178c03be3698961885debce27f82b2037970865006c5a0fd95,True
GSE154826_amp_batch_ID_15.tar.gz,31007320,eb1d1f2b019eaf7cda5b51bb91726d28f756ae6596ec58ca3b887b98866dc1eb,True
GSE154826_amp_batch_ID_17.tar.gz,36291003,86e1566073235bbf6e8b9bd745420853fb81a006b87e5b9cf3e8672d19d31e09,True
GSE154826_amp_batch_ID_19.tar.gz,40709949,5ab81de48beb6cc81074f416992d9ed2091521a6e5caec38d939058f0516ea18,True
GSE154826_amp_batch_ID_2.tar.gz,16188937,4267379862a92811836b3a1283b3733a979cc3a6489c0bd0b3fc118585ce2723,True
GSE154826_amp_batch_ID_29.tar.gz,22616612,075a88dc43f028940c3efd2e26b1b04a443d11439d2b711ee78b385bb562e871,True
GSE154826_amp_batch_ID_292.tar.gz,20230572,c854f1b4d3dda57857b7b7145a76422f8798b4e5caa6b351e71ff1e28af6c31e,True
GSE154826_amp_batch_ID_308.tar.gz,35203694,90f80e9956ea148229b00e9e1258ba236a4d371ba7b1e70f2e04858047898759,True
GSE154826_amp_batch_ID_31.tar.gz,37240445,9db22355b966a4dcdc617d5d6bf62e032ab638030324b1f7e0546202804ffc58,True
GSE154826_amp_batch_ID_33.tar.gz,11085011,66afc29f16547eb644aee00ef2ea720372afd017b549fb72d25a53cc44e5c4b8,True
GSE154826_amp_batch_ID_342.tar.gz,113911226,39ab35a1ad2fe5c17490cd9a134ee4815816b240ebeb4a7d36fde08ab0c621be,True
GSE154826_amp_batch_ID_36.tar.gz,36916913,9cd44cd92357fa36090461857a930e3caa14a2927013fbd4aabe9cb405b1727f,True
GSE154826_amp_batch_ID_38.tar.gz,51404054,73cf00b912bce75c41410a4eb0fb063b84a8136381e32bd1219dd9f645012f1b,True
GSE154826_amp_batch_ID_4.tar.gz,34133646,35a8a874edbe2e0ecfe2d1ad750586aa541ae0f460429e653a0b981f357a97f8,True
GSE154826_amp_batch_ID_40.tar.gz,22245116,9b3646ae205e78b842d4e2e0785c50decb08eea15e60fefdd3e1459e375e66d5,True
GSE154826_amp_batch_ID_42.tar.gz,21199699,05d69d41530f164582c70899f0f883bcd08dc34c494f94885bf5f00b8f01c453,True
GSE154826_amp_batch_ID_43.tar.gz,28881949,443e6a6a06f3e702ec08302eb555af509eca04db94df30fcd361c7038ea13f36,True
GSE154826_amp_batch_ID_45.tar.gz,34386475,7d3a6cfe82557dd26ab7fea1e081d6611ca09a9f90a17a92df30a0f0a93f8094,True
GSE154826_amp_batch_ID_47.tar.gz,34180323,eb60ef9ee2e530c952ec01d12d0ea89936dd57b0aaecd2b36b99456de33bb24b,True
GSE154826_amp_batch_ID_50.tar.gz,25993387,8ef44e3e29d8d8eab381039e5bdeae31609744d6e71d0022f4a4d384685abf6d,True
GSE154826_amp_batch_ID_51.tar.gz,32210922,3a648f16a9ace2ea1d154d445f8861d9f6b1c26692e6aeac5b141c0ba9d8e749,True
GSE154826_amp_batch_ID_53.tar.gz,74039089,eec2720ceca0681bb03a2c11b7f4b737560e1fa5cc28ce3f15690653dfe2907f,True
GSE154826_amp_batch_ID_54.tar.gz,47347522,c74a24892d15a89cf9a42c21050e96fccd3eb51aa4e13657ce07aedebec8ce02,True
GSE154826_amp_batch_ID_56.tar.gz,129172967,9661da73a37ec1e9e55f35687ac858e2d7dae084e3cd5bda3c7c425143309d08,True
GSE154826_amp_batch_ID_6.tar.gz,13305672,d9a85208e9813ef70516dc833d8caac5d7be2d4f78f8248f6d5df6249ce2a995,True
GSE154826_amp_batch_ID_8.tar.gz,41838376,b25fa0be1d2c6fd178597314d44cd0d5cbae37ea1bfec2baf6f2eaba034cff5e,True
GSE154826_amp_batch_ID_88.tar.gz,153338442,be7c78a6f24d589a5da571495a1e3973f21afca6532ed1de538c66610a61177f,True
GSE154826_amp_batch_ID_9.tar.gz,38123820,f3c389bdec8f8995023555f9d815420805b33bb0b8fe3842d536647541eb47ee,True
GSE154826_amp_batch_ID_90.tar.gz,127835810,c4ed563dbf9815d451ba9cabffe0f5fc0ef9d68c97abd62d868ad1f6c2dcb26c,True
