,No. ofPatients,TROP2 expression,P-value
,,"Negative or Low(IHC score 0,1,2)n = 15",High(IHC score 3)n = 38,
Age at diagnosis (years),,,,
≤ 65,23,4,19,0.140
> 65,30,11,19,
Sex,,,,
Male,17,5,12,1.000
Female,36,10,26,
Smoking status,,,,
Previous/current,26,7,19,1.000
Never smoker,27,8,19,
EGFR-TKI,,,,
Yes,53,15,38,1.000
No,0,0,0,
,"Abbreviation: TROP2, trophoblast cell-surface antigen 2; IHC, immunohistochemical; EGFR, epidermal growth factor receptor; TKI, tyrosine kinase inhibitor"
