nes_rank	Name	geneset	ES	NES	pval	fdr	tag_pct	gene_pct	lead_genes	log2err	n_genes_ranked
1	prerank	Estrogen Response Late	0.6077308232431052	2.2820124995625153	2.923244801419754e-13	1.461622400709877e-11	75/192	7.90%	TFF1;XBP1;PRSS23;ADD3;AGR2;SLC7A5;KRT19;FRK;UGDH;IGFBP4;TOP2A;PGR;SIAH2;NRIP1;UNC13B;TOB1;RAB31;HSPA4L;COX6C;SLC27A2;DYNLT3;ABHD2;TIAM1;RAPGEFL1;SERPINA3;SLC16A1;AREG;MYB;TFF3;CXCL12;CCN5;BTG3;MOCS2;CDC6;CELSR2;DHRS2;NPY1R;FDFT1;FOS;TPD52L1;DNAJC12;CCND1;CHPT1;MEST;TFAP2C;PERP;DCXR;TSPAN13;CD44;PRKAR2B;DNAJC1;EGR3;BCL2;SERPINA1;AFF1;PDLIM3;GLA;MDK;ARL3;ELOVL5;GALE;PDCD4;FARP1;CLIC3;AMFR;NAB2;ISG20;TH;OPN3;JAK1;KLF4;SLC1A4;OLFM1;ACOX2;CPE	0.9325952113362093	17383
2	prerank	Estrogen Response Early	0.5871710277781353	2.217128140180385	1.606558305902907e-11	4.0163957647572675e-10	77/197	7.72%	TFF1;XBP1;GREB1;PRSS23;ADD3;SLC7A5;KRT19;FRK;SLC7A2;IGFBP4;PGR;SIAH2;NRIP1;TOB1;GAB2;RAB31;BHLHE40;SNX24;SLC27A2;DYNLT3;ABHD2;TIAM1;ELOVL2;SLC39A6;RAPGEFL1;SLC2A1;SLC16A1;GFRA1;AREG;MYB;TFF3;CXCL12;CCN5;PMAIP1;FHL2;IGF1R;CELSR2;DHRS2;NPY1R;FDFT1;FOS;NAV2;TPD52L1;CCND1;CHPT1;BCL11B;MAST4;TFAP2C;MLPH;CD44;MYBL1;EGR3;BCL2;SH3BP5;TMEM164;MED24;TSKU;TGIF2;AFF1;PDLIM3;GLA;THSD4;ARL3;TIPARP;ELOVL5;SVIL;DEPTOR;FARP1;CLIC3;AMFR;AKAP1;OPN3;MPPED2;KLF4;SLC1A4;OLFM1;ADCY9	0.863415391606693	17383
3	prerank	Glycolysis	0.5451145816638466	2.050652757932411	8.15000570583846e-09	1.35833428430641e-07	61/195	9.23%	LDHA;PKM;AK4;IER3;ALDOA;HK2;PGAM1;P4HA1;PPFIA4;FAM162A;P4HA2;ANKZF1;MIF;UGP2;MDH1;PFKP;DDIT4;ERO1A;HDLBP;TFF3;PRPS1;PGK1;CACNA1H;MPI;DLD;DSC2;HOMER1;ANGPTL4;EGLN3;ABCB6;CD44;SLC25A10;CITED2;PAM;RPE;PYGL;GALK2;MED24;ZNF292;ENO2;RRAGD;SPAG4;GYS1;GMPPA;GALE;PLOD2;CHPF;MXI1;HAX1;ISG20;SDC2;B3GAT3;HMMR;PLOD1;ANG;AURKA;SAP30;DPYSL4;B4GALT2;XYLT2;BPNT1	0.7477396631498855	17383
4	prerank	Hypoxia	0.5112737972109993	1.9139427083875613	2.6440404835917376e-07	3.305050604489672e-06	56/183	6.58%	LXN;LDHA;PDK1;BNIP3L;AK4;IER3;ALDOA;HK2;SIAH2;P4HA1;PFKFB3;FOSL2;PPFIA4;BHLHE40;FAM162A;P4HA2;ALDOC;CDKN1A;ANKZF1;MIF;UGP2;PFKP;SLC2A1;SLC6A6;DDIT4;KDM3A;ERO1A;HDLBP;TES;PGK1;CCN5;PLIN2;ANGPTL4;FOS;WSB1;CSRP2;CITED2;PAM;PGM1;BCL2;ZNF292;ENO2;ADM;JMJD6;RRAGD;GYS1;TIPARP;GPI;CAVIN1;VHL;XPNPEP1;TPD52;NFIL3;MXI1;ISG20;SDC2	0.6749628600110251	17383
5	prerank	mTORC1 Signaling	0.4711176578299426	1.7803692601487502	2.1338692455187823e-05	0.00021338692455187823	57/198	7.69%	XBP1;ADD3;LDHA;PDK1;SLC7A5;HSPD1;TFRC;AK4;ALDOA;HK2;P4HA1;BHLHE40;CDKN1A;HSPE1;SLC2A1;SLC6A6;FADS1;DDIT4;FDXR;ERO1A;TES;PGK1;MTHFD2;NMT1;PSME3;ACTR3;TUBG1;EGLN3;NAMPT;TXNRD1;HSPA4;POLR3G;BUB1;PGM1;SLC7A11;PSMD14;LTA4H;RDH11;EDEM1;GLA;TMEM97;ELOVL5;CCT6A;BTG2;GPI;IGFBP5;STIP1;SSR1;NFIL3;PLOD2;CCNG1;TM7SF2;PNO1;FADS2;PDAP1;SLC1A4;AURKA	0.5756102610711286	17383
6	prerank	Myc Targets V1	0.4522533222206869	1.706309645293223	5.664817504821501e-05	0.00047206812540179173	57/199	11.59%	LDHA;HSPD1;ODC1;CCT5;RPS2;HSPE1;NME1;UBE2E1;CCT7;DDX18;PSMD3;PGK1;PSMA1;PSMA7;SSB;KPNB1;GLO1;RUVBL2;SNRPG;NPM1;RAD23B;PRDX4;C1QBP;H2AZ1;ABCE1;PSMD8;SNRPD2;PSMD14;XPOT;MRPS18B;EEF1B2;RAN;SRM;CCT4;IMPDH2;CCT3;PSMD7;HNRNPC;EIF4E;MAD2L1;ACP1;PRPS2;EIF3D;XRCC6;GNL3;CCT2;CNBP;PSMD1;HDAC2;PSMA2;RPL6;ILF2;TCP1;COPS5;HNRNPA1;ORC2;PRDX3	0.5573322387586461	17383
7	prerank	Unfolded Protein Response	0.4341984760626326	1.4968568347649351	0.008284243902053989	0.03841723631036435	22/111	8.28%	XBP1;SLC7A5;DDIT4;ERO1A;MTHFD2;NPM1;GOSR2;ARFGAP1;NABP1;SRPRA;XPOT;EDEM1;CKS1B;H2AX;SSR1;EIF4E;PREB;EXOSC2;SLC1A4;KIF5B;TUBB2A;TATDN2	0.3807304007227925	17383
8	prerank	Myc Targets V2	0.4776885816518332	1.4897604818040695	0.018638239713114114	0.051772888091983646	13/57	9.24%	HSPD1;HK2;HSPE1;DDX18;NPM1;PRMT3;PES1;IMP4;TMEM97;SRM;MRTO4;GNL3;PPAN	0.35248785758361917	17383
9	prerank	p53 Pathway	0.36066441251866715	1.3527076857767388	0.018623983159867814	0.051772888091983646	40/190	7.66%	CTSD;IER3;SLC3A2;TOB1;HSPA4L;FAM162A;CDKN1A;FAS;DDIT4;FDXR;DDB2;STOM;PPM1D;ZMAT3;MDM2;RPS27L;FOS;RAD51C;TXNIP;TPD52L1;AEN;PERP;DCXR;OSGIN1;ADA;SLC7A11;PLXNB2;IRAK1;RAP2B;SESN1;BTG2;BAX;APAF1;CCNG1;CYFIP2;EI24;STEAP3;DEF6;KLF4;XPC	0.35248785758361917	17383
10	prerank	E2F Targets	0.3396531796836573	1.2845237826994806	0.02854095276587051	0.06795464944254884	46/200	11.95%	TFRC;TOP2A;PAICS;LUC7L3;TUBB;CDKN1A;NME1;BRCA1;PRPS1;MTHFD2;PPM1D;RAD51C;TUBG1;JPT1;PRDX4;H2AZ1;RFC1;TK1;HMGB3;BIRC5;RAN;CKS1B;PSMC3IP;H2AX;ANP32E;TRIP13;UBE2T;TACC3;GINS4;RPA3;MAD2L1;HMMR;AURKA;PTTG1;SMC4;XRCC6;CBX5;CNOT9;KIF18B;WDR90;DCLRE1B;AK2;KIF2C;ORC2;NUP107;LYAR	0.35248785758361917	17383
11	prerank	IL-2/STAT5 Signaling	0.340283841410188	1.2600688974825298	0.05624995951161562	0.10979504924141602	26/175	6.89%	XBP1;SLC39A8;ODC1;HK2;P4HA1;BHLHE40;TIAM1;HIPK2;IGF1R;PLIN2;CDC6;CKAP4;SYNGR2;ETV4;CD44;PLAGL1;BCL2;MAP3K8;ITGA6;GADD45B;RRAGD;PTGER2;LRRC8C;NFIL3;PLPP1;GABARAPL1	0.3217759180753611	17383
12	prerank	PI3K/AKT/mTOR  Signaling	0.30940109123963777	1.0586601373563158	0.3387096774193548	0.4577157802964254	22/99	12.42%	PDK1;CDKN1A;TIAM1;SLC2A1;ARHGDIA;ACTR3;GRB2;MAPK8;PTEN;CLTC;DUSP3;PLA2G12A;EIF4E;VAV3;PTPN11;PRKAA2;ACTR2;IRAK4;DDIT3;MAPKAP1;RPS6KA3;RPTOR	0.11012226383553594	17383
