nes_rank	Name	geneset	ES	NES	pval	fdr	tag_pct	gene_pct	lead_genes	log2err	n_genes_ranked
1	prerank	Angiogenesis	0.5447829638353844	1.5525841750872151	0.03641380545813041	0.1517241894088767	4/26	1.80%	STC1;KCNJ8;ITGAV;APP	0.3217759180753611	17145
2	prerank	Myc Targets V1	0.37085529447382776	1.5009622037757646	0.003106916883459957	0.022192263453285406	82/199	14.69%	KPNA2;SF3B3;SERBP1;TCP1;EIF1AX;HSP90AB1;YWHAE;SSB;RAN;ETF1;PSMC4;EIF4E;PPM1G;MAD2L1;SYNCRIP;SRSF1;CCT5;CCT3;ILF2;EIF4G2;CCNA2;EIF2S2;SNRPA1;UBE2E1;EIF2S1;CCT2;AP3S1;PSMC6;ABCE1;EIF3J;SRSF2;RAD23B;SET;ERH;HSPE1;CCT4;PSMD7;PTGES3;NOP56;XPO1;NCBP1;EIF4A1;YWHAQ;APEX1;CANX;KPNB1;IARS1;NCBP2;ORC2;HPRT1;HSPD1;PSMD1;TFDP1;NHP2;PA2G4;POLE3;PWP1;SNRPB2;CTPS1;UBA2;HNRNPA3;RSL1D1;HNRNPC;CDC20;KARS1;H2AZ1;USP1;HDDC2;PSMA1;CAD;CNBP;NOP16;SRSF3;XPOT;PSMD14;CLNS1A;MCM4;MRPL23;CCT7;U2AF1;SNRPG;FAM120A	0.4317076958033465	17145
3	prerank	Pancreas Beta Cells	0.49757678061381166	1.391551804973542	0.11352657004830918	0.23651368760064415	11/23	25.13%	PAK3;SRP9;SRP14;ABCC8;STXBP1;CHGA;MAFB;SRPRB;NEUROD1;AKT3;SPCS1	0.2065879226968911	17145
4	prerank	Protein Secretion	0.3542408304156539	1.2952598754428626	0.0935672514619883	0.2227791701475912	42/95	21.23%	KRT18;ANP32E;AP2B1;ATP6V1H;STAM;SEC24D;LAMP2;SEC22B;CLTC;TMX1;AP3S1;ARCN1;SCAMP1;RAB2A;OCRL;RAB9A;VPS4B;CD63;RAB5A;NAPG;STX7;SCAMP3;RPS6KA3;STX16;AP1G1;TMED2;TOM1L1;TSG101;AP3B1;TMED10;ZW10;VAMP3;COPB1;GOLGA4;NAPA;CLN5;SOD1;CLCN3;ATP6V1B1;COPB2;STX12;VAMP7	0.2529611230696109	17145
5	prerank	Reactive Oxygen Species Pathway	0.3885398670075074	1.2639667776366899	0.12698412698412698	0.2442002442002442	11/48	12.51%	NQO1;FTL;G6PD;CAT;SOD2;MGST1;PRDX6;NDUFB4;GCLM;PFKP;PRDX2	0.2042947565168861	17145
6	prerank	G2-M Checkpoint	0.31224201887595415	1.26186189883453	0.04192685193588019	0.15903238398675953	61/198	18.38%	KPNA2;HSPA8;NCL;SRSF10;MARCKS;HIF1A;EFNA5;MAD2L1;SYNCRIP;SRSF1;UBE2C;MAP3K20;CCNA2;CUL5;AURKA;SRSF2;RAD23B;TMPO;SS18;DKC1;RAD21;XPO1;CDC27;STMN1;KPNB1;PRMT5;TFDP1;TTK;KIF23;PAFAH1B1;JPT1;NDC80;CCNT1;E2F4;H2BC12;TPX2;KMT5A;CDC20;H2AZ1;DR1;MNAT1;RPS6KA5;ODF2;CCNB2;DDX39A;BRCA2;TOP2A;UBE2S;TOP1;AURKB;MT2A;CTCF;SNRPD1;ATRX;HMMR;BUB1;E2F3;NUP98;LBR;RACGAP1;CDKN3	0.3217759180753611	17145
7	prerank	PI3K/AKT/mTOR  Signaling	0.3418799056352757	1.2596321335916192	0.10557184750733138	0.22950401632028558	24/99	13.09%	CDKN1A;PIK3R3;SFN;PRKAA2;YWHAB;ACTR2;HRAS;EIF4E;UBE2D3;CLTC;ACTR3;MAP3K7;ATF1;HSP90B1;CAB39L;CFL1;PLA2G12A;PFN1;CSNK2B;MAPKAP1;PTPN11;GSK3B;MAP2K6;RPS6KA3	0.2377938344236881	17145
8	prerank	E2F Targets	0.30656462864221606	1.2438944957812768	0.05407101055549824	0.15903238398675953	54/200	13.60%	CDKN1A;KPNA2;PSIP1;ANP32E;ASF1A;RAN;PRKDC;TUBB;MAD2L1;SYNCRIP;SRSF1;MSH2;RFC3;RRM2;EIF2S1;TRIP13;AURKA;SRSF2;TMPO;DEPDC1;RAD51AP1;RAD21;NUDT21;NOP56;XPO1;STMN1;ORC2;TP53;AK2;PA2G4;BUB1B;MELK;DCLRE1B;PAICS;JPT1;CTPS1;DIAPH3;DLGAP5;TUBG1;PNN;CSE1L;CDC20;H2AZ1;USP1;GINS1;CCNB2;DDX39A;BRCA2;TOP2A;MTHFD2;CDCA3;UBE2S;MCM4;LYAR	0.3217759180753611	17145
9	prerank	Spermatogenesis	0.3147714848448555	1.1473274167475758	0.20527859237536658	0.32074780058651026	11/94	9.40%	GSTM3;TALDO1;STRBP;ADAM2;HSPA4L;AURKA;PSMG1;TTK;NPHP1;PEBP1;PHKG2	0.1669338487131932	17145
10	prerank	Inflammatory Response	0.2924664507593865	1.1371130005846408	0.18892508143322476	0.3147128245476003	15/154	9.94%	PCDH7;CDKN1A;BTG2;CD55;KLF6;HIF1A;EDN1;NPFFR2;P2RY2;CXCL8;RGS16;GNAI3;ATP2B1;SLC31A2;GCH1	0.1847064712077387	17145
