panel	hgnc_symbol	in_deposited_ge2
PRIORITY	IFI27	yes
PRIORITY	OAS2	yes
PRIORITY	IFIT1	yes
PRIORITY	MX1	yes
PRIORITY	ISG15	yes
PRIORITY	HLA-A	yes
APM	HLA-A	yes
APM	HLA-B	yes
APM	HLA-C	yes
APM	B2M	yes
APM	NLRC5	yes
APM	TAP1	yes
APM	TAP2	yes
APM	TAPBP	yes
APM	PSMB8	yes
APM	PSMB9	yes
APM	PSMB10	yes
APM	ERAP1	no
APM	ERAP2	yes
APM	CALR	yes
APM	CANX	yes
APM	PDIA3	yes
IFN_IMMUNE	ISG15	yes
IFN_IMMUNE	MX1	yes
IFN_IMMUNE	MX2	no
IFN_IMMUNE	OAS1	yes
IFN_IMMUNE	OAS2	yes
IFN_IMMUNE	OAS3	yes
IFN_IMMUNE	OASL	yes
IFN_IMMUNE	RSAD2	no
IFN_IMMUNE	IFIT1	yes
IFN_IMMUNE	IFIT2	yes
IFN_IMMUNE	IFIT3	yes
IFN_IMMUNE	IFIT5	yes
IFN_IMMUNE	IFITM1	no
IFN_IMMUNE	IFITM2	yes
IFN_IMMUNE	IFITM3	no
IFN_IMMUNE	IFI6	yes
IFN_IMMUNE	IFI27	yes
IFN_IMMUNE	IFI35	yes
IFN_IMMUNE	IFI44	yes
IFN_IMMUNE	IFI44L	yes
IFN_IMMUNE	IFI16	yes
IFN_IMMUNE	RIGI	yes
IFN_IMMUNE	IFIH1	yes
IFN_IMMUNE	DDX60	yes
IFN_IMMUNE	XAF1	yes
IFN_IMMUNE	HERC5	yes
IFN_IMMUNE	USP18	yes
IFN_IMMUNE	CMPK2	no
IFN_IMMUNE	BST2	yes
IFN_IMMUNE	GBP1	yes
IFN_IMMUNE	GBP2	yes
IFN_IMMUNE	GBP4	yes
IFN_IMMUNE	GBP5	yes
IFN_IMMUNE	EIF2AK2	yes
IFN_IMMUNE	ZBP1	yes
IFN_IMMUNE	STAT1	yes
IFN_IMMUNE	STAT2	yes
IFN_IMMUNE	IRF1	yes
IFN_IMMUNE	IRF7	yes
IFN_IMMUNE	IRF9	no
IFN_IMMUNE	JAK2	yes
IFN_IMMUNE	SOCS1	yes
IFN_IMMUNE	SOCS3	yes
IFN_IMMUNE	B2M	yes
IFN_IMMUNE	TAP1	yes
IFN_IMMUNE	TAP2	yes
IFN_IMMUNE	PSMB8	yes
IFN_IMMUNE	PSMB9	yes
IFN_IMMUNE	NLRC5	yes
IFN_IMMUNE	HLA-A	yes
IFN_IMMUNE	HLA-B	yes
IFN_IMMUNE	HLA-C	yes
IFN_IMMUNE	HLA-E	yes
IFN_IMMUNE	HLA-F	yes
IFN_IMMUNE	TAPBP	yes
IFN_IMMUNE	CXCL10	yes
IFN_IMMUNE	CXCL11	yes
IFN_IMMUNE	CXCL9	no
IFN_IMMUNE	CCL5	no
IFN_IMMUNE	CCL2	yes
IFN_IMMUNE	IL6	yes
IFN_IMMUNE	TNF	yes
IFN_IMMUNE	NFKB1	yes
IFN_IMMUNE	RELA	yes
IFN_IMMUNE	IL15	yes
IFN_IMMUNE	IL32	yes
IFN_IMMUNE	IFNB1	yes
IFN_IMMUNE	IFNG	yes
IFN_IMMUNE	IFNAR1	yes
IFN_IMMUNE	IFNAR2	yes
IFN_IMMUNE	IFNGR1	yes
IFN_IMMUNE	IFNGR2	yes
IFN_IMMUNE	IFNL1	no
TJ_CORE	CLDN1	yes
TJ_CORE	CLDN3	yes
TJ_CORE	CLDN7	yes
TJ_CORE	CLDN18	yes
TJ_CORE	OCLN	yes
TJ_CORE	TJP1	yes
TJ_CORE	TJP2	yes
TJ_CORE	TJP3	yes
TJ_CORE	MARVELD2	yes
TJ_CORE	MARVELD3	yes
TJ_CORE	F11R	yes
TJ_CORE	JAM2	no
TJ_CORE	JAM3	yes
TJ_CORE	CGN	yes
TJ_CORE	CGNL1	yes
STING	CGAS	yes
STING	STING1	no
STING	TBK1	no
STING	IKBKE	yes
STING	IRF3	yes
STING	MAVS	yes
STING	RIGI	yes
STING	IFIH1	yes
STING	TREX1	yes
STING	IFI16	yes
STING	ZBP1	yes
STING	IRF7	yes
STING	CXCL10	yes
STING	IFNB1	yes
NHEJ	XRCC6	yes
NHEJ	XRCC5	yes
NHEJ	PRKDC	yes
NHEJ	DCLRE1C	yes
NHEJ	LIG4	yes
NHEJ	XRCC4	yes
NHEJ	NHEJ1	yes
NHEJ	PAXX	no
NHEJ	POLL	yes
NHEJ	POLM	yes
NHEJ	PNKP	yes
NHEJ	APTX	yes
