definition	histology	min_mal	min_tnk	x	y	n	rho	p	worst_loo_donor	worst_loo_rho	worst_loo_p	t13_in_set	rho_without_t13	p_without_t13	stable_inverse	fragile_to_t13
author_tumor	luad_incl_mucinous	1	1	cldn4_mean	tnk_frac	13	-0.2747252747252747	0.3636749816401782	T13	-0.16083916083916086	0.6175234895401425	True	-0.16083916083916086	0.6175234895401425	False	False
author_tumor	luad_incl_mucinous	1	1	cldn4_pct0	tnk_frac	13	-0.35714285714285715	0.2309298623020339	T24	-0.2657342657342658	0.4038330883147116	True	-0.2797202797202798	0.37856866966230307	False	False
author_tumor	luad_incl_mucinous	1	1	cldn4_pct1	tnk_frac	13	-0.30769230769230765	0.30644705251252896	T13	-0.2027972027972028	0.5273023541661079	True	-0.2027972027972028	0.5273023541661079	False	False
author_tumor	luad_incl_mucinous	1	1	cldn4_mean	cd8_frac	13	-0.5824175824175823	0.0367413343586543	T13	-0.4685314685314686	0.12445479118883407	True	-0.4685314685314686	0.12445479118883407	False	True
author_tumor	luad_incl_mucinous	1	10	cldn4_mean	tnk_frac	12	-0.6223776223776225	0.030675895061640146	T13	-0.5090909090909091	0.10973723224165634	True	-0.5090909090909091	0.10973723224165634	False	True
author_tumor	luad_incl_mucinous	1	10	cldn4_pct0	tnk_frac	12	-0.7272727272727274	0.0073550288578051294	T24	-0.6454545454545455	0.03196279932801746	True	-0.6636363636363638	0.0259841339187655	True	False
author_tumor	luad_incl_mucinous	1	10	cldn4_pct1	tnk_frac	12	-0.6643356643356644	0.01845271802844544	T13	-0.5636363636363637	0.07095173447637551	True	-0.5636363636363637	0.07095173447637551	False	True
author_tumor	luad_incl_mucinous	1	10	cldn4_mean	cd8_frac	12	-0.4685314685314686	0.12445479118883407	T13	-0.3090909090909091	0.35502843970150694	True	-0.3090909090909091	0.35502843970150694	False	False
author_tumor	luad_incl_mucinous	1	20	cldn4_mean	tnk_frac	12	-0.6223776223776225	0.030675895061640146	T13	-0.5090909090909091	0.10973723224165634	True	-0.5090909090909091	0.10973723224165634	False	True
author_tumor	luad_incl_mucinous	1	20	cldn4_pct0	tnk_frac	12	-0.7272727272727274	0.0073550288578051294	T24	-0.6454545454545455	0.03196279932801746	True	-0.6636363636363638	0.0259841339187655	True	False
author_tumor	luad_incl_mucinous	1	20	cldn4_pct1	tnk_frac	12	-0.6643356643356644	0.01845271802844544	T13	-0.5636363636363637	0.07095173447637551	True	-0.5636363636363637	0.07095173447637551	False	True
author_tumor	luad_incl_mucinous	1	20	cldn4_mean	cd8_frac	12	-0.4685314685314686	0.12445479118883407	T13	-0.3090909090909091	0.35502843970150694	True	-0.3090909090909091	0.35502843970150694	False	False
author_tumor	luad_incl_mucinous	1	30	cldn4_mean	tnk_frac	12	-0.6223776223776225	0.030675895061640146	T13	-0.5090909090909091	0.10973723224165634	True	-0.5090909090909091	0.10973723224165634	False	True
