feature	kind	n_patients	n_genes_present	genes_present	median_delta	mean_delta	n_negative	n_positive	n_zero	wilcoxon_stat	wilcoxon_p_two_sided
spearman_CLDN4_STING	within_patient_spearman	9	6	CGAS,STING1,TBK1,IKBKE,IRF3,IRF7	-0.00037338220143734164	0.029291898422816653	5	4	0	17.0	0.5703125
spearman_CLDN4_IFN	within_patient_spearman	9	30	STAT1,STAT2,IRF9,IRF1,MX1,MX2,OAS1,OAS2,OAS3,OASL,IFIT1,IFIT2,IFIT3,ISG15,ISG20,IFI6,IFI27,IFI35,IFI44,IFI44L,IFIH1,DDX58,RSAD2,EIF2AK2,BST2,XAF1,GBP1,USP18,HERC5,IFITM1	0.07057908802895112	0.07759603607553005	2	7	0	9.0	0.12890625
spearman_CLDN4_APM	within_patient_spearman	9	18	HLA-A,HLA-B,HLA-C,B2M,TAP1,TAP2,TAPBP,PSMB8,PSMB9,PSMB10,PSME1,PSME2,CALR,PDIA3,NLRC5,ERAP1,ERAP2,HLA-E	0.09697498256112098	0.08187402199848076	3	6	0	9.0	0.12890625
spearman_CLDN4_TJ	within_patient_spearman	9	7	CLDN3,CLDN7,TJP1,OCLN,CDH1,EPCAM,TACSTD2	0.304251414928787	0.28633123379109754	0	9	0	0.0	0.00390625
spearman_CLDN4_log_nCount	within_patient_spearman	9			0.05290886704246517	0.09585900922502773	1	8	0	3.0	0.01953125
spearman_CLDN4_nFeature	within_patient_spearman	9			0.10927974084421507	0.13027500161596067	1	8	0	2.0	0.01171875
STING	pos_minus_zero_log1p_cpm	5	6	CGAS,STING1,TBK1,IKBKE,IRF3,IRF7	0.015484389977621582	0.008394975689578624	1	4	0	2.0	0.1875
IFN	pos_minus_zero_log1p_cpm	5	30	STAT1,STAT2,IRF9,IRF1,MX1,MX2,OAS1,OAS2,OAS3,OASL,IFIT1,IFIT2,IFIT3,ISG15,ISG20,IFI6,IFI27,IFI35,IFI44,IFI44L,IFIH1,DDX58,RSAD2,EIF2AK2,BST2,XAF1,GBP1,USP18,HERC5,IFITM1	0.027354834521577387	0.03170033048707691	0	5	0	0.0	0.0625
APM	pos_minus_zero_log1p_cpm	5	18	HLA-A,HLA-B,HLA-C,B2M,TAP1,TAP2,TAPBP,PSMB8,PSMB9,PSMB10,PSME1,PSME2,CALR,PDIA3,NLRC5,ERAP1,ERAP2,HLA-E	0.06626200170712204	0.07129737215790426	0	5	0	0.0	0.0625
TJ	pos_minus_zero_log1p_cpm	5	7	CLDN3,CLDN7,TJP1,OCLN,CDH1,EPCAM,TACSTD2	0.13269374679752943	0.15049832190171974	0	5	0	0.0	0.0625
CLDN4	gene_pos_minus_zero	5			1.1696719817676395	1.280506528099816	0	5	0	0.0	0.0625
STING1	gene_pos_minus_zero	5			0.02570406827003017	0.024054057855479944	2	3	0	6.0	0.8125
CGAS	gene_pos_minus_zero	5			0.003927792657924188	-0.013194633885051705	1	4	0	5.0	0.625
TBK1	gene_pos_minus_zero	5			-0.04452017874455824	-0.05136284186260924	3	2	0	3.0	0.3125
IRF3	gene_pos_minus_zero	5			-0.0030237289461912953	0.03256967436574424	3	2	0	6.0	0.8125
STAT1	gene_pos_minus_zero	5			0.08433009655986445	0.078236602405785	1	4	0	1.0	0.125
ISG15	gene_pos_minus_zero	5			0.06122475096414037	0.14985023868888223	0	5	0	0.0	0.0625
MX1	gene_pos_minus_zero	5			0.059942969207361585	0.046591457204390695	0	5	0	0.0	0.0625
HLA-A	gene_pos_minus_zero	5			0.020369956256571564	0.08128601598041321	2	3	0	3.0	0.3125
B2M	gene_pos_minus_zero	5			0.033914545903672266	0.08925591311536865	2	3	0	4.0	0.4375
TAP1	gene_pos_minus_zero	5			0.011243020730417668	0.008678346318776085	1	4	0	4.0	0.4375
EPCAM	gene_pos_minus_zero	5			0.23032165958509054	0.39781147707075315	0	5	0	0.0	0.0625
PTPRC	gene_pos_minus_zero	5			-0.008413242872279847	-0.009841118716014915	3	2	0	5.0	0.625
CD3D	gene_pos_minus_zero	5			0.00338654912224228	0.0036387374189691146	2	3	0	6.0	0.8125
CD68	gene_pos_minus_zero	5			-0.01821941513757412	-0.03024141596678385	4	1	0	3.0	0.3125
